label_SALLY,text,line,start_pos,end_pos,file
U,NUCLEAR REGULATORY COMMISSION,0,0,29,ML12220A342.txt
U,"REGION III 2443 WARRENVILLE ROAD, SUITE 210 LISLE, IL 60532-4352",1,0,64,ML12220A342.txt
U,UNITED STATES,3,0,13,ML12220A342.txt
U,"August 6, 2012 Mr. Jack M. Davis Senior Vice President and Chief Nuclear Officer Detroit Edison Company Fermi 2 - 210 NOC 6400 North Dixie Highway Newport, MI 48166 SUBJECT: FERMI POWER PLANT UNIT 2 INTEGRATED INSPECTION REPORT 05000341/2012003",5,0,244,ML12220A342.txt
U,"Dear Mr. Davis: On June 30, 2012, the U.S. Nuclear Regulatory Commission (NRC) completed an integrated inspection at your Fermi Power Plant, Unit 2.",7,0,148,ML12220A342.txt
U,"The enclosed inspection report documents the results of this inspection which were discussed on July 11, 2012, with Mr. T. Conner, Plant Manager, and other members of your staff.",7,148,326,ML12220A342.txt
U,The inspection examined activities conducted under your license as they relate to safety and compliance with the Commission's rules and regulations and with the conditions of your license.,7,326,514,ML12220A342.txt
U,"The inspectors reviewed selected procedures and records, observed activities, and interviewed personnel.",7,514,618,ML12220A342.txt
U,Two self-revealed findings of very low safety significance (Green) were identified during the inspection.,7,618,723,ML12220A342.txt
U,The self-revealed findings involved violations of NRC requirements.,7,723,790,ML12220A342.txt
U,The NRC is treating the issues as Non-Cited Violations (NCVs) in accordance with Section 2.3.2 of the NRC Enforcement Policy.,7,790,915,ML12220A342.txt
U,"If you contest the subject or severity of these NCVs, you should provide a response within 30 days of the date of this inspection report, with the basis for your denial, to the U.S. Nuclear Regulatory Commission, ATTN: Document Control Desk, Washington, DC 20555-0001, with a copy to the Regional Administrator, U.S. Nuclear Regulatory Commission - Region III, 2443 Warrenville Road, Suite 210, Lisle, IL 60532-4352; the Director, Office of Enforcement, U.S. Nuclear Regulatory Commission, Washington, DC 20555-0001; and the Resident Inspector Office at the Fermi Power Plant.",7,915,1491,ML12220A342.txt
U,"In addition, if you disagree with the cross-cutting aspect assigned to any finding in this report, you should provide a response within 30 days of the date of this inspection report, with the basis for your disagreement, to the Regional Administrator, Region III, and the NRC Resident Inspector at the Fermi Power Plant.",7,1491,1811,ML12220A342.txt
U,J. Davis,9,0,9,ML12220A342.txt
U,2,11,0,1,ML12220A342.txt
