text,line,start_pos,end_pos,file,label_Frenard,label_SALLY,label_struck
UNITED STATES NUCLEAR REGULATORY COMMISSION,0,0,43,ML13182A476.txt,U,U,U
"REGION I 2100 RENAISSANCE BOULEVARD, SUITE 100 KING OF PRUSSIA, PENNSYLVANIA 19406-2713",1,0,87,ML13182A476.txt,U,U,U
1-Jul-13,3,0,12,ML13182A476.txt,U,U,U
"Mr. Michael J. Pacilio Senior Vice President, Exelon Generation Company, LLC President and Chief Nuclear Officer, Exelon Nuclear 4300 Winfield Rd.",5,0,146,ML13182A476.txt,U,U,U
"Warrenville, IL 60555 SUBJECT: LIMERICK GENERATING STATION Â­ NRC TRIENNIAL FIRE PROTECTION INSPECTION REPORT 05000352/2013007 AND 05000353/2013007",5,146,292,ML13182A476.txt,U,U,U
"Dear Mr. Pacilio: On May 24, 2013, the U.S. Nuclear Regulatory Commission (NRC) completed a triennial fire protection inspection at your Limerick Generating Station, Units 1 and 2.",7,0,180,ML13182A476.txt,U,U,U
"The enclosed inspection report documents the inspection results, which were discussed on May 24, 2013, with Mr. David Lewis and other members of your staff.",7,180,336,ML13182A476.txt,U,U,U
"The inspection examined activities conducted under your license as they relate to safety and compliance with the Commission's rules and regulations, and with the conditions of your license.",7,336,525,ML13182A476.txt,U,U,U
"The inspectors reviewed selected procedures and records, observed activities, and interviewed personnel.",7,525,629,ML13182A476.txt,U,U,U
The inspectors also reviewed mitigation strategies for addressing large fires and explosions.,7,629,722,ML13182A476.txt,U,U,U
"Based on the results of this inspection, two findings of very low safety significance (Green) were identified.",7,722,832,ML13182A476.txt,U,U,U
One of these findings was also determined to be a violation of NRC requirements.,7,832,912,ML13182A476.txt,U,U,U
"However, because of its very low safety significance, and because it was entered into your corrective action program, the NRC is treating this finding as a non-cited violation (NCV) consistent with Section 2.3.2 of the NRC Enforcement Policy.",7,912,1154,ML13182A476.txt,U,U,U
"If you contest the NCV in this report, you should provide a written response within 30 days of the date of this inspection report with the basis for your denial, to the Nuclear Regulatory Commission, ATTN: Document Control Desk, Washington D.C. 20555-0001; with copies to the Regional Administrator, Region I; the Director, Office of Enforcement; and the NRC Senior Resident Inspector at Limerick Generating Station.",7,1154,1570,ML13182A476.txt,U,U,U
