text,line,start_pos,end_pos,file,label_struck
"October 16, 2000 Charles M. Dugger, Vice President Operations - Waterford 3 Entergy Operations, Inc. 17265 River Road Killona, Louisiana 70066-0751 SUBJECT: NRC INSPECTION REPORT NO.",0,0,182,wat_2000010.txt,U
"50-382/00-10 Dear Mr. Dugger: This refers to the inspection conducted on August 20 through September 30, 2000, at the Waterford Steam Electric Station, Unit 3 facility.",0,182,350,wat_2000010.txt,U
"The results of the physical security and reactor safeguards inspections were discussed on August 25, 2000, with you and other members of your staff.",0,350,498,wat_2000010.txt,U
"The remainder of the results of this inspection were discussed on October 3, 2000, with Mr. E. Ewing and other members of your staff.",0,498,631,wat_2000010.txt,U
The enclosed report presents the results of these inspections.,0,631,693,wat_2000010.txt,U
These inspections examined activities conducted under your license as they relate to safety and compliance with the Commission's rules and regulations and with the conditions of your license.,0,693,884,wat_2000010.txt,U
"Within these areas, these inspections consisted of selected examination of procedures and representative records, observations of activities, and interviews with personnel.",0,884,1056,wat_2000010.txt,U
"Based on the results of these inspections, two issues were evaluated under the risk significance determination process and were determined to be of very low safety significance (green).",0,1056,1241,wat_2000010.txt,U
These issues have been entered into your corrective action program and are discussed in the summary of findings and in the body of the attached inspection report.,0,1241,1403,wat_2000010.txt,U
"These issues involved violations of NRC requirements, but because of their very low safety significance, these violations are being treated as noncited violations, consistent with Section VI.A of the Enforcement Policy.",0,1403,1622,wat_2000010.txt,U
"If you contest the violation or the significance of these noncited violations, you should provide a response within 30 days of the date of this inspection report, with the basis for your denial, to the U.S. Nuclear Regulatory Commission, ATTN: Document Control Desk, Washington, DC 20555-0001, with copies to the Regional Administrator, U.S. Nuclear Regulatory Commission, Region IV, 611 Ryan Plaza Drive, Suite 400, Arlington, Texas 76011; the Director, Office of Enforcement, U.S. Nuclear Regulatory Commission, Washington, DC 20555-0001; and the NRC Resident Inspector at Waterford Steam Electric Station, Unit 3 facility.",0,1622,2247,wat_2000010.txt,U
"In accordance with 10 CFR 2.790 of the NRC's ""Rules of Practice,"" a copy of this letter, its enclosures, and your response will be made available electronically for public inspection in the NRC Public Document Room or from the Publicly Available Records (PARS) component of NRC's document system (ADAMS).",0,2247,2551,wat_2000010.txt,U
ADAMS is accessible from the NRC Web site at http://www.nrc.gov/NRC/ADAMS/index.html (the Public Electronic Reading Room).,0,2551,2673,wat_2000010.txt,U
"Entergy Operations, Inc.",2,0,25,wat_2000010.txt,U
-2-,4,0,3,wat_2000010.txt,U
"Should you have any questions concerning this inspection, we will be pleased to discuss them with you.",6,0,102,wat_2000010.txt,U
"Sincerely,",6,102,112,wat_2000010.txt,U
/RA/,8,0,4,wat_2000010.txt,U
"Linda Joy Smith, Chief Project Branch E Division of Reactor Projects Docket No.",9,0,79,wat_2000010.txt,U
: 50-382 License No.,9,79,99,wat_2000010.txt,U
