text,line,start_pos,end_pos,file,Y,Predicted_Values
The failure to locate the pump in a location free from potentially seismic induced damage was inconsistent with the Final Safety Analysis Report.,161,1070,1215,ML071350662.txt,P,O
"In response to the inspectors' concerns, the licensee performed a seismic analysis and determined that the non-seismic piping would not fall during an operating basis earthquake.",161,1545,1723,ML071350662.txt,O,O
"The finding was greater than minor because it affected the mitigating systems cornerstone objective (design control attribute) to assure the availability, reliability, and capability of systems that respond to initiating events to prevent undesirable consequences.",161,1732,1996,ML071350662.txt,O,H
"The licensee's failure to properly restore the Division I RHR system during clearance restoration resulted in exceeding the applicable technical specification action completion time, in violation of Technical Specification 3.5.1, which was a performance deficiency.",32,2072,2337,ML17179A282.txt,P,O
"The team determined the finding had a crosscutting aspect within the human performance area, challenge the unknown, because individuals failed to perform adequate job-site reviews to identify and resolve unexpected conditions.",32,3479,3705,ML17179A282.txt,H,H
"Specifically, the failure to correctly identify and correct out of position Division I RHR minimum flow isolation valves resulted in unnecessarily and unknowingly extending the inoperability time of the Division I RHR subsystem by 39-45 days.",36,1510,1752,ML17179A282.txt,T,T
"The licensee entered Mode 2 on November 6, 2016, when they were unaware of the inoperability of the Division I RHR subsystem.",116,1741,1866,ML17179A282.txt,O,O
"The team reviewed a self-revealing violation for an inadequate procedure discussed in Section 4OA3 of this report, and two additional minor violations for failure to follow site procedures.",122,137,326,ML17179A282.txt,P,P
"While conducting interviews, a nonlicensed operator disclosed that he had discovered two service water valves (SW-V-105 and SW-V-124) not properly sealed in accordance with Procedure 2.0.2, ""Conduct of Operations Procedure, Operator Logs and Reports,"" Revision 110.",122,326,591,ML17179A282.txt,P,H
"Contrary to the above, on February 20 or 21, 2017, an individual who discovered an adverse condition did not promptly document the condition on a condition report.",126,2084,2247,ML17179A282.txt,H,T
"Not initiating a condition report for service water valves that were improperly sealed could have prevented the discovery of other possible configuration problems associated with the valves, such as being placed in the incorrect position.",126,2645,2883,ML17179A282.txt,H,T
"Additionally, from November 23 to November 29, 2016, operations personnel conducted a sealed valve audit, which failed to identify that these valves were in the incorrect position.",132,1186,1366,ML17179A282.txt,T,T
"Specifically, this procedure only checked that the seals were installed, and did not check that the valves where in the correct position.",138,2827,2964,ML17179A282.txt,P,T
This resulted in an extended period of time that the Division I residual heat removal (RHR) system was unknowingly inoperable.,138,2964,3090,ML17179A282.txt,P,P
"Specifically, the licensee failed on two occasions to properly determine compensatory measures to maintain or enhance operability of Technical Specification (TS) Systems, Structures, and Components (SSCs) that were not fully qualified until final corrective actions were taken.",23,3053,3330,ML15313A275.txt,O,T
"The inspectors' position was that simply stating that ""no compensatory measures are needed"" did not meet the definition of ""determine"" because there was no supporting bases for the determination of taking no compensatory 13",109,3722,3945,ML15313A275.txt,T,O
measures.,111,0,10,ML15313A275.txt,T,P
"The station added an assignment to CAP 01491302 to revise POD 01491302 which determined an appropriate compensatory measure to install information tags on the valve hand switches in the control room to enhance valve operation based on the pedigree of the motor-operated valves (only procured, maintained and tested with a safety-function to open) and motor overload settings.",111,10,385,ML15313A275.txt,P,T
"However, the inspectors were again concerned that the licensee did not appropriately determine whether compensatory measures were appropriate to maintain or enhance operability until final corrective actions were completed.",111,1598,1821,ML15313A275.txt,O,T
