text,line,start_pos,end_pos,file,Y,Predicted_Values
The failure to translate the design basis into drawings and the plant configuration is a performance deficiency.,93,978,1090,ML071350662.txt,D,D
"The finding was greater than minor because it affected the mitigating systems cornerstone objective (design control attribute) to assure the availability, reliability, and capability of systems that respond to initiating events to prevent undesirable consequences.",161,1732,1996,ML071350662.txt,O,O
"The team determined the finding had a crosscutting aspect within the human performance area, challenge the unknown, because individuals failed to perform adequate job-site reviews to identify and resolve unexpected conditions.",32,3479,3705,ML17179A282.txt,H,H
"The team determined the finding had a cross-cutting aspect within the human performance area, resources, because leaders did not ensure that personnel, equipment, procedures, and other resources were available and adequate to support nuclear safety.",36,2294,2543,ML17179A282.txt,O,O
there was enough slack in the chain to allow operation of the valve).,122,917,986,ML17179A282.txt,H,H
Failure to properly seal the valves constituted a violation of minor significance that is not subject to enforcement action in accordance with Section 2 of the Enforcement Policy.,122,1195,1374,ML17179A282.txt,H,P
"The team reviewed a self-revealed, Green, non-cited violation of Technical Specification (TS) 3.5.1, ""Emergency Core Cooling Systems (ECCS) Â­ Operating,"" for the licensee's failure to restore the Division I residual heat removal (RHR) system during clearance restoration, which resulted in exceeding the applicable technical specification action completion time.",132,112,474,ML17179A282.txt,O,P
"Additionally, from November 23 to November 29, 2016, operations personnel conducted a sealed valve audit, which failed to identify that these valves were in the incorrect position.",132,1186,1366,ML17179A282.txt,T,T
"Specifically, the failure to follow technical specification requirements to ensure the availability, reliability, and capability of the Division I RHR system directly affected the cornerstone objective.",136,3469,3671,ML17179A282.txt,P,O
"The team reviewed a self-revealed, Green, non-cited violation of Technical Specification 5.4.1.a, ""Procedures,"" for the licensee's failure to maintain Station Procedure 2.0.2, ""Conduct of Operations Procedure, Operator Logs and Reports,"" Revision 106, for conducting sealed valve audits.",138,2540,2827,ML17179A282.txt,P,P
This resulted in an extended period of time that the Division I residual heat removal (RHR) system was unknowingly inoperable.,138,2964,3090,ML17179A282.txt,P,P
"From November 23, 2016, to November 29, 2016, the licensee conducted this sealed valve audit in accordance with Step 4.4 of Procedure 2.0.2, and failed to identify the Division I RHR minimum flow isolation valves were in the incorrect position.",142,277,521,ML17179A282.txt,P,T
"The following quarter, on February 5, 2017, the licensee again conducted the sealed valve audit and found that the Division I RHR minimum flow isolation valves were in the incorrect position.",142,521,712,ML17179A282.txt,P,T
"This procedure inadequacy, to only check that the seals were installed vice also checking valve positions, unnecessarily extended the length of time that the Division I RHR system was unknowingly inoperable.",142,712,919,ML17179A282.txt,P,P
"This finding had a cross-cutting aspect within the human performance area, resources, because leaders did not ensure that personnel, equipment, procedures, and other resources were available and adequate to support nuclear safety.",142,3049,3279,ML17179A282.txt,O,O
"Specifically, the licensee had approved Procedure 2.0.2, ""Conduct of Operations Procedure, Operator Logs and Reports,"" Revision 106, for conducting sealed valve audits without including the fundamental direction to ensure that the sealed valves were sealed in the correct position [H.1].",142,3279,3566,ML17179A282.txt,O,P
"Specifically, Procedure 2.0.2, ""Conduct of Operations Procedure, Operator Logs and Reports,"" Revision 106, did not require that the position of the valves be checked.",144,245,411,ML17179A282.txt,P,P
"(NCV 05000298/2017009-02, ""Failure to Implement an Adequate Procedure for Equipment Control"") 4OA6 Meetings, Including Exit Exit Meeting Summary On May 17, 2017, the inspectors presented the inspection results by telephone to Mr. Ken Higginbotham, Vice President-Nuclear and Chief Nuclear Officer, and other members of the licensee's staff.",144,999,1339,ML17179A282.txt,P,O
