text,line,start_pos,end_pos,file,Y,Predicted_Values
"(Section 1R05.5(b)(1), Failure to Ensure Operators Required for Safe Shutdown Were On-Site) B. Licensee-Identified Violations Violations of very low safety significance or Severity Level IV that were identified by the licensee have been reviewed by the inspectors.",25,2909,3173,ML11300A116.txt,O,O
The inspectors concluded that the site did not properly communicate and reinforce expectations related to the fire protection program implementation for transient combustibles.,39,2207,2383,ML11300A116.txt,O,O
"The team determined that the failure to assess previous indications of concrete degradation, as specified in plant procedures, was a performance deficiency.",40,1916,2072,ML14087A338.txt,T,P
The team determined that this finding had a human performance cross cutting aspect in the area of work management.,40,2883,2997,ML14087A338.txt,H,P
"The team determined that the program document did not describe scheduling inspections, basis of line selection, basis for inspection points, and plans for re-inspection.",84,2258,2427,ML14087A338.txt,P,P
"The team recommended that the system engineer revise the program document to include: (1) details of the system lines included for inspection, (2) basis for the selecting the examination points, (3) plans for future inspections, including sample size, and (4) identification of the wall thickness acceptance criteria.",84,2751,3068,ML14087A338.txt,P,P
"As described in a letter to file, Attachment 1.3, Arkansas Nuclear One, Unit 1 [ML070640041], the team determined that the licensee had not met Commitment 8 since the licensee had not inspected the reactor coolant pump cover.",106,256,481,ML14087A338.txt,O,P
"This misunderstanding was called to the attention of site management, and may require additional clarification for staff on roles and responsibilities for executing the program effectively.",142,1842,2031,ML14087A338.txt,O,O
"Although the licensee would revise Technical specification 3.4.3 or shut down prior to exceeding 31 effective full power years, the team concluded the licensee had not met the conditions for meeting this time-limited aging analysis prior to the period of extended operation.",170,1276,1550,ML14087A338.txt,P,O
This finding is more than minor because it is associated with the design control attribute and affects the Mitigating Systems cornerstone objective to ensure the reliability of the dry cooling tower system during the probable maximum precipitation event on the plant site.,31,1877,2149,ML071350662.txt,D,D
"The finding was greater than minor because it affected the mitigating systems cornerstone objective (design control attribute) to assure the availability, reliability, and capability of systems that respond to initiating events to prevent undesirable consequences.",161,1732,1996,ML071350662.txt,O,D
"Cornerstone: Mitigating Systems Ã¥Ã¡ Green: A Green self-revealing non-cited violation (NCV) of 10 CFR 50, Appendix B, Criterion V, ""Instructions, Procedures, and Drawings,"" was identified.",99,892,1078,ML12027A131.txt,P,T
"As a result, Exelon failed to ensure that the local control circuits for several 4KV breakers would be isolated from the effects of fire damage.",42,2693,2837,ML13182A476.txt,O,D
"During an NRC inspection conducted between April 2, 2007, and April 27, 2007, a violation of NRC requirements was identified.",34,0,125,ML072260460.txt,O,O
"A Severity Level IV violation of 10 CFR 50.55a(g)(5)(iii) and 10 CFR 50.55a(g)(5)(iv) was identified for PSEG's failure to submit a relief request, in a timely manner, for incomplete inspections during ISI interval 2 for Unit 2 and for failing to provide sufficient information to demonstrate impracticality of inspection.",87,465,787,ML072260460.txt,O,O
"Specifically, vendor documentation for the DMV sight glass was not available on site, and as a result, PSEG did not incorporate appropriate vendor guidance regarding reinstallation and torque requirements for the sight glasses into plant procedures.",153,2370,2619,ML072260460.txt,O,O
"The inspectors determined that failure to assess risk associated with an emergent maintenance activity in accordance with station procedure AP 22C-003, ""Online Nuclear Safety and Generation Risk Assessment,"" Step 6.1.9 was a performance deficiency.",31,1993,2241,ML14041A484.txt,P,P
"Inspection Manual Chapter 0609, Appendix K, ""Maintenance Risk Assessment and Risk Management Significance Determination Process,"" was used to assess the significance of the finding because the finding resulted from the licensee's underestimate of plant risk.",31,2428,2686,ML14041A484.txt,T,T
"Failure to preclude repetitive failures of the train A Class 1E air conditioner, a significant condition adverse to quality, is a performance deficiency.",35,2857,3010,ML14041A484.txt,T,T
"The individuals and crews that failed portions of the operating test were remediated, retested, and passed their retake operating tests.",81,0,136,ML14041A484.txt,O,O
The inspectors identified a Green non-cited violation of 10 CFR 50.65(a)(4) for the failure to assess risk associated with an emergent maintenance activity performed on one of the offsite power circuit components inside the Wolf Creek switchyard.,99,573,819,ML14041A484.txt,T,T
"The inspectors noted that throughout the identification and repair process, Wolf Creek did not perform any risk assessment to determine the compatibility of current work.",99,1314,1484,ML14041A484.txt,T,O
The risk management actions should have included verification of the emergency diesel generator A system alignment and the emergency diesel engine room posted as protected equipment for the duration of the switchyard maintenance.,103,1057,1286,ML14041A484.txt,P,O
"The NRC observed that the licensee dose assessor participating in the November 5, 2013, emergency preparedness exercise was knowledgeable about an inaccuracy in the Electronic Dose Calculation Program and subsequently reviewed Condition Report 00059832, ""E-Plan Drill, Potential Incorrect EDCP Dose Assessments,"" dated January 30, 2013.",145,890,1226,ML14041A484.txt,D,O
"Users identified during the November 13, 2012, exercise that EDCP did not appear to apply the expected noble gas to iodine ratio with the vent stack radiation monitor in accident mode.",145,2119,2303,ML14041A484.txt,D,D
"The licensee confirmed on November 7, 2013, that EDCP was not correctly applying the default noble gas to iodine ratio, resulting in an overestimate of the concentration of iodine and particulates by a factor of 10, and an overestimate of the Thyroid CDE dose.",145,2303,2563,ML14041A484.txt,D,O
"URI 05000482/2013-00503, ""Apparent inaccuracy in licensee dose assessment software.""",149,146,230,ML14041A484.txt,D,P
The licensee concluded that compressor failure was approaching and it could no longer be relied upon to meet its 30 day mission time.,187,2218,2351,ML14041A484.txt,D,O
"Because the licensee was unable to clearly identify the root cause, the final report was in fact documented the most probable cause based on the analyses performed.",191,621,785,ML14041A484.txt,T,O
The cause of the need for this NOED was determined to be inadequate cleaning of the chiller internals following loss of control over the charcoal from a filter.,199,2276,2436,ML14041A484.txt,P,D
"Based on the above described definitions, the inspectors observed that the repetitive issue met the definition of a trend.",45,2518,2640,ML11244A041.txt,O,O
"However, neither of these procedures discussed when and who should evaluate and implement interim or compensatory corrective actions and hence they may not be done.",67,0,165,ML11244A041.txt,P,P
