,text,line,start_pos,end_pos,file,Y,Predicted_Values
1,"['nuc', 'lear', 'regulator', 'ommi', 'si', 'on']",2,0,35,ML14041A484.txt,U,U
10,"['if', 'you', 'contest', 'the', 'violations', 'or', 'significance', 'of', 'these', 'you', 'should', 'provide', 'response', 'within', 'days', 'of', 'the', 'date', 'of', 'this', 'inspection', 'with', 'the', 'basis', 'for', 'your', 'to', 'the', 'nuclear', 'regulatory', 'document', 'control', 'dc', 'with', 'copies', 'to', 'the', 'regional', 'region', 'the', 'office', 'of', 'nuclear', 'regulatory', 'dc', 'and', 'the', 'nrc', 'resident', 'inspector', 'at', 'the', 'wolf', 'creek', 'generating']",9,619,1133,ML14041A484.txt,U,N
13,[],13,0,3,ML14041A484.txt,U,U
21,"['yes', 'no', 'adams', 'yes', 'no', 'reviewer', 'initials', 'nfo', 'publicly']",21,28,87,ML14041A484.txt,U,U
22,"['yes', 'no', 'sensitive', 'yes', 'no']",21,87,118,ML14041A484.txt,U,U
25,"['senior', 'resident', 'inspector', 'resident', 'inspector', 'operations', 'engineer', 'senior', 'reactor', 'inspector', 'emergency', 'preparedness', 'inspector', 'skaggs', 'reactor', 'inspector', 'paul', 'senior', 'emergency', 'preparedness', 'inspector', 'gilbert', 'emergency', 'preparedness', 'inspector', 'raja', 'resident', 'inspector', 'nnaerika', 'reactor', 'inspector', 'approved', 'neil', 'project', 'branch', 'division', 'of', 'reactor', 'projects']",25,0,482,ML14041A484.txt,U,N
34,"['violations', 'of', 'nrc', 'requirements', 'are', 'dispositioned', 'in', 'accordance', 'with', 'the', 'enforcement']",31,1031,1128,ML14041A484.txt,U,U
35,"['the', 'program', 'for', 'overseeing', 'the', 'safe', 'operation', 'of', 'commercial', 'nuclear', 'power', 'reactors', 'is', 'described', 'in', 'oversight']",31,1128,1273,ML14041A484.txt,U,N
45,"['the', 'inspectors', 'determined', 'that', 'the', 'finding', 'did', 'not', 'have', 'aspect', 'because', 'the', 'performance', 'deficiency', 'was', 'caused', 'by', 'an', 'inadequate', 'procedure', 'change', 'in', 'which', 'was', 'not', 'representative', 'of', 'current']",31,3002,3222,ML14041A484.txt,U,N
46,[],31,3222,3236,ML14041A484.txt,U,U
48,"['mitigating', 'systems', 'åá']",35,0,41,ML14041A484.txt,U,U
50,"['of', 'crews', 'failed', 'the', 'simulator', 'scenario', 'portion', 'of', 'the', 'operating', 'and', 'of', 'licensed', 'operators', 'either', 'failed', 'the', 'scenario', 'or', 'failed', 'the', 'job', 'performance', 'measure', 'portions', 'of', 'the', 'operating']",35,181,424,ML14041A484.txt,U,N
57,"['this', 'finding', 'has', 'crosscutting', 'aspect', 'in', 'the', 'area', 'of', 'human', 'performance', 'associated', 'with', 'because', 'the', 'licensee', 'failed', 'to', 'ensure', 'that', 'personnel', 'were', 'adequately', 'trained', 'to', 'assure', 'nuclear', 'safety']",35,1803,2013,ML14041A484.txt,N,N
60,"['the', 'licensee', 'failed', 'to', 'determine', 'the', 'cause', 'of', 'the', 'train', 'class', 'air', 'conditioner', 'slug', 'flow', 'in', 'the', 'refrigerant', 'prior', 'to', 'experiencing', 'multiple', 'failures', 'and', 'plant']",35,2234,2420,ML14041A484.txt,N,N
61,"['the', 'licensee', 'eventually', 'determined', 'that', 'the', 'probable', 'cause', 'of', 'the', 'failures', 'was', 'the', 'failure', 'to', 'adequately', 'chemically', 'clean', 'the', 'system', 'following', 'the', 'failure', 'of', 'charcoal', 'in', 'that', 'some', 'charcoal', 'and', 'cleaning', 'agent', 'was', 'not', 'removed', 'following', 'the', 'work']",35,2420,2682,ML14041A484.txt,N,N
71,"['the', 'licensee', 'did', 'not', 'ensure', 'accurate', 'and', 'design', 'and', 'work', 'and', 'correct', 'labeling', 'of']",39,827,977,ML14041A484.txt,N,N
78,"['report', 'details']",43,379,396,ML14041A484.txt,U,U
81,"['the', 'inspectors', 'inspected', 'the', 'material', 'condition', 'of', 'these', 'including', 'transformers', 'and', 'other', 'switchyard', 'equipment', 'to', 'verify', 'that', 'plant', 'features', 'and', 'procedures', 'were', 'appropriate', 'for', 'operation', 'and', 'continued', 'availability', 'of', 'offsite', 'and', 'power']",43,747,1012,ML14041A484.txt,U,N
88,"['partial', 'walkdown', 'inspection', 'scope', 'the', 'inspectors', 'performed', 'partial', 'system', 'of', 'the', 'following']",43,1681,1808,ML14041A484.txt,U,U
90,"['åá', 'åá', 'åá']",47,0,6,ML14041A484.txt,U,U
