,text,line,start_pos,end_pos,file,Y,Predicted_Values
38,"['wolf', 'creek', 'arranged', 'for', 'the', 'transmission', 'system', 'maintenance', 'companies', 'to', 'recharge', 'gas', 'in', 'breaker', 'actively', 'feeding', 'the', 'train', 'class', 'distribution', 'without', 'performing', 'risk', 'management', 'actions', 'to', 'verify', 'the', 'readiness', 'of', 'onsite', 'power']",31,1558,1832,ML14041A484.txt,T,O
41,"['the', 'inspectors', 'determined', 'that', 'failure', 'to', 'assess', 'risk', 'associated', 'with', 'an', 'emergent', 'maintenance', 'activity', 'in', 'accordance', 'with', 'station', 'procedure', 'ap', 'nuclear', 'safety', 'and', 'generation', 'risk', 'step', 'was', 'performance']",31,1993,2241,ML14041A484.txt,P,O
71,"['the', 'licensee', 'did', 'not', 'ensure', 'accurate', 'and', 'design', 'and', 'work', 'and', 'correct', 'labeling', 'of']",39,827,977,ML14041A484.txt,O,P
176,"['the', 'inspectors', 'identified', 'green', 'violation', 'of', 'cfr', 'for', 'the', 'failure', 'to', 'assess', 'risk', 'associated', 'with', 'an', 'emergent', 'maintenance', 'activity', 'performed', 'on', 'one', 'of', 'the', 'offsite', 'power', 'circuit', 'components', 'inside', 'the', 'wolf', 'creek']",99,573,819,ML14041A484.txt,T,O
197,"['the', 'inspectors', 'determined', 'that', 'failure', 'to', 'assess', 'risk', 'associated', 'with', 'an', 'emergent', 'maintenance', 'activity', 'in', 'accordance', 'with', 'station', 'procedure', 'ap', 'nuclear', 'safety', 'and', 'generation', 'risk', 'was', 'performance']",103,2017,2254,ML14041A484.txt,T,O
215,"['the', 'licensee', 'allowed', 'switchyard', 'personnel', 'to', 'perform', 'troubleshooting', 'and', 'online', 'corrective', 'maintenance', 'to', 'address', 'an', 'emergent', 'condition', 'on', 'switchyard', 'breaker', 'which', 'was', 'part', 'of', 'the', 'train', 'offsite', 'power', 'without', 'assessing', 'the', 'impact', 'on', 'scheduled', 'maintenance', 'in', 'and', 'without', 'consideration', 'of', 'risk', 'management', 'actions', 'to', 'ensure', 'the', 'readiness', 'of', 'the', 'diesel', 'generator']",107,1786,2195,ML14041A484.txt,O,O
294,"['the', 'licensee', 'determined', 'this', 'deficiency', 'existed', 'in', 'edcp', 'version', 'which', 'was', 'in', 'use', 'on', 'november', 'and', 'continued', 'to', 'exist', 'in', 'edcp', 'version', 'implemented', 'october']",145,2563,2744,ML14041A484.txt,D,O
369,"['findings', 'failure', 'to', 'preclude', 'repetition', 'of', 'significant', 'condition', 'adverse', 'to', 'quality', 'affecting', 'the', 'train', 'class', 'air', 'conditioning', 'unit']",183,418,570,ML14041A484.txt,T,T
370,"['green', 'violation', 'of', 'cfr', 'appendix', 'criterion', 'was', 'identified', 'for', 'failure', 'to', 'preclude', 'repetition', 'of', 'significant', 'condition', 'adverse', 'to']",183,570,772,ML14041A484.txt,T,O
393,"['early', 'stages', 'of', 'the', 'root', 'cause', 'analysis', 'also', 'focused', 'almost', 'exclusively', 'on', 'the', 'and', 'an', 'extensive', 'hardware', 'failure', 'analysis', 'was', 'which', 'confirmed', 'the', 'slugging', 'but', 'could', 'not', 'identify', 'the']",187,1817,2028,ML14041A484.txt,D,O
424,"['the', 'train', 'class', 'air', 'conditioning', 'unit', 'had', 'to', 'be', 'removed', 'from', 'service', 'due', 'to', 'internal', 'debris', 'on', 'june', 'september', 'and', 'october', 'before', 'the', 'cause', 'was', 'identified', 'and']",191,3234,3438,ML14041A484.txt,P,T
1029,"['the', 'licensee', 'did', 'not', 'apply', 'systematic', 'approach', 'for', 'determining', 'the', 'appropriateness', 'of', 'compensatory', 'measures', 'while', 'making', 'operability', 'decisions', 'for', 'the', 'degraded', 'and', 'conditions', 'associated', 'with', 'the', 'rhr', 'recirculation', 'sump']",25,520,788,ML15313A275.txt,O,O
