label_SALLY,text,line,start_pos,end_pos,file
U,UNITED STATES NUCLEAR REGULATORY COMMISSION,0,0,43,ML11300A116.txt
U,"REGION III 2443 WARRENVILLE ROAD, SUITE 210 LISLE, IL 60532-4352",1,0,64,ML11300A116.txt
U,"October 27, 2011 Mr. Michael J. Pacilio Senior Vice President, Exelon Generation Company, LLC President and Chief Nuclear Officer (CNO), Exelon Nuclear 4300 Winfield Road Warrenville, IL 60555 SUBJECT: DRESDEN NUCLEAR POWER STATION TRIENNIAL FIRE PROTECTION INSPECTION REPORT 05000237/2011008(DRS); 05000249/2011008(DRS)",3,0,320,ML11300A116.txt
U,"Dear Mr. Pacilio: On October 17, 2011, the U.S. Nuclear Regulatory Commission (NRC) completed a triennial fire protection inspection at your Dresden Nuclear Power Station.",5,0,171,ML11300A116.txt
U,"The enclosed inspection report documents the inspection results, which were discussed on October 17, 2011, with Mr. D. Legget and other members of your staff.",5,171,329,ML11300A116.txt
U,The inspection examined activities conducted under your license as they relate to safety and compliance with the Commission's rules and regulations and with the conditions of your license.,5,329,517,ML11300A116.txt
U,"The inspectors reviewed selected procedures and records, observed activities, and interviewed personnel.",5,517,621,ML11300A116.txt
U,"Based on the results of this inspection, four NRC-identified findings of very low safety significance were identified.",5,621,739,ML11300A116.txt
U,The findings involved a violation of NRC requirements.,5,739,793,ML11300A116.txt
U,"However, because of their very low safety significance, and because the issues were entered into your corrective action program, the NRC is treating the issues as Non-Cited Violations (NCVs) in accordance with Section 2.3.2 of the NRC Enforcement Policy.",5,793,1047,ML11300A116.txt
U,"Additionally, a licensee identified violation is listed in Section 4OA7 of this report.",5,1047,1134,ML11300A116.txt
U,"If you contest the subject or severity of any NCVs, you should provide a response within 30 days of the date of this inspection report, with the basis for your denial, to the U.S. Nuclear Regulatory Commission, ATTN: Document Control Desk, Washington DC 20555-0001; with a copy to the Regional Administrator, U.S. Nuclear Regulatory Commission å_ Region III, 2443 Warrenville Road, Suite 210, Lisle, IL 60532-4352; the Director, Office of Enforcement, U. S. Nuclear Regulatory Commission, Washington, DC 20555-0001; and the Resident Inspector office at the Dresden Nuclear Power Station.",5,1134,1720,ML11300A116.txt
U,"In addition, if you disagree with the cross-cutting aspect assigned to any finding in this report, you should provide a response within 30 days of the date of this inspection report, with the basis for your disagreement, to the Regional Administrator, Region III, and the NRC Resident Inspector at the Dresden Nuclear Power Station.",5,1720,2052,ML11300A116.txt
U,M. Pacilio,7,0,11,ML11300A116.txt
U,-2-,9,0,3,ML11300A116.txt
U,"In accordance with 10 CFR 2.390 of the NRC's ""Rules of Practice,"" a copy of this letter, its enclosure, and your response (if any), will be available electronically for public inspection in the NRC Public Document Room or from the Publicly Available Records System (PARS) component of NRC's Agencywide Documents Access and Management System (ADAMS), accessible from the NRC Web site at http://www.nrc.gov/reading-rm/adams.html (the Public Electronic Reading Room).",11,0,464,ML11300A116.txt
U,"Sincerely, /RA by K. G. O'Brien For/ Steven A. Reynolds, Director Division of Reactor Safety Docket Nos.",11,464,568,ML11300A116.txt
U,50-237; 50-249 License Nos.,11,568,595,ML11300A116.txt
U,DPR-19; DPR-25 Enclosure: Inspection Report 05000237/2011008(DRS); 05000249/2011008(DRS) w/Attachment: Supplemental Information Distribution via ListServ,11,595,748,ML11300A116.txt
U,cc w/encl:,13,0,10,ML11300A116.txt
U,"U. S. NUCLEAR REGULATORY COMMISSION REGION III Docket No: License No: Report No: Licensee: Facility: Location: Dates: Inspectors: 50-237; 50-249 DPR-19; DPR-25 05000237/2011008(DRS); 05000249/2011008(DRS) Exelon Generation Company, LLC Dresden Nuclear Power Station, Units 2 and 3 Morris, IL July 27, 2011 å_ October 17, 2011 R. Langstaff, Senior Reactor Inspector, Lead Z. Falevits, Senior Reactor Inspector R. Winter, Reactor Inspector S. Belding, Student Engineer J. Bowen, Reactor Operations Engineer, NRR R. Daley, Chief Engineering Branch 3 Division of Reactor Safety",15,0,573,ML11300A116.txt
U,Observers:,17,0,10,ML11300A116.txt
U,Approved by:,19,0,12,ML11300A116.txt
U,Enclosure,21,0,9,ML11300A116.txt
U,"SUMMARY OF FINDINGS IR 05000237/2011008(DRS), 05000249/2011008(DRS); 07/27/2011-10/17/2011; Dresden Nuclear Power Station; Routine Triennial Fire Protection Baseline Inspection.",23,0,178,ML11300A116.txt
U,This report covers an announced triennial fire protection baseline inspection.,23,178,256,ML11300A116.txt
U,The inspection was conducted by Region III inspectors.,23,256,310,ML11300A116.txt
U,Four findings were identified by the inspectors.,23,310,358,ML11300A116.txt
U,The findings were considered Non-Cited Violations (NCVs) of NRC regulations.,23,358,434,ML11300A116.txt
U,"The significance of most findings is indicated by their color (Green, White, Yellow, Red) using Inspection Manual Chapter (IMC) 0609, ""Significance Determination Process"" (SDP).",23,434,611,ML11300A116.txt
U,"The cross-cutting aspects were determined using IMC 0310, ""Components Within the Cross Cutting Areas.""",23,611,713,ML11300A116.txt
U,Findings for which the SDP does not apply may be Green or be assigned a severity level after NRC management review.,23,713,828,ML11300A116.txt
