text,line,start_pos,end_pos,file,label_Frenard
UNITED STATES,0,0,13,ML082060602.txt,U
NUCLEAR REGULATORY COMMISSION,2,0,29,ML082060602.txt,U
"REGION III 2443 WARRENVILLE ROAD, SUITE 210 LISLE, IL 60532-4352",3,0,64,ML082060602.txt,U
"July 24, 2008 EA-08-125 Mr. Mark Bezilla Site Vice President FirstEnergy Nuclear Operating Company Perry Nuclear Power Plant P. O.",5,0,130,ML082060602.txt,U
"Box 97, 10 Center Road, A-PY-290 Perry, OH 44081-0097 SUBJECT: PERRY NUCLEAR POWER PLANT NRC INTEGRATED INSPECTION REPORT 05000440/2008003",5,130,268,ML082060602.txt,U
"Dear Mr. Bezilla: On June 30, 2008, the U.S. Nuclear Regulatory Commission (NRC) completed an inspection at your Perry Nuclear Power Plant.",7,0,139,ML082060602.txt,U
"The enclosed report documents the inspection findings which were discussed on July 14, 2008, with members of your staff.",7,139,259,ML082060602.txt,U
The inspection examined activities conducted under your license as they relate to safety and compliance with the Commission's rules and regulations and with the conditions of your license.,7,259,447,ML082060602.txt,U
"The inspectors reviewed selected procedures and records, observed activities, and interviewed personnel.",7,447,551,ML082060602.txt,U
"In June of 2008, the NRC reviewed Perry operational performance, inspection findings, and performance indicators for the first quarter of 2008.",7,551,694,ML082060602.txt,U
"Based on this review, we concluded that Perry was operating safely.",7,694,761,ML082060602.txt,U
"Based on the results of this inspection, one NRC-identified finding of very low safety significance was identified (green).",7,761,884,ML082060602.txt,U
"Additionally, four licensee-identified violations are listed in Section 4OA7 of this report.",7,884,976,ML082060602.txt,U
"However, because of the very low safety significance and because the issues were entered into your corrective action program, the NRC is treating these issue as non-cited violations in accordance with Section VI.A.1 of the NRC's Enforcement Policy.",7,976,1224,ML082060602.txt,U
"If you contest the subject or severity of any non-cited violation in this report, you should provide a response within 30 days of the date of this inspection report, with the basis for your denial, to the U.S. Nuclear Regulatory Commission, ATTN: Document Control Desk, Washington, DC 20555-0001; with copies to the Regional Administrator, U.S. Nuclear Regulatory Commission, Region III, 2443 Warrenville Road, Suite 210, Lisle, IL 60532-4352; the Director, Office of Enforcement, U.S. Nuclear Regulatory Commission, Washington, DC 20555-0001; and the NRC Resident Inspectors' Office at the Perry Nuclear Power Plant.",7,1224,1841,ML082060602.txt,U
M. Bezilla,9,0,11,ML082060602.txt,U
-2-,11,0,3,ML082060602.txt,U
"In accordance with 10 CFR 2.390 of the NRC's ""Rules of Practice,"" a copy of this letter and its enclosure will be available electronically for public inspection in the NRC Public Document Room or from the Publicly Available Records (PARS) component of NRC's document system (ADAMS), accessible from the NRC Web site at http://www.nrc.gov/reading-rm/adams.html (the Public Electronic Reading Room).",13,0,397,ML082060602.txt,U
"Sincerely, /RA/ Jamnes L. Cameron, Chief Reactor Projects Branch 6 Docket No.",13,397,474,ML082060602.txt,U
50-440 License No.,13,474,492,ML082060602.txt,U
"NPF-58 Enclosure: Inspection Report 05000440/2008003 w/Attachment: Supplemental Information J. Hagan, President and Chief Nuclear Officer - FENOC J. Lash, Senior Vice President of Operations and Chief Operating Officer - FENOC D. Pace, Senior Vice President, Fleet Engineering - FENOC J. Rinckel, Vice President, Fleet Oversight - FENOC P. Harden, Vice President, Nuclear Support Director, Fleet Regulatory Affairs - FENOC Manager, Fleet Licensing - FENOC Manager, Site Regulatory Compliance - FENOC D. Jenkins, Attorney, FirstEnergy Corp. Public Utilities Commission of Ohio C. O'Claire, State Liaison Officer, Ohio Emergency Management Agency R. Owen, Ohio Department of Health",13,492,1171,ML082060602.txt,U
cc w/encl:,15,0,10,ML082060602.txt,U
M. Bezilla,17,0,11,ML082060602.txt,U
-2-,19,0,3,ML082060602.txt,U
"In accordance with 10 CFR 2.390 of the NRC's ""Rules of Practice,"" a copy of this letter and its enclosure will be available electronically for public inspection in the NRC Public Document Room or from the Publicly Available Records (PARS) component of NRC's document system (ADAMS), accessible from the NRC Web site at http://www.nrc.gov/reading-rm/adams.html (the Public Electronic Reading Room).",21,0,397,ML082060602.txt,U
"Sincerely,",21,397,407,ML082060602.txt,U
"Jamnes L. Cameron, Chief Reactor Projects Branch 6 Docket No.",23,0,61,ML082060602.txt,U
50-440 License No.,23,61,79,ML082060602.txt,U
"NPF-58 Enclosure: Inspection Report 05000440/2008003 w/Attachment: Supplemental Information J. Hagan, President and Chief Nuclear Officer - FENOC J. Lash, Senior Vice President of Operations and Chief Operating Officer - FENOC D. Pace, Senior Vice President, Fleet Engineering - FENOC J. Rinckel, Vice President, Fleet Oversight - FENOC P. Harden, Vice President, Nuclear Support Director, Fleet Regulatory Affairs - FENOC Manager, Fleet Licensing - FENOC Manager, Site Regulatory Compliance - FENOC D. Jenkins, Attorney, FirstEnergy Corp. Public Utilities Commission of Ohio C. O'Claire, State Liaison Officer, Ohio Emergency Management Agency R. Owen, Ohio Department of Health",23,79,758,ML082060602.txt,U
cc w/encl:,25,0,10,ML082060602.txt,U
DOCUMENT NAME: G:\Perry\Perry 2008 003.doc,27,0,42,ML082060602.txt,U
G Publicly Available G Non-Publicly Available G Sensitive G Non-Sensitive,28,0,73,ML082060602.txt,U
"To receive a copy of this document, indicate in the concurrence box ""C"" = Copy without attach/encl ""E"" = Copy with attach/encl ""N"" = No copy",29,0,140,ML082060602.txt,U
OFFICE NAME DATE,31,0,16,ML082060602.txt,U
RIII:EICS KO'Brien PP for 07/24/08,33,0,34,ML082060602.txt,U
RIII JCameron:dtp 07/24/08 OFFICIAL RECORD COPY,35,0,47,ML082060602.txt,U
"Letter to M. Bezilla from J. Cameron dated July 24, 2008 SUBJECT: PERRY NUCLEAR POWER PLANT NRC INTEGRATED INSPECTION REPORT 05000440/2008003",37,0,142,ML082060602.txt,U
"DISTRIBUTION: Russell Gibbs; Tamara Bloomer Cameron Goodwin RidsNrrDirsIrib Resource Mark Satorius Kenneth Obrien Jared Heck Carole Ariano Linda Linn Cynthia Pederson (hard copy Â­ IR's only) DRPIII DRSIII Patricia Buckley Tammy Tomczak ROPreports@nrc.gov (inspection reports, final SDP letters, any letter with an IR number) B. Mallett, DEDR C. Carpenter, OE N. Hilton, OE A. Sapountzis, OE J. Wiggins, NRR M. Ashley, NRR J. Caldwell, RIII G. Shear, RIII S. West, RIII A. Boland, RIII C. Marco OGC T. Campbell, OGC D. Holody, Enforcement Officer, RI C. Evans, Enforcement Officer, RII W. Jones, Enforcement Officer, RIV H. Bell, OIG G. Caputo, OI S. Orth, RIII P. Lougheed, RIII P. Pelke, RIII S. Langan, RIII:OI J. Bigoness, RIII:OI N. Hane, OI:RIII OEMAIL",39,0,757,ML082060602.txt,U
"U.S. NUCLEAR REGULATORY COMMISSION REGION III Docket No: License No: Report No: Licensee: Facility: Location: Dates: Inspectors: 50-440 NPF-58 050000440/2008003 FirstEnergy Nuclear Operating Company (FENOC) Perry Nuclear Power Plant, Unit 1 Perry, Ohio April 1, 2008, through June 30, 2008 M. Franke, Senior Resident Inspector M. Wilk, Resident Inspector T. Taylor, Reactor Engineer R. Murray, Reactor Engineer M. Phalen, Health Physicist G. Wright, Project Engineer R. Leidy, Ohio Department of Health",41,0,503,ML082060602.txt,U
Observers:,43,0,10,ML082060602.txt,U
Approved by:,45,0,12,ML082060602.txt,U
"J. Cameron, Chief Branch 6 Division of Reactor Projects",47,0,55,ML082060602.txt,U
Enclosure,49,0,9,ML082060602.txt,U
