label_SALLY,text,line,start_pos,end_pos,file,label_struck
U,UNITE D S TATE S,0,0,16,ML14041A484.txt,U
U,NUC LEAR REGULATOR Y C OMMI S SI ON,2,0,35,ML14041A484.txt,U
U,"R E G IO N I V 1600 EAST LAMAR BLVD AR L INGTON , TEXAS 76011- 4511",3,0,67,ML14041A484.txt,U
U,10-Feb-14,5,0,17,ML14041A484.txt,U
U,"Mr. Adam C. Heflin President, Chief Executive Officer, and Chief Nuclear Officer Wolf Creek Nuclear Operating Corporation P.O.",7,0,126,ML14041A484.txt,U
U,"Box 411 Burlington, KS 66839 SUBJECT: WOLF CREEK GENERATING STATION ̴_ NRC INTEGRATED INSPECTION REPORT 05000482/2013005",7,126,245,ML14041A484.txt,U
U,"Dear Mr. Heflin: On December 31, 2013, the U.S. Nuclear Regulatory Commission (NRC) completed an inspection at your Wolf Creek Generating Station and on December 31, 2013, the NRC inspectors discussed the results of this inspection with Russell Smith, Site Vice President, and other members of your staff.",9,0,305,ML14041A484.txt,U
U,Inspectors documented the results of this inspection in the enclosed inspection report.,9,305,392,ML14041A484.txt,U
U,NRC inspectors documented three findings of very low safety significance (Green) in this report.,9,392,488,ML14041A484.txt,U
U,Two of these findings involved violations of NRC requirements; one of the findings did not involve a violation of NRC requirements.,9,488,619,ML14041A484.txt,U
U,"If you contest the violations or significance of these non-cited violations, you should provide a response within 30 days of the date of this inspection report, with the basis for your denial, to the U.S. Nuclear Regulatory Commission, ATTN: Document Control Desk, Washington, DC 20555-0001; with copies to the Regional Administrator, Region IV; the Director, Office of Enforcement, U.S. Nuclear Regulatory Commission, Washington, DC 20555-0001; and the NRC resident inspector at the Wolf Creek Generating Station.",9,619,1133,ML14041A484.txt,U
U,"If you disagree with a cross-cutting aspect assignment in this report, you should provide a response within 30 days of the date of this inspection report, with the basis for your disagreement, to the Regional Administrator, Region IV; and the NRC resident inspector at the Wolf Creek Generating Station.",9,1133,1436,ML14041A484.txt,U
U,Mr. Heflin,11,0,11,ML14041A484.txt,U
U,-2-,13,0,3,ML14041A484.txt,U
U,"In accordance with Title 10 of the Code of Federal Regulations (10 CFR) 2.390, ""Public Inspections, Exemptions, Requests for Withholding,"" a copy of this letter, its enclosure, and your response (if any) will be available electronically for public inspection in the NRC's Public Document Room or from the Publicly Available Records (PARS) component of the NRC's Agencywide Documents Access and Management System (ADAMS).",15,0,420,ML14041A484.txt,U
U,ADAMS is accessible from the NRC Web site at http://www.nrc.gov/reading-rm/adams.html (the Public Electronic Reading Room).,15,420,543,ML14041A484.txt,U
U,"Sincerely, /RA/ Neil O'Keefe, Chief Project Branch B Division of Reactor Projects Docket Nos.",15,543,636,ML14041A484.txt,U
U,: 50-482 License Nos: NPF-42 Enclosure: Inspection Report 05000482/2013005 w/ Attachment: Supplemental Information cc w/ encl: Electronic Distribution,15,636,786,ML14041A484.txt,U
U,Mr. Heflin,17,0,11,ML14041A484.txt,U
U,-3-,19,0,3,ML14041A484.txt,U
U,ML14041A484 SUNSI Rev Compl.,21,0,28,ML14041A484.txt,U
U,Yes  No ADAMS Yes  No Reviewer Initials NFO Publicly Avail.,21,28,87,ML14041A484.txt,U
