text,line,start_pos,end_pos,file,label_Frenard
UNITED STATES NUCLEAR REGULATORY COMMISSION,0,0,43,ML092050743.txt,U
"REGION I 475 ALLENDALE ROAD KING OF PRUSSIA, PA 19406-1415",1,0,58,ML092050743.txt,U
"July 24, 2009 Mr. David A. Heacock President and Chief Nuclear Officer Dominion Resources 5000 Dominion Boulevard Glen Allen, VA 23060-6711 SUBJECT: MILLSTONE POWER STATION - NRC INTEGRATED INSPECTION REPORT 05000336/2009003 AND 05000423/2009003",3,0,245,ML092050743.txt,U
"Dear Mr. Heacock: On June 30, 2009, the U.S. Nuclear Regulatory Commission (NRC) completed an inspection at your Millstone Power Station Unit 2 and Unit 3.",5,0,155,ML092050743.txt,U
"The enclosed inspection report documents the inspection results, which were discussed on July 8, 2009, with Mr. A. J. Jordan and other members of your staff.",5,155,312,ML092050743.txt,U
"The inspection examined activities conducted under your license as they relate to safety and compliance with the Commission's rules and regulations, and with the conditions of your license.",5,312,501,ML092050743.txt,U
"The inspectors reviewed selected procedures and records, observed activities, and interviewed personnel.",5,501,605,ML092050743.txt,U
This report documents one NRC-identified finding of very low safety significance (Green).,5,605,694,ML092050743.txt,U
This finding was determined to involve a violation of NRC requirements.,5,694,765,ML092050743.txt,U
"Additionally, two licenseeidentified violations which were determined to be of very low safety significance are listed in this report.",5,765,899,ML092050743.txt,U
"However, because of their very low safety significance and because they are entered into your corrective action program, the NRC is treating these findings as non-cited violations (NCVs) consistent with Section VI.A.1 of the NRC Enforcement Policy.",5,899,1147,ML092050743.txt,U
"If you contest any NCV in this report, you should provide a response within 30 days of the date of this inspection report, with the basis for your denial, to the Nuclear Regulatory Commission, ATTN.",5,1147,1345,ML092050743.txt,U
": Document Control Desk, Washington DC 20555-0001; with copies to the Regional Administrator, Region I; the Director, Office of Enforcement, United States Nuclear Regulatory Commission, Washington, DC 20555-0001; and the NRC Resident Inspector at Millstone.",5,1345,1602,ML092050743.txt,U
"In addition, if you disagree with the characterization of any finding in this report, you should provide a response within 30 days of the date of this inspection report, with the basis for your disagreement, to the Regional Administrator, Region I, and the NRC Resident Inspector at Millstone.",5,1602,1895,ML092050743.txt,U
The information you provide will be considered in accordance with Inspection Manual Chapter 0305.,5,1895,1992,ML092050743.txt,U
D. Heacock,7,0,11,ML092050743.txt,U
2,9,0,1,ML092050743.txt,U
"In accordance with Title 10 of the Code of Federal Regulations (CFR) Part 2.390 of the NRC's ""Rules of Practice,"" a copy of this letter, its enclosure, and your response (if any) will be available electronically for public inspection in the NRC Public Document Room or from the Publicly Available Records (PARS) component of the NRC's document system (ADAMS).",11,0,359,ML092050743.txt,U
ADAMS is accessible from the NRC Web Site at http://www.nrc.gov/reading-rm/adams.html (the Public Electronic Reading Room).,11,359,482,ML092050743.txt,U
"Sincerely, /RA/ Ronald R. Bellamy, Ph.D., Chief Projects Branch 6 Division of Reactor Projects Docket Nos.",11,482,588,ML092050743.txt,U
"50-336, 50-423 License Nos.",11,588,615,ML092050743.txt,U
"DPR-65, NPF-49 Enclosure: Inspection Report No.",11,615,662,ML092050743.txt,U
05000336/2009003 and 05000423/2009003 w/Attachment: Supplemental Information cc: w/encl: J.,11,662,753,ML092050743.txt,U
"Price, Vice President, Engineering, Dominion Fleet A. Jordan, Site Vice President, Millstone Station C. Funderburk, Director, Nuclear Licensing and Operations Support J. Semancik, Plant Manager, Millstone Station W. Bartron, Supervisor, Station Licensing J. Spence, Manager Nuclear Training L. Cuoco, Senior Counsel C. Brinkman, Manager, Washington Nuclear Operations J. Roy, Director of Operations, Massachusetts Municipal Wholesale Electric Company First Selectmen, Town of Waterford B. Sheehan, Chair, NEAC E. Woollacott, Vice-Chair, NEAC E. Wilds, Jr., Ph.D, Director, State of Connecticut SLO Designee J. Buckingham, Department of Public Utility Control C. Meek-Gallagher, Commissioner, Suffolk County, Department of Environment and Energy V. Minei, P.E., Director, Suffolk County Health Department, Division of Environmental Quality R. Shadis, New England Coalition Staff S. Comley, We The People D. Katz, Citizens Awareness Network (CAN) R. Bassilakis, Citizens Awareness Network (CAN) P. Eddy, Electric Division, Department of Public Service, State of New York P. Tonko, President and CEO, New York State Energy Research and Development Authority J. Spath, SLO Designee, New York State Energy Research and Development Authority N. Burton, Esq.",11,753,2004,ML092050743.txt,U
Enclosure,13,0,9,ML092050743.txt,U
D. Heacock,15,0,11,ML092050743.txt,U
2,17,0,1,ML092050743.txt,U
