text,line,start_pos,end_pos,file,label_Frenard,label_SALLY
"May 15, 2007 Kevin Walsh Vice President Operations Waterford 3 Entergy Operations, Inc. 17265 River Road Killona, LA 70066-0751 SUBJECT: WATERFORD STEAM ELECTRIC STATION, UNIT 3 - NRC INTEGRATED INSPECTION REPORT 05000382/2007002 Dear Mr. Walsh: On April 7, 2007, the NRC completed an inspection at your Waterford Steam Electric Station, Unit 3.",0,0,345,ML071350662.txt,U,U
"The enclosed report documents the inspection findings, which were discussed on April 5, 2007, with you and other members of your staff.",0,345,480,ML071350662.txt,U,U
This inspection examined activities conducted under your license as they relate to safety and compliance with the Commission's rules and regulations and with the conditions of your license.,0,480,669,ML071350662.txt,U,U
"The inspectors reviewed selected procedures and records, observed activities, and interviewed personnel.",0,669,773,ML071350662.txt,U,U
This report documents two findings of very low safety significance (Green).,0,773,848,ML071350662.txt,U,U
One of these findings was determined to involve a violation of NRC requirements.,0,848,928,ML071350662.txt,U,U
"However, because of the very low safety significance and because it was entered into your corrective action program, the NRC is treating this violation as a noncited violations (NCV), consistent with Section VI.A.1 of the NRC Enforcement Policy.",0,928,1173,ML071350662.txt,U,U
"If you contest the NCV, you should provide a response within 30 days of the date of this inspection report, with the basis for your denial, to the U.S. Nuclear Regulatory Commission, ATTN: Document Control Desk, Washington, DC 20555-0001, with copies to the Regional Administrator, U.S. Nuclear Regulatory Commission, Region IV, 611 Ryan Plaza Drive, Suite 400, Arlington, Texas 76011; the Director, Office of Enforcement, U.S. Nuclear Regulatory Commission, Washington, DC 20555-0001; and the NRC Resident Inspector at the Waterford Steam Electric Station, Unit 3, facility.",0,1173,1748,ML071350662.txt,U,U
"Entergy Operations, Inc.",2,0,25,ML071350662.txt,U,U
-2-,4,0,3,ML071350662.txt,U,U
"In accordance with 10 CFR 2.390 of the NRC's ""Rules of Practice,"" a copy of this letter, its enclosures, and your response, if any, will be made available electronically for public inspection in the NRC Public Document Room or from the Publicly Available Records (PARS) component of NRC's document system (ADAMS).",6,0,313,ML071350662.txt,U,U
ADAMS is accessible from the NRC Web site at http://www.nrc.gov/reading-rm/adams.html (the Public Electronic Reading Room).,6,313,436,ML071350662.txt,U,U
"Sincerely, /RA/ Jeff A. Clark, P. E. Chief, Project Branch E Division of Reactor Projects Docket: 50-382 License: NPF-38 Enclosure: NRC Inspection Report 050000382/2007002 w/Attachment: Supplemental Information cc w/Enclosure: Executive Vice President and Chief Operating Officer Entergy Operations, Inc. P.O.",6,436,745,ML071350662.txt,U,U
"Box 31995 Jackson, MS 39286-1995 Vice President, Operations Support Entergy Operations, Inc. P.O.",6,745,842,ML071350662.txt,U,U
"Box 31995 Jackson, MS 39286-1995 General Manager, Plant Operations Waterford 3 SES Entergy Operations, Inc. 17265 River Road Killona, LA 70057-3093 Manager, Licensing Entergy Operations, Inc. 17265 River Road Killona, LA 70057-3093 Chairman Louisiana Public Service Commission P.O.",6,842,1123,ML071350662.txt,U,U
"Box 91154 Baton Rouge, LA 70825-1697",6,1123,1159,ML071350662.txt,U,U
"Entergy Operations, Inc. Director, Nuclear Safety Assurance Entergy Operations, Inc. 17265 River Road Killona, LA 70057-3093 Richard Penrod, Senior Environmental Scientist, State Liaison Officer Office of Environmental Services Northwestern State University Russsell Hall, Room 201 Natchitoches, LA 71497 Parish President Council St. Charles Parish P.O.",8,0,354,ML071350662.txt,U,U
"Box 302 Hahnville, LA 70057",8,354,381,ML071350662.txt,U,U
-3-,10,0,3,ML071350662.txt,U,U
Chairperson Denton Field Office Chemical and Nuclear Preparedness and Protection Division Office of Infrastructure Protection Preparedness Directorate Dept.,12,0,156,ML071350662.txt,U,U
"of Homeland Security 800 North Loop 288 Federal Regional Center Denton, TX 76201-3698",12,156,241,ML071350662.txt,U,U
"Entergy Operations, Inc. Electronic distribution by RIV: Regional Administrator (BSM1) DRP Director (ATH) DRS Director (DDC) DRS Deputy Director (RJC1) Senior Resident Inspector (GFL1) Branch Chief, DRP/E (JAC) Senior Project Engineer, DRP/E (GDR) Team Leader, DRP/TSS (RLN1) RITS Coordinator (MSH3) Regional State Liaison Officer (WAM) NSIR/DPR/EPD (JTJ1) NSIR/DPR/EPD (REK) DRS STA (DAP) D. Cullison, OEDO RIV Coordinator (DGC) ROPreports WAT Site Secretary (AHY)",14,0,466,ML071350662.txt,U,U
-4-,16,0,3,ML071350662.txt,U,U
SUNSI Review Completed: _JAC____ ADAMS: / Yes G No Initials: _JAC____ / Publicly Available G Non-Publicly Available G Sensitive / Non-Sensitive R:\_REACTORS\_WAT\2007\WT2007-02RP-GFL.wpd RIV:RI:DRP/E SRI:DRP/E SPE:DRP/E C:DRS/OB DHOverland;mjs GFLarkin GDReplogle ATGody /RA/ /RA/ E-JAC T-JAC 5/10/07 5/15/07 5/10/07 5/14/07 C:DRS/EB1 C:DRS/PSB MPShannon WBJones /RA/ /RA/ 5/14/07 5/15/07 OFFICIAL RECORD COPY C:DRP/E JAClark /RA/ 5/15/07 T=Telephone E=E-mail F=Fax C:DRS/EB2 LJSmith /RA/ 5/14/07,18,0,496,ML071350662.txt,U,U
U.S. NUCLEAR REGULATORY COMMISSION REGION IV Docket: License No.,20,0,65,ML071350662.txt,U,U
: Report No.,20,65,77,ML071350662.txt,U,U
": Licensee: Facility: Location: Dates: Inspectors: 50-382 NPF-38 05000382/2007002 Entergy Operations, Inc. Waterford Steam Electric Station, Unit 3 Hwy.",20,77,229,ML071350662.txt,U,U
"18 Killona, Louisiana January 1 through April 7, 2007 G. Larkin, Senior Resident Inspector D. Overland, Resident Inspector K. Clayton, Operations Engineer S. Alferink, Reactor Inspector",20,229,414,ML071350662.txt,U,U
Approved By:,22,0,12,ML071350662.txt,U,U
"Jeff A. Clark, P. E., Chief, Project Branch E",24,0,45,ML071350662.txt,U,U
-1-,26,0,3,ML071350662.txt,U,U
Enclosure,28,0,9,ML071350662.txt,U,U
SUMMARY OF FINDINGS,30,0,20,ML071350662.txt,U,U
"IR05000382/2007-002; 01/01/2007-04/07/2007; Waterford Steam Electric Station, Unit 3: Maintenance Rule; Other The report covered a 3-month period of inspection by resident inspectors, an operations engineer, and a reactor inspector.",31,0,232,ML071350662.txt,U,U
"The inspectors identified two Green findings, one of which was a noncited violation.",31,232,316,ML071350662.txt,U,U
"The significance of most findings are indicated by their color (Green, White, Yellow, Red) using Inspection Manual Chapter (IMC) 0609, ""Significance Determination Process"" (SDP).",31,316,494,ML071350662.txt,U,U
Findings for which the SDP does not apply may be Green or be assigned a severity level after NRC management review.,31,494,609,ML071350662.txt,U,U
