label_SALLY,text,line,start_pos,end_pos,file
U,UNITED STATES,0,0,13,ML13308A903.txt
U,NUCLEAR REGULATORY COMMISSION,2,0,29,ML13308A903.txt
U,"REGION III 2443 WARRENVILLE ROAD, SUITE 210 LISLE, IL 60532-4352",3,0,64,ML13308A903.txt
U,01-Nov-13,5,0,16,ML13308A903.txt
U,"Mr. Michael J. Pacilio Senior Vice President, Exelon Generation Co., LLC President and Chief Nuclear Officer, Exelon Nuclear 4300 Winfield Road Warrenville, IL 60555 SUBJECT: DRESDEN NUCLEAR POWER STATION, UNITS 2 AND 3 NRC INTEGRATED INSPECTION REPORT 05000237/2013004; 05000249/2013004 Dear Mr. Pacilio: On September 30, 2013, the U.S. Nuclear Regulatory Commission (NRC) completed an integrated inspection at your Dresden Nuclear Power Station, Units 2 and 3.",7,0,462,ML13308A903.txt
U,"The enclosed report documents the results of this inspection, which were discussed on October 10, 2013, with Mr. S. Marik and other members of your staff.",7,462,616,ML13308A903.txt
U,"Based on the results of this inspection, one NRC-identified finding of very low safety significance was identified.",7,616,731,ML13308A903.txt
U,The finding involved a violation of NRC requirements.,7,731,784,ML13308A903.txt
U,"Additionally, a licensee- identified violation is listed in Section 4OA7 of this report.",7,784,872,ML13308A903.txt
U,"However, because of their very low safety significance, and because the issues were entered into your corrective action program, the NRC is treating the issues as non-cited violations (NCVs) in accordance with Section 2.3.2 of the NRC Enforcement Policy If you contest the subject or severity of the NCVs, you should provide a response within 30 days of the date of this inspection report, with the basis for your denial, to the U.S. Nuclear Regulatory Commission, ATTN: Document Control Desk, Washington, DC 20555-0001, with a copy to the Regional Administrator, U.S. Nuclear Regulatory Commission - Region III, 2443 Warrenville Road, Suite 210, Lisle, IL 60532-4352; the Director, Office of Enforcement, U.S. Nuclear Regulatory Commission, Washington, DC 20555-0001; and the Resident Inspector Office at the Dresden Nuclear Power Station.",7,872,1712,ML13308A903.txt
U,"In accordance with 10 CFR 2.390 of the NRC's ""Rules of Practice,"" a copy of this letter and its enclosure, and your response (if any) will be available electronically for public inspection in the NRC Public Document Room or from the Publicly Available Records System (PARS)",7,1712,1985,ML13308A903.txt
U,M. Pacilio,9,0,11,ML13308A903.txt
U,-2-,11,0,3,ML13308A903.txt
U,"component of NRC's Agencywide Documents Access and Management System (ADAMS), accessible from the NRC Web site at http://www.nrc.gov/reading-rm/adams.html (the Public Electronic Reading Room).",13,0,192,ML13308A903.txt
U,"Sincerely, /RA/ Patricia J. Pelke, Acting Chief Branch 6 Division of Reactor Projects Docket Nos.",13,192,289,ML13308A903.txt
U,50-237; 50-249 License Nos.,13,289,316,ML13308A903.txt
U,DPR-19; DPR-25 Enclosure: Inspection Report 05000237/2013004; 05000249/2013004 w/Attachment: Supplemental Information cc w/encl: Distribution via ListServTM,13,316,472,ML13308A903.txt
