text,line,start_pos,end_pos,file,label_struck
NUCLEAR REGULATORY COMMISSION,0,0,29,ML17179A282.txt,U
"REGION IV 1600 E. LAMAR BLVD ARLINGTON, TX 76011-4511",1,0,53,ML17179A282.txt,U
UNITED STATES,3,0,13,ML17179A282.txt,U
"June 27, 2017 Mr. Ken Higginbotham Vice President-Nuclear and CNO Nebraska Public Power District Cooper Nuclear Station 72676 648A Avenue P.O.",5,0,142,ML17179A282.txt,U
"Box 98 Brownville, NE 68321 SUBJECT: COOPER NUCLEAR STATION Â­ NRC SPECIAL INSPECTION REPORT 05000298/2017009",5,142,250,ML17179A282.txt,U
"Dear Mr. Higginbotham: On February 17, 2017, the U. S. Nuclear Regulatory Commission (NRC) completed its initial assessment of a residual heat removal (RHR) system configuration control problem that was discovered on February 5, 2017, at your Cooper Nuclear Station.",7,0,266,ML17179A282.txt,U
"During the fall 2016 refueling outage, operations personnel failed to reposition the Division I RHR minimum flow isolation valves to the open position prior to reinstalling the valve sealing devices.",7,266,465,ML17179A282.txt,U
"As a result, these minimum flow paths remained isolated until this condition was discovered on February 5, 2017.",7,465,577,ML17179A282.txt,U
"Based on this initial assessment, the NRC sent a special inspection team to your site on March 13, 2017.",7,577,681,ML17179A282.txt,U
"On May 17, 2017, the NRC completed its special inspection and discussed the results of this inspection with you and other members of your staff.",7,681,825,ML17179A282.txt,U
The results of this inspection are documented in the enclosed report.,7,825,894,ML17179A282.txt,U
NRC inspectors documented two findings of very low safety significance (Green) in this report.,7,894,988,ML17179A282.txt,U
Both of these findings involved violations of NRC requirements.,7,988,1051,ML17179A282.txt,U
The NRC is treating these violations as non-cited violations (NCVs) consistent with Section 2.3.2.a of the Enforcement Policy.,7,1051,1177,ML17179A282.txt,U
"If you contest the violations or significance of these NCVs, you should provide a response within 30 days of the date of this inspection report, with the basis for your denial, to the U.S. Nuclear Regulatory Commission, ATTN: Document Control Desk, Washington, DC 20555-0001; with copies to the Regional Administrator, Region IV; the Director, Office of Enforcement; and the NRC resident inspector at the Cooper Nuclear Station.",7,1177,1605,ML17179A282.txt,U
"If you disagree with a cross-cutting aspect assignment in this report, you should provide a response within 30 days of the date of this inspection report, with the basis for your disagreement, to the U.S. Nuclear Regulatory Commission, ATTN: Document Control Desk, Washington, DC 20555-0001; with copies to the Regional Administrator, Region IV; and the NRC resident inspector at the Cooper Nuclear Station.",7,1605,2012,ML17179A282.txt,U
K. Higginbotham,9,0,16,ML17179A282.txt,U
2,11,0,1,ML17179A282.txt,U
"This letter, its enclosure, and your response (if any) will be made available for public inspection and copying at http://www.nrc.gov/reading-rm/adams.html and at the NRC Public Document Room in accordance with 10 CFR 2.390, ""Public Inspections, Exemptions, Requests for Withholding.""",13,0,284,ML17179A282.txt,U
"Sincerely, /RA/ Jason Kozal, Branch Chief Project Branch C Division of Reactor Projects Docket No.",13,284,382,ML17179A282.txt,U
50-298 License No.,13,382,400,ML17179A282.txt,U
DPR-46 Enclosure: Inspection Report 05000298/2017009 w/ Attachments: 1.,13,400,471,ML17179A282.txt,U
Supplemental Information 2.,13,471,498,ML17179A282.txt,U
Detailed Risk Evaluation 3.,13,498,525,ML17179A282.txt,U
"Special Inspection Charter dated March 1, 2017 (ADAMS ML17060A687)",13,525,591,ML17179A282.txt,U
K. Higginbotham,15,0,16,ML17179A282.txt,U
3,17,0,1,ML17179A282.txt,U
"COOPER NUCLEAR STATION Â­ NRC SPECIAL INSPECTION REPORT 05000298/2017009 Â­ DATED JUNE 27, 2017 DISTRIBUTION: KKennedy, RA SMorris, DRA TPruett, DRP AVegel, DRS JClark, DRS RLantz, DRP JBowen, RIV/OEDO KFuller, RC VDricks, ORA JWeil, OCA TWengert, NRR AMoreno, RIV/CAO BMaier, RSLO THipschman, IPAT EUribe, IPAT MHerrera, DRMA RIV ACES JKozal, DRP CYoung, DRP MStafford, DRP PVoss, DRP CHenderson, DRP AElam, DRP",19,0,410,ML17179A282.txt,U
ADAMS ACCESSION NUMBER:  SUNSI Review ADAMS: By: MStafford/dll  Yes  No OFFICE RI:DRP/B TL:SIT NAME NHernandez RSmith /RA/ /RA/ SIGNATURE DATE 05/23/17 05/23/17,21,0,160,ML17179A282.txt,U
