,end_pos,file,line,start_pos,text,Y,Predicted_Values
146,974,ML14041A484.txt,81,918,"['there', 'were', 'two', 'crew', 'failures', 'and', 'individual']",T,O
799,2065,ML14087A338.txt,82,1791,"['based', 'on', 'review', 'of', 'the', 'actions', 'implemented', 'related', 'to', 'the', 'reactor', 'vessel', 'internals', 'program', 'aging', 'management', 'the', 'team', 'could', 'not', 'conclude', 'that', 'the', 'licensee', 'implemented', 'actions', 'that', 'would', 'effectively', 'manage', 'the', 'effects', 'of', 'aging', 'during', 'the', 'period', 'of', 'extended']",O,O
930,1600,ML14087A338.txt,102,1325,"['during', 'the', 'anniversary', 'of', 'the', 'concrete', 'containment', 'inspection', 'of', 'unit', 'reactor', 'the', 'licensee', 'failed', 'to', 'perform', 'subsequent', 'visual', 'inspection', 'of', 'concrete', 'cracks', 'that', 'exceeded', 'acceptable', 'criteria', 'from', 'the', 'anniversary', 'inspection']",O,O
1764,2991,ML12027A131.txt,99,2784,"['the', 'licensee', 'failed', 'to', 'ensure', 'during', 'safe', 'unit', 'and', 'unit', 'reactor', 'coolant', 'process', 'variables', 'would', 'be', 'maintained', 'within', 'those', 'predicted', 'for', 'loss', 'of', 'normal', 'ac']",O,O
2001,545,ML12027A131.txt,174,297,"['the', 'licensee', 'failed', 'to', 'ensure', 'during', 'postfire', 'safe', 'shutdown', 'involving', 'large', 'fire', 'in', 'the', 'main', 'control', 'room', 'unit', 'and', 'unit', 'rcs', 'process', 'variables', 'would', 'be', 'maintained', 'within', 'those', 'predicted', 'for', 'loss', 'of', 'normal', 'ac']",O,O
2022,1174,ML12027A131.txt,176,959,"['the', 'licensee', 'failed', 'to', 'ensure', 'during', 'safe', 'shutdown', 'involving', 'large', 'fire', 'in', 'the', 'unit', 'and', 'unit', 'rcs', 'process', 'variables', 'would', 'be', 'maintained', 'within', 'those', 'predicted', 'for', 'loss', 'of', 'normal', 'ac']",O,O
3017,1161,wat_2000010.txt,131,908,"['this', 'violation', 'was', 'processed', 'through', 'the', 'physical', 'protection', 'significance', 'determination', 'which', 'indicated', 'that', 'the', 'violation', 'had', 'very', 'low', 'risk', 'significance', 'because', 'it', 'was', 'human', 'error', 'that', 'had', 'not', 'been', 'repeated', 'during', 'the', 'previous', 'four']",H,O
3156,415,ML13182A476.txt,44,162,"['by', 'failing', 'to', 'establish', 'preventive', 'maintenance', 'strategy', 'for', 'fire', 'safe', 'shutdown', 'exelon', 'did', 'not', 'ensure', 'that', 'the', 'local', 'control', 'circuits', 'for', 'several', 'breakers', 'would', 'be', 'isolated', 'from', 'the', 'effects', 'of', 'fire']",O,O
3322,1983,ML13182A476.txt,80,1772,"['the', 'failure', 'to', 'establish', 'preventive', 'maintenance', 'strategy', 'for', 'safe', 'shutdown', 'switches', 'was', 'performance', 'deficiency', 'that', 'was', 'reasonably', 'within', 'ability', 'to', 'foresee', 'and']",O,O
3325,2715,ML13182A476.txt,80,2462,"['by', 'failing', 'to', 'establish', 'preventive', 'maintenance', 'strategy', 'for', 'fire', 'safe', 'shutdown', 'exelon', 'did', 'not', 'ensure', 'that', 'the', 'local', 'control', 'circuits', 'for', 'several', 'breakers', 'would', 'be', 'isolated', 'from', 'the', 'effects', 'of', 'fire']",O,O
3764,1140,ML071350662.txt,31,869,"['the', 'inspectors', 'identified', 'green', 'noncited', 'violation', 'of', 'cfr', 'appendix', 'criterion', 'for', 'failure', 'to', 'assure', 'that', 'the', 'design', 'as', 'specified', 'in', 'the', 'license', 'was', 'correctly', 'translated', 'into', 'drawings', 'and', 'the', 'actual', 'plant']",D,O
3767,1676,ML071350662.txt,31,1482,"['current', 'plant', 'configuration', 'and', 'drawing', 'foundation', 'sheet', 'do', 'not', 'conform', 'to', 'the', 'design', 'in', 'that', 'there', 'are', 'no', 'openings', 'other', 'than', 'the', 'floor']",D,O
4012,956,ML071350662.txt,161,790,"['the', 'inspectors', 'identified', 'that', 'the', 'licensee', 'had', 'inappropriately', 'located', 'the', 'train', 'ultimate', 'heat', 'sink', 'sump', 'pumps', 'near', 'qualified']",O,O
