text,line,start_pos,end_pos,file,label_Frenard,label_SALLY,label_struck
NUCLEAR REGULATORY COMMISSION,0,0,29,ML13298A103.txt,U,U,U
"REGION I V 1600 EAST LAMAR BLVD ARLINGTON, TEXAS 76011-4511",1,0,59,ML13298A103.txt,U,U,U
UNITED STATES,3,0,13,ML13298A103.txt,U,U,U
"October 24, 2013 Mr. Rafael Flores, Senior Vice President and Chief Nuclear Officer ATTN: Regulatory Affairs Luminant Generation Company LLC Comanche Peak Nuclear Power Plant P.O.",5,0,179,ML13298A103.txt,U,U,U
"Box 1002 Glen Rose, TX 76043 SUBJECT: COMANCHE PEAK NUCLEAR POWER PLANT, UNITS 1, 2 AND INDEPENDENT SPENT FUEL STORAGE INSTALLATION (ISFSI) INSPECTION REPORT 05000445/2013009, 05000446/2013009, AND 07200074/2013001",5,179,393,ML13298A103.txt,U,U,U
"Dear Mr. Flores: This letter refers to a routine inspection conducted on September 16 - 20, 2013, of the dry cask storage activities associated with your Independent Spent Fuel Storage Installation (ISFSI).",7,0,206,ML13298A103.txt,U,U,U
"The enclosed inspection report documents the inspection results which were discussed on September 19, 2013 with members of your staff.",7,206,340,ML13298A103.txt,U,U,U
"Inspectors continued to observe cask related loading activities on September 20, 2013 before leaving the site.",7,340,450,ML13298A103.txt,U,U,U
"Following the site visit, a telephonic exit was conducted on October 8, 2013 after the completion of a hydrogen monitoring test which was completed that demonstrated the combustible gas monitoring equipment was functioning as required.",7,450,685,ML13298A103.txt,U,U,U
The inspection examined activities conducted under your license as they relate to safety and compliance with the Commission's rules and regulations and with the conditions of your license.,7,685,873,ML13298A103.txt,U,U,U
"The inspection reviewed compliance with the requirements specified in the Technical Specifications associated with Holtec Certificate of Compliance 1014, the Holtec Final Safety Analysis Report (FSAR), and Title 10 of the Code of Federal Regulations (CFR) Part 72, Part 50, and Part 20.",7,873,1159,ML13298A103.txt,U,U,U
"Within these areas, the inspection included a review of radiation safety, cask thermal monitoring, quality assurance, corrective action program, safety evaluations, observations of cask loading activities, and how you addressed industry issues that affected your facility's programs.",7,1159,1442,ML13298A103.txt,U,U,U
Also reviewed were changes made to your ISFSI program since the last routine ISFSI inspection was conducted by the U.S. Nuclear Regulatory Commission (NRC).,7,1442,1598,ML13298A103.txt,U,U,U
No violations of NRC regulations were identified.,7,1598,1647,ML13298A103.txt,U,U,U
"In accordance with 10 CFR 2.390 of the NRC's ""Rules of Practice,"" a copy of this letter, its enclosure, and your response, if you choose to provide one, will be made available electronically for public inspection in the NRC Public Document Room or from the NRC's Agencywide Document Access Management System (ADAMS), accessible from the NRC Web site at http://www.nrc.gov/reading-rm/adams.html.",7,1647,2041,ML13298A103.txt,U,U,U
"To the extent possible, your response should",7,2041,2085,ML13298A103.txt,U,U,U
R. Flores,9,0,10,ML13298A103.txt,U,U,U
-2-,11,0,3,ML13298A103.txt,U,U,U
"not include any personal, privacy, or proprietary information so that it can be made available to the Public without redaction.",13,0,127,ML13298A103.txt,U,U,U
"Should you have any questions concerning this inspection, please contact the undersigned at 817-200-1191 or Mr. Lee Brookhart at 817-200-1549.",13,127,269,ML13298A103.txt,U,U,U
"Sincerely, /RA/ D. Blair Spitzberg, Ph.D., Chief Repository & Spent Fuel Safety Branch Division of Nuclear Materials Safety Dockets: 50-445, 50-446, 72-74 Licenses: NPF-87; NPF-89 Enclosure: Inspection Report 05000445/2013009, 05000446/2013009 and 07200074/2013001 w/attachments: 1.",13,269,551,ML13298A103.txt,U,U,U
Supplemental Information 2.,13,551,578,ML13298A103.txt,U,U,U
Loaded Casks at the Comanche Peak ISFSI cc w/attachments: ListservÂ®,13,578,645,ML13298A103.txt,U,U,U
R. Flores,15,0,10,ML13298A103.txt,U,U,U
-2-,17,0,3,ML13298A103.txt,U,U,U
"not include any personal, privacy, or proprietary information so that it can be made available to the Public without redaction.",19,0,127,ML13298A103.txt,U,U,U
"Should you have any questions concerning this inspection, please contact the undersigned at 817-200-1191 or Mr. Lee Brookhart at 817-200-1549.",19,127,269,ML13298A103.txt,U,U,U
"Sincerely, /RA/ D. Blair Spitzberg, Ph.D., Chief Repository & Spent Fuel Safety Branch Division of Nuclear Materials Safety Dockets: 50-445, 50-446, 72-74 Licenses: NPF-87; NPF-89 Enclosure: Inspection Report 05000445/2013009, 05000446/2013009 and 07200074/2013001 w/attachments: 1.",19,269,551,ML13298A103.txt,U,U,U
Supplemental Information 2.,19,551,578,ML13298A103.txt,U,U,U
Loaded Casks at the Comanche Peak ISFSI cc w/attachments: ListservÂ®,19,578,645,ML13298A103.txt,U,U,U
DISTRIBUTION w/encls: See next page,21,0,35,ML13298A103.txt,U,U,U
DRAFT: S:\DNMS\!RSFS\brookhart\Comanche Peak 2013\ CP 2013009-ISFSI-LEB.docx FINAL: R:\_Reactors\_CPSES\2013\CP 2013009-ISFSI-LEB.docx X Yes  No LEB SUNSI Rev Compl.,23,0,165,ML13298A103.txt,U,U,U
X Yes  No ADAMS Reviewer Initials X Yes  No Publicly Available Sensitive  Yes X No Sens.,23,165,253,ML13298A103.txt,U,U,U
Type Initials RIV:DNMS/FSDB RIV:DNMS/FSDB R-IV/C:FSDB LEBrookhart EJSimpson DBSpitzberg /RA/ /RA/ /RA/ 10/24/2013 10/24/2013 10/24/2013 OFFICIAL RECORD COPY T=Telephone E=E-mail F=Fax,23,253,436,ML13298A103.txt,U,U,U
"Letter to Rafael Flores from D. Blair Spitzberg, dated October 24, 2013.",25,0,73,ML13298A103.txt,U,U,U
"SUBJECT: COMANCHE PEAK NUCLEAR POWER PLANT, UNITS 1, 2 AND INDEPENDENT SPENT FUEL STORAGE INSTALLATION (ISFSI) INSPECTION REPORT 05000445/2013009, 05000446/2013009, AND 07200074/2013001",25,73,258,ML13298A103.txt,U,U,U
"DISTRIBUTION w/encls: Acting Regional Administrator (Steven.Reynolds@nrc.gov) Acting Deputy Regional Administrator (Thomas.Bergman@nrc.gov) DNMS Director (Anton.Vegel@nrc.gov) DNMS Deputy Director (Vivian.Campbell@nrc.gov) DRP Director (Kriss.Kennedy@nrc.gov) DRP Deputy Director (Troy.Pruett@nrc.gov) RSFS Branch Chief (Blair.Spitzberg@nrc.gov) Acting DRP/A Branch Chief (Wayne.Walker@nrc.gov) Senior Resident Inspector (John.Kramer@nrc.gov) Resident Inspector (Rayomand.Kumana@nrc.gov) Senior Project Engineer, DRP/A (David.Proulx@nrc.gov) Project Engineer, DRP/A (Jason.Dykert@nrc.gov) CP Administrative Assistant (Phyllis.Holder@nrc.gov) RSFS Inspector (Lee.Brookhart@nrc.gov) RSFS Inspector (Eric.Simpson@nrc.gov) Project Manager, SFST (William.Allen@nrc.gov) Public Affairs Officer (Victor.Dricks@nrc.gov) Public Affairs Officer (Lara.Uselding@nrc.gov) RITS Coordinator (Marisa.Herrera@nrc.gov) TSB Technical Assistant (Loretta.Williams@nrc.gov) Regional Counsel (Karla.Fuller@nrc.gov) Congressional Affairs Officer (Jenny.Weil@nrc.gov) RIV/ETA: OEDO (Daniel.Rich@nrc.gov) OEMail_Resources@nrc.gov ROPreports",27,0,1114,ML13298A103.txt,U,U,U
U.S. NUCLEAR REGULATORY COMMISSION REGION IV Dockets: Licenses: Report Nos.,29,0,76,ML13298A103.txt,U,U,U
