text,line,start_pos,end_pos,file,label_Frenard
NUCLEAR REGULATORY COMMISSION,0,0,29,ML11244A041.txt,U
"REGION III 2443 WARRENVILLE ROAD, SUITE 210 LISLE, IL 60532-4352",1,0,64,ML11244A041.txt,U
UNITED STATES,3,0,13,ML11244A041.txt,U
1-Sep-11,5,0,17,ML11244A041.txt,U
"Mr. Larry Meyer Site Vice President NextEra Energy Point Beach, LLC 6610 Nuclear Road Two Rivers, WI 54241 SUBJECT: POINT BEACH NUCLEAR POWER PLANT, UNITS 1 AND 2, PROBLEM IDENTIFICATION AND RESOLUTION INSPECTION REPORT 05000266/2011008; 05000301/2011008",7,0,254,ML11244A041.txt,U
"Dear Mr. Meyer: On July 21, 2011, the U.S. Nuclear Regulatory Commission (NRC) completed a Problem Identification and Resolution (PI&R) team inspection at the Point Beach Nuclear Plant.",9,0,185,ML11244A041.txt,U
"The enclosed report documents the inspection results, which were discussed on July 21 with Mr. T. Vehec and other members of your staff.",9,185,321,ML11244A041.txt,U
"The inspection was an examination of activities conducted under your license as they relate to the identification and resolution of problems, and compliance with the Commission's rules and regulations and the conditions of your operating license.",9,321,567,ML11244A041.txt,U
"Within these areas, the inspection involved examination of selected procedures and representative records, observations of activities, and interviews with personnel.",9,567,732,ML11244A041.txt,U
"On the basis of the samples selected for review, there were no findings identified during this inspection.",9,732,838,ML11244A041.txt,U
The team concluded that your staff was effective at identifying problems and incorporating them into the corrective action program.,9,838,969,ML11244A041.txt,U
"In general, issues were appropriately prioritized, evaluated, and corrected, audits and self-assessments were thorough and probing, and operating experience was appropriately screened and disseminated.",9,969,1170,ML11244A041.txt,U
Your staff was aware of the importance of having a strong safety-conscious work environment and expressed a willingness to raise safety issues.,9,1170,1313,ML11244A041.txt,U
"However, the inspection did identify weaknesses in the identification of trends and performance deficiencies pertaining to the initiation and quality of operability determinations and reportability evaluations.",9,1313,1523,ML11244A041.txt,O
"Additionally, the inspection identified that extensive changes made to plant systems and structures for the power uprate modifications should be considered for their effect on previous issues and corrective actions identified in the corrective action program.",9,1523,1782,ML11244A041.txt,U
L. Meyer,11,0,9,ML11244A041.txt,U
