label_SALLY,text,line,start_pos,end_pos,file
U,21-Apr-04,0,0,14,cp_2004002.txt
U,"Mr. M. R. Blevins, Senior Vice President and Principal Nuclear Officer TXU Energy ATTN: Regulatory Affairs Comanche Peak Steam Electric Station P.O.",2,0,148,cp_2004002.txt
U,"Box 1002 Glen Rose, Texas 76043 SUBJECT: COMANCHE PEAK STEAM ELECTRIC STATION - NRC INTEGRATED INSPECTION REPORT 05000445/2004002 AND 05000446/2004002 Dear Mr. Blevins: On March 24, 2004, the U.S. Nuclear Regulatory Commission (NRC) completed an inspection at your Comanche Peak Steam Electric Station, Units 1 and 2, facility.",2,148,475,cp_2004002.txt
U,"The enclosed integrated inspection report documents the inspection findings which were discussed on March 30, 2004, with Mr. J. J. Kelley and other members of your staff.",2,475,645,cp_2004002.txt
U,This inspection examined activities conducted under your licenses as they related to safety and compliance with the Commission's rules and regulations and with the conditions of your licenses.,2,645,837,cp_2004002.txt
U,"Within these areas, the inspection consisted of selected examination of procedures and representative records, observations of activities, and interviews with personnel.",2,837,1006,cp_2004002.txt
U,"Based on the results of this inspection, no findings of significance were identified.",2,1006,1091,cp_2004002.txt
U,"In accordance with 10 CFR 2.390 of the NRC's ""Rules of Practice,"" a copy of this letter and its enclosure will be made available electronically for public inspection in the NRC Public Document Room or from the Publicly Available Records (PARS) component of NRC's document system (ADAMS).",2,1091,1378,cp_2004002.txt
U,ADAMS is accessible from the NRC Web site at http://www.nrc.gov/reading-rm/adams.html (the Public Electronic Reading Room).,2,1378,1501,cp_2004002.txt
U,"Should you have any questions concerning this inspection, we will be pleased to discuss them with you.",2,1501,1603,cp_2004002.txt
U,"Sincerely, /RA/ William D. Johnson, Chief Project Branch A Division of Reactor Projects",2,1603,1690,cp_2004002.txt
U,TXU Electric Dockets: 50-445 50-446 Licenses: NPF-87 NPF-89,4,0,60,cp_2004002.txt
U,-2-,6,0,3,cp_2004002.txt
U,Enclosure: NRC Inspection Report 05000445/2004002 and 05000446/2004002 w/attachment: Supplemental Information cc w/enclosure: Fred W. Madden Regulatory Affairs Manager TXU Generation Company LP P.O.,8,0,198,cp_2004002.txt
U,"Box 1002 Glen Rose, TX 76043 George L. Edgar, Esq.",8,198,248,cp_2004002.txt
U,"Morgan Lewis 1111 Pennsylvania Avenue, NW Washington, DC 20004 Terry Parks, Chief Inspector Texas Department of Licensing and Regulation Boiler Program P.O.",8,248,404,cp_2004002.txt
U,"Box 12157 Austin, TX 78711 The Honorable Walter Maynard Somervell County Judge P.O.",8,404,487,cp_2004002.txt
