text,line,start_pos,end_pos,file,label_struck
28-Mar-14,0,0,14,ML14087A338.txt,U
"Jeremy Browning, Site Vice President Arkansas Nuclear One Entergy Operations, Inc. 1448 SR 333 Russellville, AR 72802-0967 SUBJECT: ARKANSAS NUCLEAR ONE, UNIT 1 Â­ NRC POST-APPROVAL LICENSE RENEWAL INSPECTION REPORT 05000313/2014007 Dear Mr. Browning: On March 12, 2014, the U.S. Nuclear Regulatory Commission (NRC) completed a Post-Approval Site Inspection for License Renewal at the Arkansas Nuclear One, Unit 1 facility.",2,0,422,ML14087A338.txt,U
"The enclosed report documents the inspection results, which were discussed on January 31, 2014, with you and other members of your staff.",2,422,559,ML14087A338.txt,U
"The team discussed the revised inspection results on March 12, 2014, with Mr. J. McCoy, Director, Engineering and other members of your staff.",2,559,701,ML14087A338.txt,U
"The team reviewed selected procedures and records, observed activities, and interviewed personnel.",2,701,799,ML14087A338.txt,U
NRC inspectors documented one finding of very low safety significance (Green) in this report.,2,799,892,ML14087A338.txt,U
This finding involved a violation of NRC requirements.,2,892,946,ML14087A338.txt,U
The NRC is treating this violation as a non-cited violation consistent with Section 2.3.2.a of the Enforcement Policy.,2,946,1064,ML14087A338.txt,U
"If you contest the violation or significance of this non-cited violation, you should provide a response within 30 days of the date of this inspection report, with the basis for your denial, to the U.S. Nuclear Regulatory Commission, ATTN: Document Control Desk, Washington, DC, 20555-0001; with copies to the Regional Administrator, Region IV; the Director, Office of Enforcement, U.S. Nuclear Regulatory Commission, Washington, DC 20555-0001; and the NRC resident inspector at the Arkansas Nuclear One.",2,1064,1567,ML14087A338.txt,U
"If you disagree with a cross-cutting aspect assignment in this report, you should provide a response within 30 days of the date of this inspection report, with the basis for your disagreement, to the Regional Administrator, Region IV; and the NRC resident inspector at the Arkansas Nuclear One.",2,1567,1861,ML14087A338.txt,U
J. Browning,4,0,12,ML14087A338.txt,U
-2-,6,0,3,ML14087A338.txt,U
