text,line,start_pos,end_pos,file,label_struck
"Specifically, the licensee's deterministic safe shutdown analysis identified the need for a procedural action to de-energize PORV 1NC34A at power supply 1EVDA, breaker 8.",39,1141,1311,ML16021A133.txt,"O, P"
"Using IMC 0609, Appendix F, Attachment 2, the finding was assigned a moderate degradation rating because there were inconsistencies between the plant's SSD analysis and SSD procedures.",47,1046,1230,ML16021A133.txt,"O, P"
"Contrary to the above, on November 16, 2015, the inspectors identified that the licensee failed to provide adequate procedural guidance to ensure fire safe shutdown due to a fire in FA 15/17.",47,2296,2487,ML16021A133.txt,"O, P"
"The NRC identified a Green non-cited violation (NCV) of McGuire Technical Specification 5.4.1.a, for Unit 1, for having an inadequate procedure to support safe shutdown for a fire in fire area (FA) 15/17.",39,937,1141,ML16021A133.txt,P
"Findings Introduction: The NRC identified a Green non-cited violation (NCV) of McGuire Technical Specification 5.4.1.a, ""Procedures,"" for Unit 1, for having an inadequate procedure to support safe shutdown for a fire in FA 15/17.",45,939,1168,ML16021A133.txt,P
"Additionally, the procedural step taken to close PORV isolation valve 1NC-33A is not adequate to ensure that the valve remains closed, because a fire induced short on cables",45,3563,3736,ML16021A133.txt,P
"5 1NC520, 1NC537, and 1NC538 could cause the valve to spuriously re-open, as identified in Attachment 11.7 of calculation MCC-1435.00-00-0059.",47,0,143,ML16021A133.txt,P
Analysis: The failure to completely and accurately translate the safe shutdown analysis to procedures was a performance deficiency (PD).,47,143,279,ML16021A133.txt,"P, O"
"(NCV 05000369/2015008-01, Failure to Completely and Accurately Translate the Safe Shutdown Analysis to Procedures) .02 a.",47,2916,3037,ML16021A133.txt,"P, O"
"Specifically, the licensee's deterministic safe shutdown analysis identified the need for a procedural action to de-energize pressurizer power operated relief valve (PORV) 1NC-34A at power supply 1EVDA, breaker 8, and this action was not translated to Enclosure 15 of McGuire fire safe shutdown procedure AP-45, ""Plant Fire"", Rev.",45,1168,1498,ML16021A133.txt,"P, T"
UNITED STATES NUCLEAR REGULATORY COMMISSION REGION II,0,0,53,ML16021A133.txt,U
"245 PEACHTREE CENTER AVENUE NE, SUITE 1200 ATLANTA, GEORGIA 30303-1257",1,0,70,ML16021A133.txt,U
"January 19, 2016 Mr. Steven D. Capps Site Vice President Duke Energy Carolinas, LLC McGuire Nuclear Station 12700 Hagers Ferry Road Huntersville, NC 28078-8985 SUBJECT: MCGUIRE NUCLEAR STATION, UNITS 1 AND 2 Â­ NRC TRIENNIAL FIRE PROTECTION INSPECTION REPORT 05000369/2015008 AND 05000370/2015008",3,0,295,ML16021A133.txt,U
"Dear Mr. Capps: On December 10, 2015, the U.S. Nuclear Regulatory Commission (NRC) completed an inspection at your McGuire Nuclear Station, Units 1 and 2, and discussed the results of this inspection with you and other members of your staff.",5,0,241,ML16021A133.txt,U
Inspectors documented the results of this inspection in the enclosed inspection report.,5,241,328,ML16021A133.txt,U
NRC inspectors documented one finding of very low safety significance (Green) in this report.,5,328,421,ML16021A133.txt,U
This finding involved a violation of NRC requirements.,5,421,475,ML16021A133.txt,U
The NRC is treating this violation as a non-cited violation (NCV) consistent with Section 2.3.2.a of the Enforcement Policy.,5,475,599,ML16021A133.txt,U
"If you contest the violation or significance of this NCV, you should provide a response within 30 days of the date of this inspection report, with the basis for your denial, to the U.S. Nuclear Regulatory Commission, ATTN.",5,599,821,ML16021A133.txt,U
": Document Control Desk, Washington DC 20555-001; with copies to the Regional Administrator Region II; the Director, Office of Enforcement, U.S Nuclear Regulatory Commission, Washington, DC 20555-0001; and the NRC resident inspector at the McGuire Nuclear Station.",5,821,1085,ML16021A133.txt,U
"In accordance with Title 10 of the Code of Federal Regulations 2.390, ""public Inspections, Exemptions, Request for Withholding,"" of the NRC's ""Rules of Practice,"" a copy of this letter, its enclosure, and your response (if any) will be available electronically for public inspection in the NRC Public Document Room or from the Publicly Available Records (PARS) component of",5,1085,1458,ML16021A133.txt,U
S. Capps,7,0,9,ML16021A133.txt,U
2,9,0,1,ML16021A133.txt,U
NRC's Agencywide Document Access Management System (ADAMS).,11,0,59,ML16021A133.txt,U
ADAMS is accessible from the NRC Website at http://www.nrc.gov./reading-rm/adams.html (the Public Electronic Reading Room).,11,59,182,ML16021A133.txt,U
