Coder,Train_Accuracy,Val_Accuracy,Test_Accuracy,#TestData,#AllData
Binary_Classification,0.706971705,0.894230783,0.682926829,123,634
Sally,0.890370429,0.910256445,0.621212121,66,317
Trixy,0.80893445,0.800000012,0.464788732,71,395
Frenard,0.820666432,0.817647099,0.430379747,79,413
Sally_Trixy_Agree,0.922000051,0.833333313,0.53125,32,144
Sally_Frenard_Agree,0.904000044,0.666666687,0.571428571,14,70
Sally_Trixy_DisAgree,0.958333313,0.571428597,0.764705882,17,84
Sally_Frenard_DisAgree,0.896739125,0.916666687,0.8,10,62
Trixy_Sally_DisAgree,0.852525353,0.800000012,0.375,24,134
Frenard_Sally_DisAgree,0.883673429,0.818181813,0.5,24,133
