,text,line,start_pos,end_pos,file,Y,Predicted_Values
5,"['box', 'ks', 'wolf', 'creek', 'generating', 'station', 'nrc', 'integrated', 'inspection', 'report']",7,126,245,ML14041A484.txt,U,U
6,"['dear', 'on', 'december', 'the', 'nuclear', 'regulatory', 'commission', 'completed', 'an', 'inspection', 'at', 'your', 'wolf', 'creek', 'generating', 'station', 'and', 'on', 'december', 'the', 'nrc', 'inspectors', 'discussed', 'the', 'results', 'of', 'this', 'inspection', 'with', 'russell', 'site', 'vice', 'and', 'other', 'members', 'of', 'your']",9,0,305,ML14041A484.txt,U,N
7,"['inspectors', 'documented', 'the', 'results', 'of', 'this', 'inspection', 'in', 'the', 'enclosed', 'inspection']",9,305,392,ML14041A484.txt,U,U
11,"['if', 'you', 'disagree', 'with', 'aspect', 'assignment', 'in', 'this', 'you', 'should', 'provide', 'response', 'within', 'days', 'of', 'the', 'date', 'of', 'this', 'inspection', 'with', 'the', 'basis', 'for', 'your', 'to', 'the', 'regional', 'region', 'and', 'the', 'nrc', 'resident', 'inspector', 'at', 'the', 'wolf', 'creek', 'generating']",9,1133,1436,ML14041A484.txt,U,N
15,"['adams', 'is', 'accessible', 'from', 'the', 'nrc', 'web', 'site', 'at', 'public', 'electronic', 'reading']",15,420,543,ML14041A484.txt,U,U
23,"['type', 'initials', 'nfo', 'cpeabody', 'rstroble', 'tfarnholtz', 'gmiller', 'vgaddy', 'for', 'not', 'available', 'mhaire', 'hgepford', 'rkellar', 'nokeefe', 'official', 'record', 'copy']",21,118,478,ML14041A484.txt,U,U
26,[],27,0,3,ML14041A484.txt,U,U
36,"['initiating', 'events', 'åá']",31,1273,1312,ML14041A484.txt,U,U
44,"['the', 'regional', 'senior', 'reactor', 'analyst', 'performed', 'bounding', 'analysis', 'of', 'the', 'incremental', 'core', 'damage', 'probability', 'and', 'determined', 'that', 'the', 'finding', 'was', 'of', 'very', 'low', 'safety', 'significance', 'because', 'the', 'bounding', 'analysis', 'indicated', 'that', 'the', 'effect', 'of', 'the', 'finding', 'on', 'plant', 'operations', 'was', 'less', 'than', 'the']",31,2686,3002,ML14041A484.txt,U,N
46,[],31,3222,3236,ML14041A484.txt,U,U
54,"['using', 'the', 'inspection', 'manual', 'chapter', 'appendix', 'the', 'inspector', 'determined', 'that', 'the', 'finding', 'was', 'more', 'than', 'minor', 'because', 'the', 'performance', 'deficiency', 'was', 'associated', 'with', 'the', 'mitigating', 'systems', 'cornerstone', 'attribute', 'of', 'human', 'and', 'affected', 'the', 'cornerstone', 'objective', 'of', 'ensuring', 'the', 'and', 'capability', 'of', 'systems', 'that', 'respond', 'to', 'initiating', 'events', 'to', 'prevent', 'undesirable']",35,927,1362,ML14041A484.txt,U,N
55,"['the', 'inspector', 'determined', 'that', 'this', 'finding', 'could', 'be', 'evaluated', 'using', 'inspection', 'manual', 'chapter', 'appendix', 'operator', 'requalification', 'significance', 'determination']",35,1362,1545,ML14041A484.txt,U,U
61,"['the', 'licensee', 'eventually', 'determined', 'that', 'the', 'probable', 'cause', 'of', 'the', 'failures', 'was', 'the', 'failure', 'to', 'adequately', 'chemically', 'clean', 'the', 'system', 'following', 'the', 'failure', 'of', 'charcoal', 'in', 'that', 'some', 'charcoal', 'and', 'cleaning', 'agent', 'was', 'not', 'removed', 'following', 'the', 'work']",35,2420,2682,ML14041A484.txt,N,N
63,"['this', 'issue', 'was', 'entered', 'into', 'the', 'corrective', 'action', 'program', 'as', 'condition', 'report']",35,2773,2857,ML14041A484.txt,U,U
64,"['failure', 'to', 'preclude', 'repetitive', 'failures', 'of', 'the', 'train', 'class', 'air', 'significant', 'condition', 'adverse', 'to', 'is', 'performance']",35,2857,3010,ML14041A484.txt,N,U
69,"['using', 'the', 'inspection', 'manual', 'chapter', 'appendix', 'exhibit', 'systems', 'screening', 'the', 'inspectors', 'determined', 'the', 'finding', 'was', 'of', 'very', 'low', 'safety', 'significance', 'because', 'the', 'finding', 'did', 'not', 'represent', 'an', 'actual', 'loss', 'of', 'function', 'of', 'at', 'least', 'single', 'train', 'for', 'greater', 'than', 'its', 'technical', 'specification', 'allowed', 'outage', 'time', 'and', 'the', 'finding', 'did', 'not', 'represent', 'an', 'actual', 'loss', 'of', 'function', 'of', 'one', 'or', 'more', 'nontechnical', 'specification', 'trains', 'of', 'equipment', 'designated', 'as', 'high', 'safety', 'significant', 'in', 'accordance', 'with', 'the', 'maintenance', 'rule', 'program', 'for', 'greater', 'than']",39,119,711,ML14041A484.txt,U,N
70,"['the', 'inspectors', 'determined', 'that', 'the', 'cause', 'of', 'the', 'finding', 'had', 'aspect', 'in', 'the', 'area', 'of', 'human']",39,711,827,ML14041A484.txt,N,U
78,"['report', 'details']",43,379,396,ML14041A484.txt,U,U
79,"['reactor', 'safety', 'initiating', 'mitigating', 'and', 'barrier', 'integrity', 'adverse', 'weather', 'protection']",43,396,534,ML14041A484.txt,U,U
95,"['findings', 'no', 'findings', 'were']",51,364,401,ML14041A484.txt,U,U
105,"['annual', 'inspection', 'inspection', 'scope', 'on', 'october', 'the', 'inspectors', 'completed', 'their', 'annual', 'evaluation', 'of', 'the', 'fire', 'brigade']",59,0,148,ML14041A484.txt,U,U
118,"['these', 'activities', 'constitute', 'completion', 'of', 'three', 'of', 'the', 'triennial', 'heat', 'sink', 'inspection', 'samples', 'as', 'defined', 'in', 'inspection', 'procedure']",63,756,897,ML14041A484.txt,U,U
119,[],65,0,3,ML14041A484.txt,U,U
120,[],67,0,3,ML14041A484.txt,U,U
124,"['the', 'inspectors', 'assessed', 'the', 'performance', 'of', 'the', 'operators', 'and', 'the', 'critique', 'of', 'their']",71,271,378,ML14041A484.txt,U,U
135,[],77,0,6,ML14041A484.txt,U,U
144,[],81,645,657,ML14041A484.txt,U,U
148,[],81,1064,1073,ML14041A484.txt,U,U
154,"['this', 'finding', 'was', 'of', 'very', 'low', 'safety', 'significance', 'because', 'the', 'finding', 'was', 'related', 'to', 'the', 'requalification', 'exam', 'did', 'not', 'result', 'in', 'failure', 'rate', 'of', 'greater', 'than', 'and', 'the', 'licensed', 'operators', 'were', 'remediated', 'prior', 'to', 'returning', 'to']",85,132,390,ML14041A484.txt,U,N
155,"['this', 'finding', 'has', 'aspect', 'in', 'the', 'area', 'of', 'human', 'performance', 'associated', 'with', 'because', 'the', 'licensee', 'failed', 'to', 'ensure', 'that', 'personnel', 'were', 'adequately', 'trained', 'to', 'assure', 'nuclear', 'safety']",85,390,601,ML14041A484.txt,N,N
161,"['inspection', 'scope', 'the', 'inspectors', 'reviewed', 'four', 'instances', 'of', 'degraded', 'performance', 'or', 'condition', 'of', 'safetyrelated', 'and', 'components', 'åá', 'june', 'fire', 'protection', 'functions', 'and', 'potential', 'sprinkler', 'dead', 'zebra', 'mussel', 'shells', 'found', 'in', 'fire', 'protection', 'condition', 'report', 'september', 'fire', 'protection', 'functions', 'and', 'fouling', 'of', 'fire', 'pump', 'suction', 'strainers', 'due', 'to', 'zebra', 'condition', 'report', 'october', 'circulating', 'water', 'function', 'effects', 'of', 'circulating', 'water', 'internal', 'flooding', 'on', 'auxiliary', 'feedwater', 'condition', 'report', 'october', 'plant', 'annunciator', 'function', 'cards', 'apparent', 'damage', 'by', 'maintenance', 'condition', 'report']",85,1099,1869,ML14041A484.txt,U,N
162,"['åá', 'åá', 'åá']",87,0,5,ML14041A484.txt,U,U
166,"['these', 'activities', 'constituted', 'completion', 'of', 'four', 'maintenance', 'effectiveness', 'as', 'defined', 'in', 'inspection', 'procedure']",89,549,676,ML14041A484.txt,U,U
169,"['findings', 'no', 'findings', 'were']",95,0,37,ML14041A484.txt,U,U
172,"['the', 'inspectors', 'verified', 'that', 'these', 'risk', 'assessments', 'were', 'performed', 'timely', 'and', 'in', 'accordance', 'with', 'the', 'requirements', 'of', 'cfr', 'maintenance', 'and', 'plant']",99,0,174,ML14041A484.txt,U,N
173,"['the', 'inspectors', 'reviewed', 'the', 'accuracy', 'and', 'completeness', 'of', 'the', 'risk', 'assessments', 'and', 'verified', 'that', 'the', 'licensee', 'implemented', 'appropriate', 'risk', 'management', 'actions', 'based', 'on', 'the', 'result', 'of', 'the']",99,174,381,ML14041A484.txt,U,N
