Coder,Train_Accuracy,Val_Accuracy,Test_Accuracy,#TestData,#AllData,Classes,Confusion Matrix,Precision,Recall,F1
Binary_Classification,0.772321403,0.860000014,0.691176471,136,634,"['U', 'N']","[[42 27]
 [15 52]]",0.658227848,0.776119403,0.712328767
Sally,0.855111241,0.839999974,0.626865672,67,317,"['H', 'P', 'D', 'T', 'O']","[[ 0  0  0  0  3]
 [ 0  0  0  0  5]
 [ 0  0  0  0  1]
 [ 0  0  0  0 16]
 [ 0  0  0  0 42]]",,,
Trixy,0.848301709,0.833333313,0.44,100,395,"['T', 'H', 'P', 'D', 'O']","[[ 4  0  4  0 18]
 [ 2  0  2  0  5]
 [ 1  0  6  0 17]
 [ 0  0  2  0  3]
 [ 0  0  2  0 34]]",,,
Frenard,0.904206991,0.828571439,0.376811594,69,413,"['O', 'P', 'T', 'H', 'D']","[[18  7  0  0  0]
 [12  8  0  0  0]
 [10  7  0  0  0]
 [ 0  5  0  0  0]
 [ 2  0  0  0  0]]",,,
Sally_Trixy_Agree,0.95094341,0.883333266,0.538461538,26,144,"['P', 'T', 'D', 'O', 'H']","[[ 0  0  0  2  0]
 [ 0  1  0  4  0]
 [ 0  0  0  4  0]
 [ 0  0  0 12  0]
 [ 0  0  0  2  1]]",,,
Sally_Frenard_Agree,0.95471704,0.76666671,0.727272727,11,70,"['O', 'H', 'D']","[[8 0 0]
 [1 0 0]
 [2 0 0]]",,,
Sally_Trixy_DisAgree,1,0.714285731,0.611111111,18,84,"['T', 'O']","[[3 3]
 [4 8]]",,,
Sally_Frenard_DisAgree,0.958333313,0.949999988,0.866666667,15,62,"['T', 'O']","[[ 0  2]
 [ 0 13]]",,,
Trixy_Sally_DisAgree,0.934042573,0.800000012,0.655172414,29,134,"['H', 'T', 'D', 'P', 'O']","[[ 0  0  0  1  0]
 [ 0  4  0  3  0]
 [ 0  1  0  1  1]
 [ 0  0  0  4  3]
 [ 0  0  0  0 11]]",,,
Frenard_Sally_DisAgree,0.894736826,0.836363733,0.296296296,27,133,"['O', 'P', 'D', 'T']","[[5 6 0 2]
 [0 3 0 3]
 [1 2 0 0]
 [0 5 0 0]]",,,
