Coder,Train_Accuracy,Val_Accuracy,Test_Accuracy,#TestData,#AllData
Binary_Classification,0.790465653,0.852941155,0.643939394,132,634
Sally,0.946226418,0.849999964,0.604938272,81,317
Trixy,0.888571262,0.875,0.530120482,83,395
Frenard,0.866894066,0.824242473,0.448275862,87,413
Sally_Trixy_Agree,0.925454557,0.769230783,0.523809524,21,144
Sally_Frenard_Agree,0.938775539,0.866666615,0.666666667,15,70
Sally_Trixy_DisAgree,0.989071071,0.80952388,0.9375,16,84
Sally_Frenard_DisAgree,0.98888886,0.800000012,0.75,12,62
Trixy_Sally_DisAgree,0.953999996,0.833333313,0.409090909,22,134
Frenard_Sally_DisAgree,0.943157852,0.800000012,0.185185185,27,133
