label_SALLY,text,line,start_pos,end_pos,file,Y,Predicted_Values
U,"However, because of their very low safety significance, and because the issues were entered into your corrective action program, the NRC is treating the issues as Non-Cited Violations (NCVs) in accordance with Section 2.3.2 of the NRC Enforcement Policy.",5,793,1047,ML11300A116.txt,U,U
U,"Additionally, a licensee identified violation is listed in Section 4OA7 of this report.",5,1047,1134,ML11300A116.txt,U,U
U,"If you contest the subject or severity of any NCVs, you should provide a response within 30 days of the date of this inspection report, with the basis for your denial, to the U.S. Nuclear Regulatory Commission, ATTN: Document Control Desk, Washington DC 20555-0001; with a copy to the Regional Administrator, U.S. Nuclear Regulatory Commission å_ Region III, 2443 Warrenville Road, Suite 210, Lisle, IL 60532-4352; the Director, Office of Enforcement, U. S. Nuclear Regulatory Commission, Washington, DC 20555-0001; and the Resident Inspector office at the Dresden Nuclear Power Station.",5,1134,1720,ML11300A116.txt,U,U
U,M. Pacilio,7,0,11,ML11300A116.txt,U,U
U,-2-,9,0,3,ML11300A116.txt,U,U
U,"In accordance with 10 CFR 2.390 of the NRC's ""Rules of Practice,"" a copy of this letter, its enclosure, and your response (if any), will be available electronically for public inspection in the NRC Public Document Room or from the Publicly Available Records System (PARS) component of NRC's Agencywide Documents Access and Management System (ADAMS), accessible from the NRC Web site at http://www.nrc.gov/reading-rm/adams.html (the Public Electronic Reading Room).",11,0,464,ML11300A116.txt,U,U
U,"SUMMARY OF FINDINGS IR 05000237/2011008(DRS), 05000249/2011008(DRS); 07/27/2011-10/17/2011; Dresden Nuclear Power Station; Routine Triennial Fire Protection Baseline Inspection.",23,0,178,ML11300A116.txt,U,U
U,"The cross-cutting aspects were determined using IMC 0310, ""Components Within the Cross Cutting Areas.""",23,611,713,ML11300A116.txt,U,U
U,"The NRC's program for overseeing the safe operation of commercial nuclear power reactors is described in NUREG-1649, ""Reactor Oversight Process,"" Revision 4, dated December 2006.",23,828,1006,ML11300A116.txt,U,U
O,This finding had a cross-cutting aspect in the area of Human Performance within the decision making component because the licensee did not properly communicate and reinforce expectations related to the fire protection program implementation concerning transient combustibles to personnel performing maintenance work and fire watches.,23,2113,2446,ML11300A116.txt,N,N
U,1 Enclosure,23,3354,3365,ML11300A116.txt,U,U
U,The inspectors did not identify a cross-cutting aspect associated with the finding because the finding was not representative of current performance.,25,403,552,ML11300A116.txt,U,U
U,"Specifically, the licensee failed to identify corrosion on the diesel fire pump battery terminals, which was contrary to the surveillance procedure that implemented the fire protection program.",25,895,1088,ML11300A116.txt,U,N
U,This finding was of very low safety significance because the diesel fire pump had started as part of a recent routine surveillance.,25,1430,1561,ML11300A116.txt,U,U
"O, T",This finding has a cross-cutting aspect in the area of Human Performance because the maintenance personnel who performed the battery surveillance did not have sufficient training to recognize the presence of corrosion.,25,1561,1779,ML11300A116.txt,N,N
U,"The inspectors identified a finding of very low safety significance (Green) and associated NCV of 10 CFR Part 50, Appendix R, Section III.L., for the licensee's failure to ensure that operators required for safe shutdown were on-site at all times.",25,1883,2130,ML11300A116.txt,U,U
U,The inspectors determined that the finding was more than minor because the failure to ensure that operators required for safe shutdown were on-site at all times reduced the margin for time available to perform safe shutdown actions.,25,2429,2661,ML11300A116.txt,U,U
U,Corrective actions taken or planned by the licensee have been entered into the licensee's corrective action program.,25,3173,3289,ML11300A116.txt,U,U
U,These violations and corrective action tracking numbers are listed in Section 4OA7 of this report.,25,3289,3387,ML11300A116.txt,U,U
U,2 Enclosure,25,3387,3398,ML11300A116.txt,U,U
U,"In addition, the inspectors' review and assessment focused on the licensee's post-fire safe shutdown systems for selected risk-significant fire areas.",31,1113,1263,ML11300A116.txt,U,U
U,"Protection of Safe Shutdown Capabilities Inspection Scope For each of the selected fire areas, the inspectors reviewed the fire hazards analysis, safe shutdown analysis, and supporting drawings and documentation to verify that safe shutdown capabilities were properly protected.",35,0,278,ML11300A116.txt,U,U
U,Findings - Failure to Implement Transient Combustible Program Introduction: The inspectors identified a finding of very low safety significance (Green) and associated Non-Cited Violation (NCV) of Technical Specifications Section 5.4.1.c for the failure to control transient combustible materials in accordance with the fire protection program requirements.,35,988,1344,ML11300A116.txt,U,U
O,"Description: During a walkdown on July 28, 2011, in the Unit 3 turbine building mezzanine, the inspectors identified a vertically stored wood pallet in a narrow passageway that did not have a transient combustible permit.",35,1643,1864,ML11300A116.txt,N,N
U,The inspectors noted that the identified the transient combustibles had remained in the areas r for more than one shift.,37,1408,1528,ML11300A116.txt,U,U
U,"Section 4.4.2 of the procedure stated, in part, that all transient combustible material shall be either constantly attended or removed from the work area at the end of the shift or have a transient combustible permit.",37,2329,2546,ML11300A116.txt,U,U
U,Section 4.4.3.1 required the licensee to limit transient combustibles to those materials and quantities necessary to support the work activity at the time.,37,2546,2701,ML11300A116.txt,U,U
U,The licensee removed the transient combustibles from the area prior to the end of the inspection.,39,541,638,ML11300A116.txt,U,U
U,In July 2009 the licensee had implemented a number of changes to their transient combustible program by Revision 9 to procedure OP-AA-201-009.,39,1132,1274,ML11300A116.txt,U,U
U,"As part of the procedure change, the licensee reduced the permissible quantity of wood that would be considered a minor transient combustible from 75 to 25 pounds.",39,1274,1437,ML11300A116.txt,U,U
