text,line,start_pos,end_pos,file,Y,Predicted_Values
This finding had a cross-cutting aspect in the area of Human Performance within the decision making component because the licensee did not properly communicate and reinforce expectations related to the fire protection program implementation concerning transient combustibles to personnel performing maintenance work and fire watches.,23,2113,2446,ML11300A116.txt,O,O
"Specifically, the licensee failed to control the amount and location of transient combustibles in areas containing safety-related components.",35,1344,1485,ML11300A116.txt,O,O
"Based on the lack of understanding of the transient combustible program exhibited by maintenance and other plant personnel, the inspectors concluded that the fire watch personnel similarly lacked a full understanding of the transient combustible program requirements.",39,1940,2207,ML11300A116.txt,T,T
"In addition, the licensee failed to identify the presence of transient combustibles through fire watches conducted as required by the fire protection program.",39,2755,2913,ML11300A116.txt,O,O
"Specifically, the licensee did not properly communicate and reinforce expectations related to the fire protection program implementation concerning transient combustibles to personnel performing maintenance work and fire watches, in a timely manner.",45,1192,1441,ML11300A116.txt,O,O
"Based on the amount of corrosion identified by the inspectors on August 31, 2011, the inspectors concluded that maintenance personnel had not properly completed Step I.15.c of Procedure DES 8300-13.",49,818,1016,ML11300A116.txt,T,T
"Neither of the maintenance personnel who had performed the surveillance on August 26, 2011, was aware that corrosion had been previously identified because the corrosion was not discussed during their pre-job briefing.",49,2523,2741,ML11300A116.txt,O,O
Analysis: The inspectors determined that the licensee's failure to implement the diesel fire pump battery surveillance procedure was contrary to Technical Specifications and was a performance deficiency.,55,269,472,ML11300A116.txt,O,O
"Contrary to the above, on August 26, 2011, the licensee failed to implement Procedure DES 8300-13.",55,3064,3162,ML11300A116.txt,O,O
The inspectors noted that the licensee has not completed the analyses and evaluations of the identified non-conforming MSOs.,81,2295,2419,ML11300A116.txt,O,O
The inspectors identified a finding of very low safety significance for failure to assure that the design basis for the dry cooling tower diesel-driven sump pumps was properly implemented.,39,6,194,ML071350662.txt,D,T
The failure to translate the design basis into drawings and the plant configuration is a performance deficiency.,93,978,1090,ML071350662.txt,D,D
The failure to locate the pump in a location free from potentially seismic induced damage was inconsistent with the Final Safety Analysis Report.,161,1070,1215,ML071350662.txt,O,O
The licensee entered the technical specification but did not adequately take samples once per 8 hours as required by Action 28.,31,1045,1172,wat_2000010.txt,O,O
"The chosen sample point, allowed by procedure, was located on a dead leg and did not adequately compensate for the inoperable radiation monitor.",31,1172,1316,wat_2000010.txt,O,P
"(3) of the Limerick Generating Station operating license, in that Exelon did not provide adequate procedural guidance for transporting the fire brigade and equipment to the spray pond pump house.",56,426,621,ML13182A476.txt,O,O
"Specifically, the existing fire procedure had incorrect guidance which would have needlessly delayed the fire brigade response.",56,621,748,ML13182A476.txt,P,P
"5 The team determined that based on the location of the spray pond pump house, transportation would be required for the fire brigade and that a reliable means of transportation had not been provided.",58,0,200,ML13182A476.txt,O,O
"Contrary to the above, PSEG Nuclear LLC determined that conformance with the code requirement for 100% inspection of 69 Class 1 welds and 29 Class 2 welds at Salem Nuclear Generating Station, Unit 2, during ISI interval 2 (May 10, 1992 - November 23, 2003), was impractical, however, (1) the basis for the termination was not demonstrated to the satisfaction of the Commission within 12 months after the expiration of ISI interval 2; and, (2) while PSEG notified the Commission of its determination on March 21, 2006, 28 months after the end of ISI interval 2, it did not submit the information necessary to support the determinations.",34,1091,1726,ML072260460.txt,O,O
