,text,line,start_pos,end_pos,file,Y,Predicted_Values
59,"['violation', 'of', 'cfr', 'appendix', 'criterion', 'was', 'identified', 'for', 'failure', 'to', 'preclude', 'repetition', 'of', 'significant', 'condition', 'adverse', 'to']",35,2038,2234,ML14041A484.txt,P,P
146,"['there', 'were', 'two', 'crew', 'failures', 'and', 'individual']",81,918,974,ML14041A484.txt,T,O
176,"['the', 'inspectors', 'identified', 'green', 'violation', 'of', 'cfr', 'for', 'the', 'failure', 'to', 'assess', 'risk', 'associated', 'with', 'an', 'emergent', 'maintenance', 'activity', 'performed', 'on', 'one', 'of', 'the', 'offsite', 'power', 'circuit', 'components', 'inside', 'the', 'wolf', 'creek']",99,573,819,ML14041A484.txt,T,O
191,"['the', 'risk', 'management', 'actions', 'should', 'have', 'included', 'verification', 'of', 'the', 'emergency', 'diesel', 'generator', 'system', 'alignment', 'and', 'the', 'emergency', 'diesel', 'engine', 'room', 'posted', 'as', 'protected', 'equipment', 'for', 'the', 'duration', 'of', 'the', 'switchyard']",103,1057,1286,ML14041A484.txt,P,O
194,"['realizing', 'potential', 'the', 'inspectors', 'brought', 'the', 'oversight', 'to', 'the', 'attention', 'of', 'licensee', 'who', 'immediately', 'directed', 'an', 'assessment', 'of', 'risk', 'and', 'wrote', 'condition', 'report', 'to', 'ensure', 'capture', 'of', 'emergent', 'switchyard', 'degraded', 'conditions', 'into', 'their', 'online', 'risk', 'assessment', 'program', 'as', 'required', 'by', 'cfr', 'and', 'station', 'procedure', 'ap']",103,1539,1896,ML14041A484.txt,O,P
369,"['findings', 'failure', 'to', 'preclude', 'repetition', 'of', 'significant', 'condition', 'adverse', 'to', 'quality', 'affecting', 'the', 'train', 'class', 'air', 'conditioning', 'unit']",183,418,570,ML14041A484.txt,T,O
370,"['green', 'violation', 'of', 'cfr', 'appendix', 'criterion', 'was', 'identified', 'for', 'failure', 'to', 'preclude', 'repetition', 'of', 'significant', 'condition', 'adverse', 'to']",183,570,772,ML14041A484.txt,T,P
408,"['the', 'root', 'cause', 'analysis', 'also', 'determined', 'that', 'the', 'work', 'performed', 'under', 'work', 'order', 'was', 'not', 'in', 'accordance', 'with', 'station', 'procedural']",191,214,369,ML14041A484.txt,P,O
413,"['failure', 'to', 'preclude', 'repetitive', 'failures', 'of', 'the', 'train', 'class', 'air', 'significant', 'condition', 'adverse', 'to', 'is', 'performance']",191,947,1100,ML14041A484.txt,T,O
423,"['contrary', 'to', 'the', 'between', 'september', 'and', 'october', 'the', 'licensee', 'failed', 'to', 'preclude', 'repetition', 'of', 'significant', 'condition', 'adverse', 'to']",191,3079,3234,ML14041A484.txt,T,O
424,"['the', 'train', 'class', 'air', 'conditioning', 'unit', 'had', 'to', 'be', 'removed', 'from', 'service', 'due', 'to', 'internal', 'debris', 'on', 'june', 'september', 'and', 'october', 'before', 'the', 'cause', 'was', 'identified', 'and']",191,3234,3438,ML14041A484.txt,P,O
1205,"['the', 'station', 'added', 'an', 'assignment', 'to', 'cap', 'to', 'revise', 'pod', 'which', 'determined', 'an', 'appropriate', 'compensatory', 'measure', 'to', 'install', 'information', 'tags', 'on', 'the', 'valve', 'hand', 'switches', 'in', 'the', 'control', 'room', 'to', 'enhance', 'valve', 'operation', 'based', 'on', 'the', 'pedigree', 'of', 'the', 'valves', 'maintained', 'and', 'tested', 'with', 'to', 'and', 'motor', 'overload']",111,10,385,ML15313A275.txt,P,O
1229,"['contrary', 'to', 'the', 'on', 'august', 'and', 'september', 'the', 'licensee', 'failed', 'to', 'determine', 'compensatory', 'measures', 'for', 'degraded', 'and', 'conditions', 'affecting', 'the', 'rhr', 'recirculation', 'sump', 'valves', 'in', 'accordance', 'with', 'procedure', 'revision']",119,2485,2791,ML15313A275.txt,T,P
1260,"['the', 'inspectors', 'determined', 'that', 'the', 'failure', 'to', 'accomplish', 'the', 'requirements', 'of', 'procedure', 'revision', 'to', 'properly', 'restore', 'functionality', 'of', 'the', 'building', 'ventilation', 'system', 'or', 'determine', 'compensatory', 'measures', 'prior', 'to', 'declaring', 'the', 'affected', 'ts', 'sscs', 'operable', 'and', 'fully', 'was', 'performance']",125,2736,3119,ML15313A275.txt,P,O
1436,"['the', 'licensee', 'determined', 'the', 'condensate', 'pump', 'failure', 'was', 'due', 'to', 'voids', 'within', 'the', 'motor', 'insulation', 'resulting', 'from', 'inadequate', 'vacuum', 'pressure', 'impregnation', 'that', 'caused', 'subsequent', 'motor', 'winding', 'ground', 'fault', 'and', 'resultant', 'pump']",195,1731,1968,ML15313A275.txt,D,O
1474,"['contrary', 'to', 'this', 'over', 'the', 'past', 'the', 'licensee', 'identified', 'six', 'instances', 'august', 'november', 'november', 'november', 'december', 'and', 'january', 'of', 'failure', 'to', 'report', 'the', 'major', 'loss', 'of', 'emergency', 'assessment', 'capability', 'when', 'the', 'seismic', 'monitoring', 'panel', 'was', 'for', 'unplanned']",209,698,1054,ML15313A275.txt,P,O
1475,"['the', 'licensee', 'also', 'identified', 'three', 'instances', 'december', 'september', 'and', 'september', 'of', 'failure', 'to', 'report', 'the', 'major', 'loss', 'of', 'emergency', 'assessment', 'capability', 'when', 'the', 'seismic', 'monitoring', 'panel', 'was', 'for', 'planned', 'events', 'for', 'greater', 'than']",209,1054,1336,ML15313A275.txt,P,O
1580,"['the', 'team', 'determined', 'that', 'this', 'finding', 'had', 'human', 'performance', 'cross', 'cutting', 'aspect', 'in', 'the', 'area', 'of', 'work']",40,2883,2997,ML14087A338.txt,H,P
1581,"['the', 'licensee', 'did', 'not', 'implement', 'process', 'of', 'and', 'executing', 'work', 'activities', 'such', 'that', 'nuclear', 'safety', 'was', 'the', 'overriding', 'priority']",40,2997,3175,ML14087A338.txt,O,O
1751,"['the', 'team', 'determined', 'that', 'the', 'licensee', 'had', 'not', 'met', 'commitment', 'to', 'develop', 'wall', 'thinning', 'inspection', 'program', 'aging', 'management', 'program', 'as', 'described', 'in', 'letter', 'to', 'attachment', 'arkansas', 'nuclear', 'unit']",86,512,739,ML14087A338.txt,P,P
1845,"['the', 'team', 'determined', 'that', 'this', 'finding', 'had', 'human', 'performance', 'cross', 'cutting', 'aspect', 'in', 'the', 'area', 'of', 'work']",102,315,429,ML14087A338.txt,H,P
2144,"['the', 'team', 'confirmed', 'that', 'the', 'licensee', 'documented', 'their', 'inspections', 'but', 'had', 'not', 'established', 'means', 'to', 'monitor', 'for', 'changes', 'as', 'specified', 'in', 'procedure']",142,2136,2293,ML14087A338.txt,P,O
2152,"['action', 'to', 'develop', 'tool', 'to', 'compile', 'results', 'and', 'findings', 'that', 'would', 'provide', 'more', 'effective', 'retrieval', 'of', 'history', 'related', 'to', 'structural']",144,0,165,ML14087A338.txt,P,P
2156,"['based', 'on', 'review', 'of', 'the', 'actions', 'implemented', 'related', 'to', 'the', 'maintenance', 'rule', 'structural', 'program', 'aging', 'management', 'the', 'team', 'concluded', 'the', 'licensee', 'had', 'not', 'completed', 'all', 'actions', 'needed', 'to', 'ensure', 'this', 'aging', 'management', 'program', 'will', 'effectively', 'manage', 'the', 'effects', 'of', 'aging', 'during', 'the', 'period', 'of', 'extended']",144,783,1097,ML14087A338.txt,O,O
2313,"['the', 'team', 'concluded', 'that', 'the', 'licensee', 'had', 'not', 'met', 'commitment', 'prior', 'to', 'the', 'period', 'of', 'extended']",170,1550,1669,ML14087A338.txt,P,P
2683,"['procedural', 'place', 'keeping', 'techniques', 'were', 'less', 'than']",99,2423,2497,ML12027A131.txt,P,P
2684,"['green', 'nrc', 'identified', 'ncv', 'of', 'unit', 'operating', 'license', 'condition', 'and', 'unit', 'operating', 'license', 'condition', 'for', 'failure', 'to', 'implement', 'and', 'maintain', 'in', 'effect', 'all', 'provisions', 'of', 'the', 'approved', 'fire', 'protection', 'program', 'as', 'described', 'in', 'the', 'fsar', 'for', 'the']",99,2497,2784,ML12027A131.txt,O,O
2864,"['contrary', 'to', 'the', 'on', 'october', 'operations', 'personnel', 'failed', 'to', 'follow', 'written', 'procedure', 'tdafw', 'pump', 'response', 'time', 'and', 'check', 'valve']",162,2757,2918,ML12027A131.txt,T,P
3122,"['the', 'failure', 'to', 'properly', 'restore', 'the', 'division', 'rhr', 'system', 'during', 'clearance', 'restoration', 'resulted', 'in', 'exceeding', 'the', 'applicable', 'technical', 'specification', 'action', 'completion', 'in', 'violation', 'of', 'technical', 'specification', 'which', 'was', 'performance']",32,2072,2337,ML17179A282.txt,P,O
3314,"['the', 'licensee', 'had', 'an', 'opportunity', 'to', 'identify', 'this', 'error', 'during', 'sealed', 'valve', 'audit', 'the', 'week', 'of', 'november', 'but', 'failed', 'to', 'identify', 'the', 'valves', 'were', 'out', 'of']",90,1739,1913,ML17179A282.txt,T,O
3435,"['on', 'october', 'when', 'removing', 'clearance', 'order', 'during', 're', 'operations', 'personnel', 'failed', 'to', 'reposition', 'the', 'division', 'rhr', 'minimum', 'flow', 'isolation', 'valves', 'and', 'for', 'rhr', 'pumps', 'and', 'to', 'the', 'open', 'position', 'prior', 'to', 'reinstalling', 'the', 'valve', 'sealing']",132,774,1046,ML17179A282.txt,T,P
3437,"['from', 'november', 'to', 'november', 'operations', 'personnel', 'conducted', 'sealed', 'valve', 'which', 'failed', 'to', 'identify', 'that', 'these', 'valves', 'were', 'in', 'the', 'incorrect']",132,1186,1366,ML17179A282.txt,T,P
3458,"['the', 'failure', 'to', 'follow', 'technical', 'specification', 'requirements', 'to', 'ensure', 'the', 'and', 'capability', 'of', 'the', 'division', 'rhr', 'system', 'directly', 'affected', 'the', 'cornerstone']",136,3469,3671,ML17179A282.txt,P,P
3464,"['operations', 'personnel', 'restoring', 'the', 'division', 'rhr', 'system', 'did', 'not', 'ensure', 'that', 'the', 'minimum', 'flow', 'isolation', 'valves', 'were', 'left', 'in', 'the', 'correct', 'position', 'of', 'sealed', 'open']",138,674,855,ML17179A282.txt,H,P
3473,"['the', 'team', 'reviewed', 'violation', 'of', 'technical', 'specification', 'for', 'the', 'failure', 'to', 'maintain', 'station', 'procedure', 'of', 'operations', 'operator', 'logs', 'and', 'revision', 'for', 'conducting', 'sealed', 'valve']",138,2540,2827,ML17179A282.txt,P,P
