,text,line,start_pos,end_pos,file,Y,Predicted_Values
59,"['violation', 'of', 'cfr', 'appendix', 'criterion', 'was', 'identified', 'for', 'failure', 'to', 'preclude', 'repetition', 'of', 'significant', 'condition', 'adverse', 'to']",35,2038,2234,ML14041A484.txt,T,T
146,"['there', 'were', 'two', 'crew', 'failures', 'and', 'individual']",81,918,974,ML14041A484.txt,O,P
215,"['the', 'licensee', 'allowed', 'switchyard', 'personnel', 'to', 'perform', 'troubleshooting', 'and', 'online', 'corrective', 'maintenance', 'to', 'address', 'an', 'emergent', 'condition', 'on', 'switchyard', 'breaker', 'which', 'was', 'part', 'of', 'the', 'train', 'offsite', 'power', 'without', 'assessing', 'the', 'impact', 'on', 'scheduled', 'maintenance', 'in', 'and', 'without', 'consideration', 'of', 'risk', 'management', 'actions', 'to', 'ensure', 'the', 'readiness', 'of', 'the', 'diesel', 'generator']",107,1786,2195,ML14041A484.txt,T,O
285,"['the', 'nrc', 'observed', 'that', 'the', 'licensee', 'dose', 'assessor', 'participating', 'in', 'the', 'november', 'emergency', 'preparedness', 'exercise', 'was', 'knowledgeable', 'about', 'an', 'inaccuracy', 'in', 'the', 'electronic', 'dose', 'calculation', 'program', 'and', 'subsequently', 'reviewed', 'condition', 'report', 'potential', 'incorrect', 'edcp', 'dose', 'dated', 'january']",145,890,1226,ML14041A484.txt,D,P
292,"['users', 'identified', 'during', 'the', 'november', 'exercise', 'that', 'edcp', 'did', 'not', 'appear', 'to', 'apply', 'the', 'expected', 'noble', 'gas', 'to', 'iodine', 'ratio', 'with', 'the', 'vent', 'stack', 'radiation', 'monitor', 'in', 'accident']",145,2119,2303,ML14041A484.txt,D,P
404,"['the', 'report', 'concluded', 'that', 'the', 'vibrations', 'and', 'slugging', 'was', 'most', 'likely', 'induced', 'by', 'leftover', 'flushing', 'chemicals', 'and', 'debris', 'that', 'have', 'been', 'subsequently', 'loosened', 'into', 'the', 'process']",187,3166,3346,ML14041A484.txt,D,P
659,"['the', 'team', 'determined', 'that', 'this', 'finding', 'had', 'human', 'performance', 'cross', 'cutting', 'aspect', 'in', 'the', 'area', 'of', 'work']",40,2883,2997,ML14087A338.txt,H,P
801,"['the', 'team', 'determined', 'that', 'the', 'licensee', 'had', 'not', 'met', 'commitment', 'to', 'develop', 'reactor', 'vessel', 'internals', 'program', 'aging', 'management', 'program', 'as', 'described', 'in', 'letter', 'to', 'attachment', 'arkansas', 'nuclear', 'unit']",82,2258,2485,ML14087A338.txt,P,P
894,"['failure', 'to', 'reassess', 'the', 'effects', 'of', 'aging']",96,2276,2330,ML14087A338.txt,T,P
1391,"['although', 'the', 'licensee', 'would', 'revise', 'technical', 'specification', 'or', 'shut', 'down', 'prior', 'to', 'exceeding', 'effective', 'full', 'power', 'the', 'team', 'concluded', 'the', 'licensee', 'had', 'not', 'met', 'the', 'conditions', 'for', 'meeting', 'this', 'aging', 'analysis', 'prior', 'to', 'the', 'period', 'of', 'extended']",170,1276,1550,ML14087A338.txt,P,O
1941,"['procedural', 'place', 'keeping', 'techniques', 'were', 'less', 'than']",162,2329,2403,ML12027A131.txt,P,P
2470,"['the', 'inspection', 'identified', 'that', 'extensive', 'changes', 'made', 'to', 'plant', 'systems', 'and', 'structures', 'for', 'the', 'power', 'uprate', 'modifications', 'should', 'be', 'considered', 'for', 'their', 'effect', 'on', 'previous', 'issues', 'and', 'corrective', 'actions', 'identified', 'in', 'the', 'corrective', 'action']",9,1523,1782,ML11244A041.txt,D,P
2563,"['many', 'of', 'the', 'ars', 'were', 'closed', 'to', 'action', 'taken', 'without', 'looking', 'into', 'the', 'underlying', 'cause', 'that', 'inspectors', 'concluded', 'represented']",45,3131,3263,ML11244A041.txt,O,O
2589,"['the', 'operability', 'section', 'did', 'not', 'address', 'the', 'degraded', 'or', 'condition', 'of', 'the', 'ground']",53,3184,3285,ML11244A041.txt,P,O
2605,"['the', 'conduct', 'of', 'reportability', 'evaluations', 'was', 'also', 'found', 'to', 'be']",65,306,373,ML11244A041.txt,P,P
4366,"['pseg', 'did', 'not', 'identify', 'this', 'code', 'nonconformance', 'in', 'march', 'when', 'the', 'relief', 'requests', 'were']",87,1837,1939,ML072260460.txt,O,O
4369,"['pseg', 'has', 'not', 'performed', 'detailed', 'evaluation', 'on', 'the', 'operability', 'of', 'the', 'plant', 'with', 'numerous', 'incomplete', 'weld', 'examinations', 'and', 'the', 'noncompliance', 'with', 'the', 'asme', 'code']",87,2262,2444,ML072260460.txt,O,O
4375,"['in', 'accordance', 'with', 'mc', 'appendix', 'section', 'this', 'finding', 'has', 'the', 'potential', 'to', 'impact', 'the', 'ability', 'to', 'perform', 'its', 'regulatory', 'function', 'since', 'pseg', 'did', 'not', 'submit', 'the', 'required', 'relief', 'request', 'within', 'the', 'required', 'time', 'and', 'as', 'impeded', 'the', 'ability', 'to', 'evaluate', 'and', 'decide', 'on', 'the', 'relief', 'requests', 'in', 'timely']",91,0,343,ML072260460.txt,O,O
5449,"['the', 'inspectors', 'determined', 'that', 'the', 'transient', 'combustibles', 'in', 'the', 'area', 'of', 'ess', 'division', 'ii', 'cables', 'and', 'dc', 'mcc', 'could', 'potentially', 'affect', 'dc', 'circuits', 'in', 'the', 'event', 'of', 'fire', 'in', 'the']",39,3279,3489,ML11300A116.txt,O,P
5469,"['the', 'fire', 'watches', 'failed', 'to', 'report', 'an', 'accumulation', 'of', 'combustibles', 'including', 'plastic', 'tool', 'and', 'large', 'roll', 'of', 'oil', 'absorbing', 'material', 'near']",45,3273,3465,ML11300A116.txt,T,P
5869,"['as', 'exelon', 'failed', 'to', 'ensure', 'that', 'the', 'local', 'control', 'circuits', 'for', 'several', 'breakers', 'would', 'be', 'isolated', 'from', 'the', 'effects', 'of', 'fire']",42,2693,2837,ML13182A476.txt,O,O
6619,"['the', 'finding', 'is', 'more', 'than', 'minor', 'because', 'it', 'is', 'associated', 'with', 'the', 'design', 'control', 'attribute', 'and', 'affects', 'the', 'mitigating', 'systems', 'cornerstone', 'objective', 'to', 'ensure', 'the', 'reliability', 'of', 'the', 'wet', 'and', 'dry', 'cooling', 'tower', 'systems', 'during', 'the', 'probable', 'maximum', 'precipitation', 'event', 'on', 'the', 'plant']",93,1090,1370,ML071350662.txt,D,T
