text,Y,Predicted_Values
"As hydrogen concentration increased, ammonia generation increased in the reactor and this caused a higher level of carryover of N-16, which caused higher radiation levels in the steam pipes.",T,O
"Early stages of the root cause analysis also focused almost exclusively on the compressor, and an extensive hardware failure analysis was performed, which confirmed the slugging but could not identify the cause.",D,T
"5 1NC520, 1NC537, and 1NC538 could cause the valve to spuriously re-open, as identified in Attachment 11.7 of calculation MCC-1435.00-00-0059.",P,D
"The inspectors determined that the finding did not have a cross-cutting aspect because the performance deficiency was caused by an inadequate procedure change in 1998, which was not representative of current performance.",P,P
"Specifically, it affected the availability and reliability of equipment related to reactivity control.",O,P
"In this instance a pressure switch had failed due to the same process fluid fouling a different portion of the system, so even though the symptoms were different in this case, the root cause of the failure was the same.",D,T
"007, performed May 01, 2009 OE Reports OE25288, Radiochemistry Trending Indicates a Probable Fuel Rod Failure- Millstone Unit 3, 08/10/2007 OE25323, Radiochemistry Trending Indicates a Probable Fuel Rod Failure in the Cycle 11 Core- Millstone Unit 3, 08/16/07 Dominion Apparent Cause Evaluation ACE017564, ""Emergency Trip of ""B"" EDG After Abnormal Indications Were Received"" Dominion Root Cause Evaluation M-07-02017, Rev.",D,D
"Specifically, the licensee failed to determine the cause of the train A Class 1E air conditioner slug flow in the refrigerant prior to experiencing multiple failures and plant shutdowns of the train A Class 1E air conditioner slug flow in the refrigerant.",T,O
The bypass valve was closed due to an inadequate System Operating Instruction (SOI) that did not contain instructions to establish minimum emergency closed cooling flow when the CCCW chiller is isolated.,T,O
"Annual Sample: Apparent Cause Evaluation of SBO Diesel Generator and Unit 2 ""B"" EDG trips Inspection Scope (1 Sample) The inspectors reviewed Dominion's evaluations and corrective actions associated with the emergency trip of the Unit 2 ""B"" EDG after abnormal indications received during the slow start surveillance on April 29, 2009, and the unexpected opening of the SBO Diesel output breaker during the functional testing on April 30, 2009.",O,O
"The team determined the finding had a crosscutting aspect within the human performance area, challenge the unknown, because individuals failed to perform adequate job-site reviews to identify and resolve unexpected conditions.",H,H
