,text,line,start_pos,end_pos,file,class,label_Frenard,label_SALLY,label_struck
0,"October 16, 2000 Charles M. Dugger, Vice President Operations - Waterford 3 Entergy Operations, Inc. 17265 River Road Killona, Louisiana 70066-0751 SUBJECT: NRC INSPECTION REPORT NO.",0.0,0.0,182.0,wat_2000010.txt,1.0,U,U,U
1,"50-382/00-10 Dear Mr. Dugger: This refers to the inspection conducted on August 20 through September 30, 2000, at the Waterford Steam Electric Station, Unit 3 facility.",0.0,182.0,350.0,wat_2000010.txt,0.0,U,U,U
2,"The results of the physical security and reactor safeguards inspections were discussed on August 25, 2000, with you and other members of your staff.",0.0,350.0,498.0,wat_2000010.txt,0.0,U,U,U
3,"The remainder of the results of this inspection were discussed on October 3, 2000, with Mr. E. Ewing and other members of your staff.",0.0,498.0,631.0,wat_2000010.txt,0.0,U,U,U
4,The enclosed report presents the results of these inspections.,0.0,631.0,693.0,wat_2000010.txt,0.0,U,U,U
5,These inspections examined activities conducted under your license as they relate to safety and compliance with the Commission's rules and regulations and with the conditions of your license.,0.0,693.0,884.0,wat_2000010.txt,1.0,U,U,U
6,"Within these areas, these inspections consisted of selected examination of procedures and representative records, observations of activities, and interviews with personnel.",0.0,884.0,1056.0,wat_2000010.txt,0.0,U,U,U
7,"Based on the results of these inspections, two issues were evaluated under the risk significance determination process and were determined to be of very low safety significance (green).",0.0,1056.0,1241.0,wat_2000010.txt,0.0,U,U,U
8,These issues have been entered into your corrective action program and are discussed in the summary of findings and in the body of the attached inspection report.,0.0,1241.0,1403.0,wat_2000010.txt,1.0,U,U,U
9,"These issues involved violations of NRC requirements, but because of their very low safety significance, these violations are being treated as noncited violations, consistent with Section VI.A of the Enforcement Policy.",0.0,1403.0,1622.0,wat_2000010.txt,0.0,U,U,U
10,"If you contest the violation or the significance of these noncited violations, you should provide a response within 30 days of the date of this inspection report, with the basis for your denial, to the U.S. Nuclear Regulatory Commission, ATTN: Document Control Desk, Washington, DC 20555-0001, with copies to the Regional Administrator, U.S. Nuclear Regulatory Commission, Region IV, 611 Ryan Plaza Drive, Suite 400, Arlington, Texas 76011; the Director, Office of Enforcement, U.S. Nuclear Regulatory Commission, Washington, DC 20555-0001; and the NRC Resident Inspector at Waterford Steam Electric Station, Unit 3 facility.",0.0,1622.0,2247.0,wat_2000010.txt,1.0,U,U,U
11,"In accordance with 10 CFR 2.790 of the NRC's ""Rules of Practice,"" a copy of this letter, its enclosures, and your response will be made available electronically for public inspection in the NRC Public Document Room or from the Publicly Available Records (PARS) component of NRC's document system (ADAMS).",0.0,2247.0,2551.0,wat_2000010.txt,1.0,U,U,U
12,ADAMS is accessible from the NRC Web site at http://www.nrc.gov/NRC/ADAMS/index.html (the Public Electronic Reading Room).,0.0,2551.0,2673.0,wat_2000010.txt,0.0,U,U,U
13,"Entergy Operations, Inc.",2.0,0.0,25.0,wat_2000010.txt,0.0,U,U,U
14,-2-,4.0,0.0,3.0,wat_2000010.txt,0.0,U,U,U
15,"Should you have any questions concerning this inspection, we will be pleased to discuss them with you.",6.0,0.0,102.0,wat_2000010.txt,0.0,U,U,U
16,"Sincerely,",6.0,102.0,112.0,wat_2000010.txt,0.0,U,U,U
17,/RA/,8.0,0.0,4.0,wat_2000010.txt,0.0,U,U,U
18,"Linda Joy Smith, Chief Project Branch E Division of Reactor Projects Docket No.",9.0,0.0,79.0,wat_2000010.txt,0.0,U,U,U
19,: 50-382 License No.,9.0,79.0,99.0,wat_2000010.txt,1.0,U,U,U
20,: NPF-38 Enclosure: NRC Inspection Report No.,9.0,99.0,144.0,wat_2000010.txt,0.0,U,U,U
21,"50-382/00-10 cc w/enclosures: Executive Vice President and Chief Operating Officer Entergy Operations, Inc. P.O.",9.0,144.0,256.0,wat_2000010.txt,0.0,U,U,U
22,"Box 31995 Jackson, Mississippi 39286-1995 Vice President, Operations Support Entergy Operations, Inc. P.O.",9.0,256.0,362.0,wat_2000010.txt,0.0,U,U,U
23,"Box 31995 Jackson, Mississippi 39286-1995 Wise, Carter, Child & Caraway P.O.",9.0,362.0,438.0,wat_2000010.txt,0.0,U,U,U
24,"Box 651 Jackson, Mississippi 39205 General Manager, Plant Operations Waterford 3 SES Entergy Operations, Inc. 17265 River Road Killona, Louisiana 70066-0751 Manager - Licensing Manager Waterford 3 SES Entergy Operations, Inc. 17265 River Road Killona, Louisiana 70066-0751",9.0,438.0,710.0,wat_2000010.txt,0.0,U,U,U
25,"Entergy Operations, Inc. Chairman Louisiana Public Service Commission One American Place, Suite 1630 Baton Rouge, Louisiana 70825-1697 Director, Nuclear Safety & Regulatory Affairs Waterford 3 SES Entergy Operations, Inc. 17265 River Road Killona, Louisiana 70066-0751",11.0,0.0,269.0,wat_2000010.txt,0.0,U,U,U
26,-3-,13.0,0.0,3.0,wat_2000010.txt,0.0,U,U,U
27,"Ronald Wascom, Administrator and State Liaison Officer Louisiana Department of Environmental Quality P.O.",15.0,0.0,105.0,wat_2000010.txt,0.0,U,U,U
28,"Box 82215 Baton Rouge, Louisiana 70884-2215 Parish President St. Charles Parish P.O.",15.0,105.0,189.0,wat_2000010.txt,0.0,U,U,U
29,"Box 302 Hahnville, Louisiana 70057 Winston & Strawn 1400 L Street, N.W.",15.0,189.0,260.0,wat_2000010.txt,0.0,U,U,U
30,"Washington, D.C. 20005-3502",15.0,260.0,287.0,wat_2000010.txt,0.0,U,U,U
31,"Entergy Operations, Inc. Electronic distribution from ADAMS by RIV: Regional Administrator (EWM) DRP Director (KEB) DRS Director (ATH) Senior Resident Inspector (TRF) Branch Chief, DRP/E (LJS) Senior Project Engineer, DRP/E (GAP) Branch Chief, DRP/TSS (PHH) RITS Coordinator (NBH) Only inspection reports to the following: David Diec (DTD) NRR Event Tracking System (IPAS) WAT Site Secretary (AHY) Dale Thatcher (DFT)",17.0,0.0,418.0,wat_2000010.txt,1.0,U,U,U
32,-4-,19.0,0.0,3.0,wat_2000010.txt,0.0,U,U,U
33,DOCUMENT NAME: R:\_WAT\2000\WT2000-10RP-TRF.wpd RIV:RI:DRP/E SRI:DRP/E RI:DRS/PSB AC:DRP/PBE C:DRS/PSB JMKeeton TRFarnholtz ABEarnest LJSmith GMGood E-GAP E-GAP /RA /RA E-GAP 10/ 13 /00 10/12/00 10/16/00 10/13/00 10/ 08/00 OFFICIAL RECORD COPY T=Telephone E=E-mail F=Fax,21.0,0.0,270.0,wat_2000010.txt,0.0,U,U,U
34,U.S. NUCLEAR REGULATORY COMMISSION REGION IV Docket No.,23.0,0.0,56.0,wat_2000010.txt,0.0,U,U,U
35,: License No.,23.0,56.0,69.0,wat_2000010.txt,1.0,U,U,U
36,: Report No.,23.0,69.0,81.0,wat_2000010.txt,0.0,U,U,U
37,": Licensee: Facility: Location: 50-382 NPF-38 50-382/2000-010 Entergy Operations, Inc. Waterford Steam Electric Station, Unit 3 Hwy.",23.0,81.0,213.0,wat_2000010.txt,0.0,U,U,U
38,"18 Killona, Louisiana August 20 through September 30, 2000 T. Farnholtz, Senior Resident Inspector J. Keeton, Resident Inspector A.",23.0,213.0,344.0,wat_2000010.txt,0.0,U,U,U
39,"Earnest, Physical Security Inspector R. Albert, Reactor Safeguards Specialist, NRR L. Smith, Chief, Project Branch E",23.0,344.0,460.0,wat_2000010.txt,0.0,U,U,U
40,Dates: Inspectors:,25.0,0.0,18.0,wat_2000010.txt,0.0,U,U,U
41,Accompanied By: Approved By: ATTACHMENTS: Attachment 1: Attachment 2:,27.0,0.0,69.0,wat_2000010.txt,0.0,U,U,U
42,Supplemental Information NRC's Revised Reactor Oversight Process,29.0,0.0,64.0,wat_2000010.txt,1.0,U,U,U
43,"SUMMARY OF FINDINGS IR05000382-00-10; on 08/02-09/30/00; Entergy Operations, Inc.; Waterford Steam Electric Station; Unit 3; Integrated Resident & Regional Report; Operability Evaluations, Event Follow-Up.",31.0,0.0,206.0,wat_2000010.txt,0.0,U,U,U
44,"The report covers a 6-week period of inspection by resident inspectors, a regional physical security inspector, and an NRR reactor safeguards specialist.",31.0,206.0,359.0,wat_2000010.txt,0.0,U,U,U
45,"These inspections identified two green findings, both of which were noncited violations.",31.0,359.0,447.0,wat_2000010.txt,0.0,U,U,U
46,"The significance of issues is indicated by their color (green, white, yellow, or red) and was determined by the significance determination process in Inspection Manual Chapter 0609.",31.0,447.0,628.0,wat_2000010.txt,1.0,U,U,U
47,Cornerstone: Mitigating Systems Â· Green.,31.0,628.0,668.0,wat_2000010.txt,0.0,U,U,U
48,The licensee removed Component Cooling Water System Radiation Monitor AB from service to perform maintenance and calibration.,31.0,668.0,793.0,wat_2000010.txt,0.0,U,U,U
49,"With this equipment out of service, Technical Specification 3.3.3.1 requires that samples be taken every 8 hours to detect a potential reactor coolant system to component cooling water system leak at the reactor coolant pump seal water heat exchangers.",31.0,793.0,1045.0,wat_2000010.txt,0.0,U,U,U
50,The licensee entered the technical specification but did not adequately take samples once per 8 hours as required by Action 28.,31.0,1045.0,1172.0,wat_2000010.txt,0.0,"O, P",O,O
