,,,text,line,start_pos,end_pos,file,predict
useless,,,"February 5, 2007 Mr. T. Palmisano Site Vice President Prairie Island Nuclear Generating Plant Nuclear Management Company, LLC 1717 Wakonade Drive East Welch, MN 55089 SUBJECT: PRAIRIE ISLAND NUCLEAR GENERATING PLANT, UNITS 1 AND 2 NRC INTEGRATED INSPECTION REPORT 05000282/2006005 AND 05000306/2006005",0,0,301,ML070380584.txt,0
useless,,,"Dear Mr. Palmisano: On December 31, 2006, the U. S. Nuclear Regulatory Commission (NRC) completed an integrated inspection at your Prairie Island Nuclear Generating Plant, Units 1 and 2.",2,0,186,ML070380584.txt,0
useless,,,"The enclosed report documents the inspection findings which were discussed on January 9, 2007, with you and other members of your staff.",2,186,322,ML070380584.txt,0
useless,,,This inspection examined activities conducted under your license as they relate to safety and to compliance with the Commission's rules and regulations and with the conditions of your license.,2,322,514,ML070380584.txt,0
useless,,,"The inspectors reviewed selected procedures and records, observed activities, and interviewed personnel.",2,514,618,ML070380584.txt,0
useless,,,"Based on the results of this inspection, the inspectors identified one finding of very low safety significance (Green).",2,618,737,ML070380584.txt,0
useless,,,This finding was determined to involve a violation of NRC requirements.,2,737,808,ML070380584.txt,0
useless,,,"Additionally, a licensee-identified violation was determined to be of very low safety significance and is listed in this report.",2,808,936,ML070380584.txt,0
useless,,,"However, because of the very low safety significance and because they were entered into your corrective action program, the NRC is treating these findings as Non-Cited Violations consistent with Section VI.A.1 of the NRC Enforcement Policy.",2,936,1176,ML070380584.txt,0
useless,,,"If you contest the subject or severity of a Non-Cited Violation, you should provide a response within 30 days of the date of this inspection report, with the basis for your denial, to the U.S. Nuclear Regulatory Commission, ATTN: Document Control Desk, Washington, D.C. 20555-0001, with a copy to the Regional Administrator, U.S. Nuclear Regulatory Commission - Region III, 2443 Warrenville Road, Suite 210, Lisle, IL 60532-4352; the Director, Office of Enforcement, U.S. Nuclear Regulatory Commission, Washington, D.C. 20555-0001; and the Resident Inspector Office at the Prairie Island Nuclear Generating Plant.",2,1176,1789,ML070380584.txt,0
useless,,,T. Palmisano,4,0,13,ML070380584.txt,0
useless,,,-2-,6,0,3,ML070380584.txt,0
useless,,,"In accordance with 10 CFR 2.390 of the NRC's ""Rules of Practice,"" a copy of this letter and its enclosure will be available electronically for public inspection in the NRC Public Document Room or from the Publicly Available Records (PARS) component of NRC's document system (ADAMS).",8,0,282,ML070380584.txt,0
useless,,,ADAMS is accessible from the NRC Web site at http://www.nrc.gov/reading-rm/adams.html (the Public Electronic Reading Room).,8,282,405,ML070380584.txt,0
useless,,,"Sincerely, /RA/ Richard A. Skokowski, Chief Branch 3 Division of Reactor Projects Docket Nos.",8,405,498,ML070380584.txt,0
useless,,,"50-282, 50-306 License Nos.",8,498,525,ML070380584.txt,0
useless,,,"DPR-42, DPR-60 Enclosure: cc w/encl: Inspection Report 05000282/2006005 and 05000306/2006005 w/Attachment: Supplemental Information C. Anderson, Senior Vice President, Group Operations M. Sellman, President and Chief Executive Officer Regulatory Affairs Manager J. Rogoff, Vice President, Counsel & Secretary Nuclear Asset Manager State Liaison Officer, Minnesota Department of Health Tribal Council, Prairie Island Indian Community Administrator, Goodhue County Courthouse Commissioner, Minnesota Department of Commerce Manager, Environmental Protection Division Office of the Attorney General of Minnesota",8,525,1132,ML070380584.txt,0
useless,,,T. Palmisano,10,0,13,ML070380584.txt,0
useless,,,-2-,12,0,3,ML070380584.txt,0
useless,,,"In accordance with 10 CFR 2.390 of the NRC's ""Rules of Practice,"" a copy of this letter and its enclosure will be available electronically for public inspection in the NRC Public Document Room or from the Publicly Available Records (PARS) component of NRC's document system (ADAMS).",14,0,282,ML070380584.txt,0
useless,,,ADAMS is accessible from the NRC Web site at http://www.nrc.gov/reading-rm/adams.html (the Public Electronic Reading Room).,14,282,405,ML070380584.txt,0
useless,,,"Sincerely, /RA/ Richard A. Skokowski, Chief Branch 3 Division of Reactor Projects Docket Nos.",14,405,498,ML070380584.txt,0
useless,,,"50-282, 50-306 License Nos.",14,498,525,ML070380584.txt,0
useless,,,"DPR-42, DPR-60 Enclosure: cc w/encl: Inspection Report 05000282/2006005 and 05000306/2006005 w/Attachment: Supplemental Information C. Anderson, Senior Vice President, Group Operations M. Sellman, President and Chief Executive Officer Regulatory Affairs Manager J. Rogoff, Vice President, Counsel & Secretary Nuclear Asset Manager State Liaison Officer, Minnesota Department of Health Tribal Council, Prairie Island Indian Community Administrator, Goodhue County Courthouse Commissioner, Minnesota Department of Commerce Manager, Environmental Protection Division Office of the Attorney General of Minnesota",14,525,1132,ML070380584.txt,0
useless,,,DOCUMENT NAME: C:\FileNet\ML070380584.wpd G Publicly Available G Non-Publicly Available,16,0,87,ML070380584.txt,0
useless,,,G Sensitive,18,0,11,ML070380584.txt,0
useless,,,G Non-Sensitive,20,0,15,ML070380584.txt,0
useless,,,"To receive a copy of this document, indicate in the concurrence box ""C"" = Copy without attach/encl ""E"" = Copy with attach/encl ""N"" = No copy",22,0,140,ML070380584.txt,0
useless,,,OFFICE NAME DATE,24,0,16,ML070380584.txt,0
useless,,,RIII RSkokowski:dtp 02/05/07 OFFICIAL RECORD COPY,26,0,49,ML070380584.txt,0
useless,,,T. Palmisano,28,0,13,ML070380584.txt,0
useless,,,-3-,30,0,3,ML070380584.txt,0
useless,,,"DISTRIBUTION: TEB MLC RidsNrrDirsIrib GEG KGO GLS JTA CAA1 LSL (electronic IR's only) C. Pederson, DRS (hard copy - IR's only) DRPIII DRSIII PLB1 TXN ROPreports@nrc.gov (inspection reports, final SDP letters, any letter with an IR number)",32,0,238,ML070380584.txt,0
useless,,,"U.S. NUCLEAR REGULATORY COMMISSION REGION III Docket Nos: License Nos: Report No: Licensee: Facility: Location: 50-282; 50-306 DPR-42; DPR-60 05000282/2006005; 05000306/2006005 Nuclear Management Company, LLC Prairie Island Nuclear Generating Plant, Units 1 and 2 1717 Wakonade Drive East Welch, MN 55089 October 1 through December 31, 2006 J. Adams, Senior Resident Inspector D. Karjala, Resident Inspector S. Thomas, Senior Resident Inspector, Monticello L. Haeg, Resident Inspector, Monticello M. Holmberg, Reactor Inspector J. Neurauter, Reactor Inspector T. Bilik, Reactor Inspector S. Ray, Senior Resident Inspector, Braidwood D. Smith, Project Engineer M. Mitchell, Radiation Specialist R. Jickling, Emergency Preparedness Inspector J. Robbins, Reactor Engineer R. Skokowski, Chief Branch 3 Division of Reactor Projects",34,0,827,ML070380584.txt,1
useless,,,Dates: Inspectors:,36,0,18,ML070380584.txt,0
useless,,,Approved by:,38,0,12,ML070380584.txt,0
useless,,,Enclosure,40,0,9,ML070380584.txt,0
useless,,,"SUMMARY OF FINDINGS IR 05000282/2006005, 05000306/2006005; 10/01/06 - 12/31/06; Prairie Island Nuclear Generating Plant, Units 1 and 2; Inservice Inspection Activities.",42,0,169,ML070380584.txt,0
useless,,,"This report covers a 3-month period of baseline resident inspection and announced baseline inspection on radiation protection, inservice inspections, and emergency preparedness.",42,169,346,ML070380584.txt,0
useless,,,The inspections were conducted by the resident inspectors and inspectors from the Region III office.,42,346,446,ML070380584.txt,0
useless,,,The emergency preparedness portion of this inspection is being tracked using Inspection Report 05000282/2006014; 05000306/2006014.,42,446,576,ML070380584.txt,0
useless,,,One finding was identified which was a Non-Cited Violation.,42,576,635,ML070380584.txt,0
useless,,,"The significance of most findings is indicated by their color (Green, White, Yellow, Red) using Inspection Manual Chapter 0609, ""Significance Determination Process.""",42,635,800,ML070380584.txt,0
useless,,,"Findings for which the Significance Determination Process does not apply may be ""Green"" or be assigned a severity level after NRC management review.",42,800,948,ML070380584.txt,0
useless,,,"The NRC's program for overseeing the safe operation of commercial nuclear power reactors is described in NUREG-1649, ""Reactor Oversight Process,"" Revision 3, dated July 2000.",42,948,1122,ML070380584.txt,0
useless,,,A. Inspector-Identified and Self-Revealed Findings Cornerstone: Initiating Events · Green.,42,1122,1212,ML070380584.txt,0
useless,,,The inspectors identified a Non-Cited Violation of 10 CFR 50.55(a)(g)(4) for failure to perform a Magnetic Particle examination (MT) of the full required exam surface on a steam generator feedwater nozzle weld (N-1) in accordance with the American Society of Mechanical Engineers (ASME) Section XI Code.,42,1212,1515,ML070380584.txt,0
useless,,,The licensee subsequently reperformed the MT in accordance with the ASME Code and entered this issue into their corrective action program.,42,1515,1653,ML070380584.txt,0
useless,,,"This finding is greater than minor significance because it is associated with the initiating events cornerstone attribute of equipment performance, and affected the cornerstone objective to limit those events which upset plant safety and challenge safety systems.",42,1653,1916,ML070380584.txt,0
useless,,,"Absent NRC intervention, the licensee would not have performed the full Code-required exam of weld N-1 for an indefinite period of service, which would have placed the reactor coolant pressure boundary at increased risk for unanalyzed cracking, leakage, or component failure.",42,1916,2191,ML070380584.txt,0
useless,,,This finding is of very low safety significance because a qualified examination was subsequently performed with no relevant indications detected.,42,2191,2336,ML070380584.txt,0
useless,,,"In particular, it did not result in the loss of function of the mitigating system.",42,2336,2418,ML070380584.txt,0
useless,,,"(Section 1R08) B. Licensee-Identified Violations A violation of very low safety significance, which was identified by the licensee, has been reviewed by the inspectors.",42,2418,2586,ML070380584.txt,0
useless,,,Corrective actions taken or planned by the licensee have been entered into the licensee's corrective action program.,42,2586,2702,ML070380584.txt,0
useless,,,This violation and corrective actions are listed in Section 4OA7 of this report.,42,2702,2782,ML070380584.txt,0
useless,,,1,44,0,1,ML070380584.txt,0
useless,,,Enclosure,46,0,9,ML070380584.txt,0
useless,,,"REPORT DETAILS Summary of Plant Status Unit 1 operated at or near full power throughout the inspection period except that power was reduced to approximately 90 percent from October 6, 2006, until October 8, 2006, for repairs to the 12 steam generator (SG) feedwater regulating valve (CV-31128).",48,0,295,ML070380584.txt,0
