,,,text,line,start_pos,end_pos,file,predict
useless,,,"October 31, 2002 Mr. M. Bezilla Vice President FirstEnergy Nuclear Operating Company Beaver Valley Power Station Post Office Box 4 Shippingport, Pennsylvania 15077 SUBJECT: BEAVER VALLEY POWER STATION - NRC SPECIAL INSPECTION REPORT NO.",0,0,236,bv_2002012.txt,0
useless,,,50-334/02-012; 50-412/02-012,0,236,264,bv_2002012.txt,1
useless,,,"Dear Mr. Bezilla: On September 19, 2002, the NRC completed a special inspection at the FirstEnergy Nuclear Operating Company's Beaver Valley Power Station Unit 2 to evaluate the circumstances related to the August 24, 2002, gas void condition identified in the high head safety injection (HHSI) system.",2,0,302,bv_2002012.txt,0
useless,,,"The results of the NRC team's inspection were discussed on September 19, 2002, with Messrs. J. Lash, F. von Ahn, M. Pearson, and other members of your staff.",2,302,459,bv_2002012.txt,0
useless,,,The enclosed report (Enclosure 1) presents the results of the inspection.,2,459,532,bv_2002012.txt,0
useless,,,"The NRC team examined activities related to reactor safety and compliance with the Commission's rules and regulations, and with the conditions of your operating license.",2,532,701,bv_2002012.txt,0
useless,,,"The inspection consisted of selected examination of procedures, representative records and equipment, interviews with personnel, and observations of activities per the NRC team's charter (Enclosure 2).",2,701,902,bv_2002012.txt,0
useless,,,This report discusses two findings that have been evaluated under the risk significance determination process (SDP) as having very low safety significance (Green).,2,902,1065,bv_2002012.txt,0
useless,,,These findings were determined to be violations of NRC requirements.,2,1065,1133,bv_2002012.txt,0
useless,,,"However, because of their very low safety significance and because they have been entered into your corrective action program, the NRC is treating these findings as Non-Cited Violations, consistent with Section VI.A.1 of the NRC's Enforcement Policy.",2,1133,1383,bv_2002012.txt,0
useless,,,"If you deny the non-cited violations, you should provide a response with the basis of your denial, within 30 days of the date of this inspection report to the U.S. Nuclear Regulatory Commission, ATTN: Document Control Desk, Region I, the Director of Enforcement, United States Nuclear Regulatory Commission, Washington, DC 20555-001, and the NRC Resident Inspector at the Beaver Valley Power Station.",2,1383,1783,bv_2002012.txt,0
useless,,,"In addition, this report discusses the NRC team's assessment of your staff's evaluation of the causal factors, corrective actions, equipment operability and associated risk significance of the pipe void condition.",2,1783,1996,bv_2002012.txt,0
useless,,,"In these areas, the team concluded that your staff's immediate actions to identify the root cause of the gas accumulation in the suction piping of the HHSI charging pumps to be acceptable.",2,1996,2184,bv_2002012.txt,0
useless,,,Mr. M. Bezilla,4,0,15,bv_2002012.txt,0
useless,,,-2-,6,0,3,bv_2002012.txt,0
useless,,,"Upon the discovery and event notification to the NRC of the gas void on August 24, 2002, we conservatively determined that the increased risk of this condition to be on the order of 1.0E-5 (in terms of incremental conditional core damage probability).",8,0,251,bv_2002012.txt,0
useless,,,"However, subsequent to your initial discovery and event notification, your staff performed a detailed assessment, which determined that the operability of neither of the two aligned HHSI charging pumps would have been challenged based upon actual size, location, and transport of the gas void.",8,251,544,bv_2002012.txt,0
useless,,,"Accordingly, there was no increase in risk as a result of this issue, and the mitigating function of the HHSI charging pumps was not compromised.",8,544,689,bv_2002012.txt,0
useless,,,"In accordance with 10 CFR 2.790 of the NRC's ""Rules of Practice,"" a copy of this letter and its enclosures will be available electronically for public inspection in the NRC Public Document Room or from the Publicly Available Records (PARS) component of NRC's document system (ADAMS).",8,689,972,bv_2002012.txt,0
useless,,,ADAMS is accessible from the NRC Web site at http://www.nrc.gov/readingrm/adams.html (the Public Electronic Reading Room).,8,972,1094,bv_2002012.txt,0
useless,,,"Sincerely, /RA/",8,1094,1109,bv_2002012.txt,0
useless,,,"Wayne D. Lanning, Director Division of Reactor Safety Docket Nos: 50-334, 50-412 License Nos: DPR-66, NPF-73 Enclosures: 1) NRC Inspection Report 50-334/02-012, 50-412/02-012 2) NRC Special Inspection Team Charter cc w/encl: J. Lash, Plant General Manager F. von Ahn, Director, Plant Engineering T. Cosgrove, Director, Work Management R. Donnellon, Director, Plant Maintenance M. Pearson, Director, Services and Projects L. Freeland, Manager, Nuclear Regulatory Affairs & Corrective Actions M. Clancy, Mayor, Shippingport, PA R. Janati, Chief, Division of Nuclear Safety Commonwealth of Pennsylvania State of Ohio State of West Virginia",10,0,636,bv_2002012.txt,1
useless,,,"Mr. M. Bezilla Distribution w/encl: (VIA E-MAIL) Region I Docket Room (with concurrences) D. Kern, DRP - NRC Resident Inspector H. Miller, RA/J.",12,0,145,bv_2002012.txt,0
useless,,,"Wiggins, DRA J. Rogge, DRP R. Barkley, DRP H. Nieh, OEDO S. Richards, NRR (RIDSNRRDLPMLPDI) D. Collins, PM, NRR R. Clark, Backup PM, NRR W. Lanning, DRS R. Crlenjak, DRS L. Doerflein, DRS D. Lew, DRS S. Pindale, DRS",12,145,360,bv_2002012.txt,0
useless,,,-3-,14,0,3,bv_2002012.txt,0
useless,,,"DOCUMENT NAME: G:\PEB\PINDALE\BV2002012.WPD After declaring this document ""An Official Agency Record"" it will be released to the Public.",16,0,136,bv_2002012.txt,0
useless,,,"To receive a copy of this document, indicate in the box: ""C"" = Copy without attachment/enclosure ""E"" = Copy with attachment/enclosure ""N"" = No copy",17,0,147,bv_2002012.txt,0
useless,,,OFFICE RI/DRS NAME SPindale DATE 10/3102,19,0,40,bv_2002012.txt,0
useless,,,RI/DRS LDoerflein 10/30/02,21,0,26,bv_2002012.txt,0
useless,,,RI/DRP JRogge 10/28/02,23,0,22,bv_2002012.txt,0
useless,,,RI/DRS ECobey 10/28/02,25,0,22,bv_2002012.txt,1
useless,,,N RI/DRS,27,0,8,bv_2002012.txt,0
useless,,,WLanning/JCL for,28,0,16,bv_2002012.txt,0
useless,,,10/30/2002,30,0,8,bv_2002012.txt,1
useless,,,OFFICIAL RECORD COPY,32,0,20,bv_2002012.txt,0
useless,,,U. S. NUCLEAR REGULATORY COMMISSION REGION I,34,0,45,bv_2002012.txt,0
useless,,,Docket No:,36,0,10,bv_2002012.txt,0
useless,,,50-334; 50-412,38,0,14,bv_2002012.txt,0
useless,,,License No:,40,0,11,bv_2002012.txt,0
useless,,,DPR-66; NPF-73,42,0,14,bv_2002012.txt,0
useless,,,Report No:,44,0,10,bv_2002012.txt,0
useless,,,50-334/02-012; 50-412/02-012,46,0,28,bv_2002012.txt,1
useless,,,Licensee:,48,0,9,bv_2002012.txt,0
