,,,text,line,start_pos,end_pos,file,predict
,,,23-Apr-02,0,0,14,call_2002008.txt,0
useless,,,"Garry L. Randolph, Senior Vice President and Chief Nuclear Officer Union Electric Company P.O.",2,0,94,call_2002008.txt,0
useless,,,"Box 620 Fulton, Missouri 65251 SUBJECT: CALLAWAY PLANT - NRC SUPPLEMENTAL INSPECTION REPORT 50-483/02-08",2,94,198,call_2002008.txt,0
useless,,,"Dear Mr. Randolph: On March 13, 2002, the NRC completed a supplemental inspection at your Callaway Plant.",4,0,105,call_2002008.txt,0
useless,,,The enclosed report documents the inspection findings which were discussed with you and other members of your staff.,4,105,221,call_2002008.txt,0
useless,,,"The NRC determined, during a Special Inspection performed in June 2001, that between February 9-15, 2001, one train of essential service water had been rendered inoperable for approximately 132 hours.",4,221,421,call_2002008.txt,0
useless,,,"If a loss of offsite power had occurred while the train of essential service water was inoperable, the safety systems supported by Train B of essential service water would not have been available to perform their safety function.",4,421,650,call_2002008.txt,0
useless,,,A finding of low to moderate safety significance (White) was identified and documented in NRC Inspection Report 50-483/2001-09.,4,650,777,call_2002008.txt,0
useless,,,"This supplemental inspection was conducted to provide assurance that the root causes and contributing causes of the White finding are understood, to independently assess the extent of the condition, and to provide assurance that the corrective actions for risk significant performance issues are sufficient to address the root causes and contributing causes and to prevent recurrence.",4,777,1161,call_2002008.txt,0
useless,,,The NRC concluded that your staff performed a thorough evaluation of the causes and duration of the inoperable train of essential service water and correctly identified the extent of the condition.,4,1161,1358,call_2002008.txt,0
useless,,,"Additionally, we determined that corrective actions identified by your staff were appropriate to address the root causes.",4,1358,1479,call_2002008.txt,0
useless,,,The inspectors verified that the completed corrective actions were effective in addressing the associated root causes.,4,1479,1597,call_2002008.txt,0
useless,,,"While your leakage collection device program has undergone significant changes which should preclude further events, such as the inoperable essential service water pump, the changes to the controls on foreign material exclusion appeared to be less rigorous.",4,1597,1854,call_2002008.txt,0
useless,,,"Also, our review of the Callaway Action Request system identified that personnel assigned lower priority corrective action documents may not be getting sufficient training in root cause identification and resolution.",4,1854,2070,call_2002008.txt,0
useless,,,"Based on the results of this inspection, the inspectors identified one issue of very low safety significance (Green) that was determined to involve a violation of NRC requirements.",4,2070,2250,call_2002008.txt,0
useless,,,"However, because of the very low safety significance and because it has been entered into your corrective action program, the NRC is treating this issue as a noncited violation in accordance",4,2250,2440,call_2002008.txt,0
useless,,,Union Electric Company,6,0,23,call_2002008.txt,0
useless,,,-2-,8,0,3,call_2002008.txt,0
useless,,,with Section VI.A.1 of the NRC's Enforcement Policy.,10,0,52,call_2002008.txt,1
useless,,,"If you deny this noncited violation, you should provide a response with the basis for your denial, within 30 days of the date of this inspection report, to the U.S. Nuclear Regulatory Commission, ATTN: Document Control Desk, Washington DC 20555-0001; with copies to the Regional Administrator, Region IV; the Director, Office of Enforcement, U.S. Nuclear Regulatory Commission, Washington, DC 20555-0001; and the NRC Resident Inspector at the Callaway Plant facility.",10,52,519,call_2002008.txt,0
useless,,,"In accordance with 10 CFR 2.790 of the NRC's ""Rules of Practice,"" a copy of this letter and its enclosure will be available electronically for public inspection in the NRC Public Document Room or from the Publicly Available Records (PARS) component of NRC's document ADAMS is accessible from the NRC Web site at http://www.nrc.gov/NRC/ADAMS/index.html (the Public Electronic Reading Room).",10,519,908,call_2002008.txt,0
useless,,,"Sincerely, /RA/ Ken E. Brockman, Director Division of Reactor Projects Docket: 50-483 License: NPF-30 Enclosures: 1.",10,908,1024,call_2002008.txt,0
useless,,,NRC Inspection Report 50-483/00-07 2.,10,1024,1061,call_2002008.txt,0
useless,,,"Supplemental Inspection Team Charter cc w/enclosure: Professional Nuclear Consulting, Inc. 19041 Raines Drive Derwood, Maryland 20855 John O'Neill, Esq.",10,1061,1213,call_2002008.txt,0
useless,,,"Shaw, Pittman, Potts & Trowbridge 2300 N. Street, N.W.",10,1213,1267,call_2002008.txt,0
useless,,,"Washington, D.C. 20037 Mark A. Reidmeyer, Regional Regulatory Affairs Supervisor Quality Assurance Union Electric Company P.O.",10,1267,1393,call_2002008.txt,0
useless,,,"Box 620 Fulton, Missouri 65251",10,1393,1423,call_2002008.txt,0
useless,,,Union Electric Company Manager - Electric Department Missouri Public Service Commission 301 W. High P.O.,12,0,105,call_2002008.txt,0
useless,,,"Box 360 Jefferson City, Missouri 65102 Ronald A. Kucera, Director of Intergovernmental Cooperation P.O.",12,105,208,call_2002008.txt,0
useless,,,"Box 176 Jefferson City, Missouri 65102 Otto L. Maynard, President and Chief Executive Officer Wolf Creek Nuclear Operating Corporation P.O.",12,208,347,call_2002008.txt,0
useless,,,"Box 411 Burlington, Kansas 66839 Dan I. Bolef, President Kay Drey, Representative Board of Directors Coalition for the Environment 6267 Delmar Boulevard University City, Missouri 63130 Lee Fritz, Presiding Commissioner Callaway County Courthouse 10 East Fifth Street Fulton, Missouri 65251 Alan C. Passwater, Manager Licensing and Fuels AmerenUE One Ameren Plaza 1901 Chouteau Avenue P.O.",12,347,735,call_2002008.txt,0
useless,,,"Box 66149 St. Louis, Missouri 63166-6149 J. V. Laux, Manager Quality Assurance Union Electric Company P.O.",12,735,841,call_2002008.txt,0
useless,,,"Box 620 Fulton, Missouri 65251 Jerry Uhlmann, Director State Emergency Management Agency P.O.",12,841,934,call_2002008.txt,0
useless,,,"Box 116 Jefferson City, Missouri 65101",12,934,972,call_2002008.txt,0
useless,,,-3-,14,0,3,call_2002008.txt,0
useless,,,"Union Electric Company Electronic distribution from ADAMS by RIV: Regional Administrator (EWM) DRP Director (KEB) DRS Director (ATH) Senior Resident Inspector (VGG) Branch Chief, DRP/B (DNG) Senior Project Engineer, DRP/B (RAK1) Section Chief, DRP/TSS (PHH) RITS Coordinator (NBH) DRS PSB Branch Chief (GMG) DRS Inspector (LTR) Scott Morris (SAM1) NRR Event Tracking System (IPAS) CWY Site Secretary (DVY) Dale Thatcher (DFT)",16,0,426,call_2002008.txt,0
useless,,,-4-,18,0,3,call_2002008.txt,0
useless,,,R:\_CW\2002\CW2002-08RP-RAK.wpd RIV:DRP/B DRS:OB DRS:EMB C:DRP/B RAKopriva HFBundy JEWhittemore DNGraves /RA/ /RA /RA/ /RA/ 4/17/02 4/17/02 4/23/02 4/23/02 OFFICIAL RECORD COPY T=Telephone,20,0,188,call_2002008.txt,0
useless,,,D:DRP KEBrockman /RA/ 4/23/02 E=E-mail F=Fax,22,0,44,call_2002008.txt,0
useless,,,ENCLOSURE U.S. NUCLEAR REGULATORY COMMISSION REGION IV,24,0,55,call_2002008.txt,0
useless,,,Docket: License: Licensee: Facility: Report: Location: Date: Inspectors:,26,0,72,call_2002008.txt,0
useless,,,"50-483 NPF-30 Union Electric Company Callaway Plant 50-483/02-08 Junction Highway CC and Highway O Fulton, Missouri February 19 through March 13, 2002 R. A. Kopriva, Senior Project Engineer, Project Branch B J. E. Whittemore, Senior Reactor Inspector, Engineering and Maintenance Branch H. F. Bundy, Senior Operations Engineer, Operations Branch Ken E. Brockman, Director Division of Reactor Projects",28,0,400,call_2002008.txt,0
useless,,,Approved by:,30,0,12,call_2002008.txt,0
useless,,,SUMMARY OF FINDINGS Callaway Plant NRC Inspection Report 50-483/02-08 IR 05000483-02-08; on 02/19/2002-03/08/2002; Union Electric Co; Callaway Plant Supplemental Inspection Report The inspection was conducted by a Senior Project Engineer and two region-based inspectors.,32,0,271,call_2002008.txt,0
useless,,,The inspection identified one Green finding which was a noncited violation.,32,271,346,call_2002008.txt,0
useless,,,"The significance of most findings is indicated by their color (Green, White, Yellow, Red) using Inspection Manual Chapter 0609, ""Significance Determination Process.""",32,346,511,call_2002008.txt,0
useless,,,"Findings for which the significance determination process does not apply are indicated by ""No Color"" or by the severity level of the applicable violation.",32,511,665,call_2002008.txt,0
useless,,,The NRC's program for overseeing the safe operation of commercial nuclear power reactors is described at its Reactor Oversight Process web site at http://www.nrc.gov/NRR/OVERSIGHT/index.html.,32,665,856,call_2002008.txt,0
useless,,,A.,32,856,858,call_2002008.txt,0
useless,,,"Inspector Identified Findings Cornerstone: Mitigating Systems · This supplemental inspection was performed by the NRC to assess the licensee's evaluation of the event that occurred between February 9-15, 2001, where one train of essential service water had been rendered inoperable for approximately 132 hours.",32,858,1168,call_2002008.txt,0
useless,,,"If a loss of offsite power had occurred while the train of essential service water was inoperable, the Train B safety systems supported by essential service water, including an emergency diesel generator, would not have been available to perform their safety function.",32,1168,1436,call_2002008.txt,0
useless,,,The finding was previously characterized as having low to moderate safety significance (White) in NRC Inspection Report 50-483/01-09.,32,1436,1569,call_2002008.txt,0
useless,,,"During this supplemental inspection performed in accordance with Inspection Procedure 95002 and the enclosed charter, the inspectors determined that the licensee performed a thorough evaluation of the causes pertaining to the inoperable essential service water pump and correctly identified the extent of the condition.",32,1569,1888,call_2002008.txt,0
team,procedural,organizational-training,"The licensee identified the primary root causes of the performance issues to be: (1) personnel did not know that they needed to secure the drain hose because corrective action from a previous event did not preclude foreign material from entering the suction bay for the essential service water pump, (2) the drain hose was not adequately secured because there was no procedure for the job, (3) the drain hose was not adequately secured because important information that should have been covered during the prejob brief was omitted, (4) personnel did not know that they needed to secure the drain hose because safety precautions and warnings were not included in the work package, (5) personnel that saw or were informed of the presence of a funnel without a drain hose did not have a questioning attitude, (6) the control room took over one hour to enter Technical Specification 3.0.3 after declaring Train B of the essential service water system inoperable because personnel found the procedure difficult to use, and (7) the control room took over one hour to enter Technical Specification 3.0.3 after declaring Train B of the essential service water system inoperable because training was not repeated enough for information to be learned and skills practiced.",32,1888,3151,call_2002008.txt,0
useless,,,"With regard to the extent of condition, the licensee found that the first five root causes identified extended throughout the plant for both installation of leakage",32,3151,3315,call_2002008.txt,0
useless,,,-2control devices and foreign material exclusion.,34,0,50,call_2002008.txt,0
useless,,,The licensee specified appropriate corrective actions to address the root causes and had implemented these actions.,34,50,165,call_2002008.txt,0
