category,sub category 1,sub category 2,text,line,start_pos,end_pos,file,class,prob,predict
useless,,,NUCLEAR REGULATORY COMMISSION,0,0,29,ML17135A406.txt,,0.431100011,Information
useless,,,"REGION IV 1600 E. LAMAR BLVD ARLINGTON, TX 76011-4511",1,0,53,ML17135A406.txt,,0.284399986,Control
useless,,,"May 15, 2017 Mr. Eric Larson Site Vice President Entergy Operations, Inc. Grand Gulf Nuclear Station P.O.",5,0,105,ML17135A406.txt,,0.985199988,Management
useless,,,"Box 756 Port Gibson, MS 39150 SUBJECT: GRAND GULF NUCLEAR STATION å_ NRC INTEGRATED INSPECTION REPORT 05000416/2017001 Dear Mr. Larson: On March 31, 2017, the U.S. Nuclear Regulatory Commission (NRC) completed an inspection at your Grand Gulf Nuclear Station.",5,105,363,ML17135A406.txt,,0.632499993,Cognition
useless,,,"On April 11, 2017, the NRC inspectors discussed the results of this inspection with you and other members of your staff.",5,363,483,ML17135A406.txt,,0.512799978,Management
useless,,,The results of this inspection are documented in the enclosed report.,5,483,552,ML17135A406.txt,,0.57980001,Management
significancy,,,NRC inspectors documented one finding of very low safety significance (Green) in this report.,5,552,645,ML17135A406.txt,,0.3037,Control
evidence,,,This finding involved a violation of NRC requirements.,5,645,699,ML17135A406.txt,,0.55339998,Information
useless,,,The NRC is treating this violation as a non-cited violation (NCV) consistent with Section 2.3.2.a of the Enforcement Policy.,5,699,823,ML17135A406.txt,,0.97329998,Management
useless,,,"Further, inspectors documented three licensee-identified violations, which were determined to be of very low safety significance (Green), in this report.",5,823,976,ML17135A406.txt,,0.744499981,Management
useless,,,The NRC is treating these violations as NCVs consistent with Section 2.3.2.a of the Enforcement Policy.,5,976,1079,ML17135A406.txt,,0.991599977,Procedural&Team
useless,,,"If you contest the violations or significance of these NCVs, you should provide a response within 30 days of the date of this inspection report, with the basis for your denial, to the U.S. Nuclear Regulatory Commission, ATTN: Document Control Desk, Washington, DC 20555-0001; with copies to the Regional Administrator, Region IV; the Director, Office of Enforcement; and the NRC resident inspector at the Grand Gulf Nuclear Station.",5,1079,1511,ML17135A406.txt,,0.396400005,Procedural&Team
useless,,,"If you disagree with a cross-cutting aspect assignment in this report, you should provide a response within 30 days of the date of this inspection report, with the basis for your disagreement, to the U.S. Nuclear Regulatory Commission, ATTN: Document Control Desk, Washington, DC 20555-0001; with copies to the Regional Administrator, Region IV; and the NRC resident inspector at the Grand Gulf Nuclear Station.",5,1511,1922,ML17135A406.txt,,0.904600024,Org-Coordination
useless,,,"This letter, its enclosure, and your response (if any) will be made available for public inspection and copying at http://www.nrc.gov/reading-rm/adams.html and at the NRC Public Document Room in accordance with 10 CFR 2.390, ""Public Inspections, Exemptions, Requests for Withholding.""",11,0,284,ML17135A406.txt,,0.939899981,Procedural&Team
useless,,,"Sincerely, /RA/ Greg Warnick, Branch Chief Project Branch C Division of Reactor Projects Docket No.",11,284,383,ML17135A406.txt,,0.45539999,Control
useless,,,NPF-29 Enclosure: Inspection Report 05000416/2017001 w/ Attachments: 1.,11,401,472,ML17135A406.txt,,0.456900001,Information
useless,,,Supplemental Information 2.,11,472,499,ML17135A406.txt,,0.381599993,Control
useless,,,Request for Information for the Occupational Radiation Safety Inspection,11,499,571,ML17135A406.txt,,0.446099997,Control
useless,,,"GRAND GULF NUCLEAR STATION å_ NRC INTEGRATED INSPECTION REPORT 05000416/2017001 DATED MAY 15, 2017 DISTRIBUTION: KKennedy, RA SMorris, DRA TPruett, DRP AVegel, DRS JClark, DRS RLantz, DRP THipschman, IPAT MHerrerra, DRMA KFuller, RC VDricks, ORA EUribe, IPAT JWeil, OCA AMoreno, RIV/OCA JBowen, RIV/OEDO BMaier, RSLO SLingam, NRR RIV ACES GWarnick, DRP JKozal, DRP CYoung, DRP MStafford, DRP MYoung, DRP NDay, DRP AElam, DRP ROP Reports",17,0,435,ML17135A406.txt,,0.852900028,Cognition
useless,,,ADAMS ACCESSION NUMBER: ÌÑ SUNSI Review ADAMS:  Non-Publicly Available ÌÑ Non-Sensitive By: ÌÑ Yes  No ÌÑ Publicly Available  Sensitive OFFICE SRI:DRP/C RI:DRP/C C:DRS/EB1 C:DRS/EB2 C:DRS/OB NAME MYoung NDay TFarnholtz GWerner VGaddy SIGNATURE /RA/ /RA/ /RA/ /RA/ /RA/ DATE 5/10/2017 5/15/2017 5/11/2017 5/11/2017 5/10/2017 OFFICE TL:DRS/IPAT SPE:DRP/C C:DRP/C NAME THipschman CYoung GWarnick SIGNATURE /RA/ /RA/ /RA/ DATE 5/10/2017 5/10/2017 5/15/2017 OFFICIAL RECORD COPY,19,0,469,ML17135A406.txt,,0.905499995,Procedural&Team
useless,,,C:DRS/PSB2 HGepford /RA/ 5/11/2017,21,0,34,ML17135A406.txt,,0.970899999,Procedural&Team
useless,,,"U.S. NUCLEAR REGULATORY COMMISSION REGION IV Docket: License: Report: Licensee: Facility: Location: Dates: 05000416 NPF-29 05000416/2017001 Entergy Operations, Inc. Grand Gulf Nuclear Station, Unit 1 7003 Baldhill Road Port Gibson, MS 39150 January 1 through March 31, 2017",23,0,274,ML17135A406.txt,,0.380499989,Information
useless,,,"Inspectors: M. Young, Senior Resident Inspector N. Day, Resident Inspector L. Carson II, Senior Health Physicist M. Phalen, Senior Health Physicist P. Elkmann, Senior Emergency Preparedness Inspector S. Hedger, Emergency Preparedness Inspector E. Uribe, Project Engineer Approved By: Greg Warnick Chief, Project Branch C Division of Reactor Projects",25,0,349,ML17135A406.txt,,0.842000008,Team & Organization
useless,,,SUMMARY IR 05000416/2017001; 01/01/2017 å_ 03/31/2017; Grand Gulf Nuclear Station; Maintenance of Emergency Preparedness.,31,0,121,ML17135A406.txt,,0.669700027,Procedural&Team
useless,,,"The inspection activities described in this report were performed between January 1 and March 31, 2017, by the resident inspectors at Grand Gulf Nuclear Station and inspectors from the NRC's Region IV office.",31,121,329,ML17135A406.txt,,0.623399973,Procedural&Team
useless,,,One finding of very low safety significance (Green) is documented in this report.,31,329,410,ML17135A406.txt,,0.753600001,Management
useless,,,This finding involved a violation of NRC requirements.,31,410,464,ML17135A406.txt,,0.55339998,Information
useless,,,"Additionally, NRC inspectors documented in this report three licensee-identified violations of very low safety significance (Green).",31,464,596,ML17135A406.txt,,0.527199984,Management
useless,,,"The significance of inspection findings is indicated by their color (i.e., Green, greater than Green, White, Yellow, or Red), determined using Inspection Manual Chapter 0609, ""Significance Determination Process,"" dated April 29, 2015.",31,596,830,ML17135A406.txt,,0.981000006,Procedural&Team
evidence,,,"Their cross-cutting aspects are determined using Inspection Manual Chapter 0310, ""Aspects within the CrossCutting Areas,"" dated December 4, 2014.",31,830,975,ML17135A406.txt,,0.335000008,Management
useless,,,Violations of NRC requirements are dispositioned in accordance with the NRC Enforcement Policy.,31,975,1070,ML17135A406.txt,,0.397000015,Control
useless,,,"The NRC's program for overseeing the safe operation of commercial nuclear power reactors is described in NUREG-1649, ""Reactor Oversight Process,"" dated July 2016.",31,1070,1232,ML17135A406.txt,,0.569199979,Procedural&Team
useless,,,Cornerstone: Emergency Preparedness åá Green.,31,1232,1276,ML17135A406.txt,,0.326000005,Procedural&Team
organizational,performance,planning-not conducted a required drill,The inspectors identified a non-cited violation of 10 CFR 50.54(q)(2) associated with the licensee's failure to conduct a drill required by the site emergency plan in 2014.,31,1276,1448,ML17135A406.txt,,0.501699984,Control
organizational,performance,planning-not conducted a required drill,The licensee was required to conduct a drill involving both the site first-aid team and a local hospital.,31,1448,1553,ML17135A406.txt,,0.656000018,Planning
detail of incident,,,This violation is not an immediate safety concern because drills were conducted involving the site first-aid team and other drills were conducted at local hospitals.,31,1553,1718,ML17135A406.txt,,0.965900004,Cognition
detail of incident,,,This issue has been entered into the licensee's corrective action program as Condition Report CR-GGN-2017-00311.,31,1718,1830,ML17135A406.txt,,0.692600012,Performance
organizational,performance,performance-not conducted a required drill,"The performance deficiency was more than minor, and therefore a finding, because it was associated with the emergency response organization performance (drills and exercises) cornerstone attribute and adversely affected the Emergency Preparedness Cornerstone objective of being capable of implementing adequate measures to protect the health and safety of the public in the event of a radiological emergency.",31,1830,2238,ML17135A406.txt,,0.309700012,Team & Organization
useless,,,"The finding was evaluated using Inspection Manual Chapter 0609, Appendix B, ""Emergency Preparedness Significance Determination Process,"" dated September 22, 2015.",31,2238,2400,ML17135A406.txt,,0.551999986,Control
useless,,,"The finding was determined to be of very low safety significance (Green) because it was a failure to comply with NRC requirements, was not associated with the risk-significant planning standards, and was not a degraded planning standard function.",31,2400,2646,ML17135A406.txt,,0.591499984,Control
organizational,management,training-not providing a training,The finding had a cross-cutting aspect in the area of human performance associated with training because the licensee did not maintain a workforce knowledgeable about the requirements of the emergency plan [H.9].,31,2646,2858,ML17135A406.txt,,0.674199998,Control
useless,,,(Section 1EP5) Licensee-Identified Violations Violations of very low safety significance (Green) that were identified by the licensee have been reviewed by the inspectors.,31,2858,3029,ML17135A406.txt,,0.577899992,Control
useless,,,Corrective actions taken or planned by the licensee have been entered into the licensee's corrective action program.,31,3029,3145,ML17135A406.txt,,0.557699978,Control
useless,,,These violations and associated corrective action tracking numbers are listed in Section 4OA7 of this report.,31,3145,3254,ML17135A406.txt,,0.459399998,Information
detail of incident,,,PLANT STATUS The Grand Gulf Nuclear Station began the inspection period in Mode 4.,35,0,83,ML17135A406.txt,,0.299100012,Information
useless,,,"On January 31, 2017, operations personnel commenced power ascension, and on February 9, 2017, Grand Gulf Nuclear Station reached 100 percent power.",35,83,230,ML17135A406.txt,,0.583700001,Control
useless,,,"On February 10, 2017, operations personnel reduced power to 74 percent power due to an issue with the condensate booster pump B outboard mechanical seal.",35,230,383,ML17135A406.txt,,0.727299988,Team & Organization
useless,,,"On February 13, 2017, operations personnel commenced power ascension and reached 100 percent power.",35,383,482,ML17135A406.txt,,0.592899978,Team & Organization
useless,,,"On February 24, 2017, operations personnel reduced power to 74 percent power to perform planned maintenance and testing, and remained at that power level to support troubleshooting a problem with the condensate booster pump C outboard mechanical seal.",35,482,733,ML17135A406.txt,,0.387499988,Team & Organization
useless,,,"On March 9, 2017, operations personnel commenced power ascension to 100 percent power following replacement of condensate booster pump A and C outboard mechanical seals.",35,733,902,ML17135A406.txt,,0.899800003,Performance
useless,,,The Grand Gulf Nuclear Station finished the inspection period at 100 percent power.,35,902,985,ML17135A406.txt,,0.34009999,Control
useless,,,"REACTOR SAFETY Cornerstones: Initiating Events, Mitigating Systems, and Barrier Integrity 1R01 Adverse Weather Protection (71111.01) a.",35,1002,1137,ML17135A406.txt,,0.707899988,Planning
useless,,,"Inspection Scope On February 7, 2017, the inspectors completed an inspection of the station's readiness for impending adverse weather conditions.",35,1137,1282,ML17135A406.txt,,0.77670002,Coordination
detail of incident,,,"The inspectors reviewed plant design features, the licensee's procedures to respond to tornadoes and high winds, and the licensee's implementation of these procedures.",35,1282,1449,ML17135A406.txt,,0.709500015,Procedural&Team
detail of incident,,,The inspectors' evaluated operator staffing and accessibility of controls and indications for those systems required to control the plant.,35,1449,1587,ML17135A406.txt,,0.979700029,Procedural&Team
detail of incident,,,"These activities constituted one sample of readiness for impending adverse weather conditions, as defined in Inspection Procedure 71111.01. b.",35,1587,1729,ML17135A406.txt,,0.621100008,Performance
false positive,,,Findings No findings were identified.,35,1729,1766,ML17135A406.txt,,0.842800021,Procedural&Team
useless,,,1R04 Equipment Alignment (71111.04) a.,35,1766,1804,ML17135A406.txt,,0.655600011,Planning
useless,,,"Inspection Scope One January 29, 2017, inspectors performed a partial system walk-down of the reactor core isolation cooling system following a valve operability test.",35,1804,1971,ML17135A406.txt,,0.975300014,Procedural&Team
useless,,,The inspectors reviewed 3,35,1971,1996,ML17135A406.txt,,0.313699991,Procedural&Team
good performance,,,the licensee's procedures and system design information to determine the correct lineup for the system.,37,0,104,ML17135A406.txt,,0.365399987,Information
detail of incident,,,They visually verified that critical portions of the system were correctly aligned for the existing plant configuration.,37,104,224,ML17135A406.txt,,0.993799984,Procedural&Team
useless,,,"These activities constituted one partial system walk-down sample, as defined in Inspection Procedure 71111.04. b.",37,224,337,ML17135A406.txt,,0.516099989,Control
false positive,,,Findings No findings were identified.,37,337,374,ML17135A406.txt,,0.842800021,Procedural&Team
title,,,1R05 Fire Protection (71111.05) Quarterly Inspection a.,37,374,429,ML17135A406.txt,,0.694500029,Planning
useless,,,Inspection Scope The inspectors evaluated the licensee's fire protection program for operational status and material condition.,37,429,556,ML17135A406.txt,,0.471199989,Procedural&Team
useless,,,"The inspectors focused their inspection on four plant areas important to safety: åá åá åá åá January 6, 2017, northeast auxiliary building passage, 166 feet elevation, Fire Area 8, Zone 1A401 January 24, 2017, auxiliary building corridors and passages, 93 feet and 103 feet elevations, Fire Areas 7 and 8, Zones 1A101, 1A117, 1A121, and 1A123 March 3, 2017, Unit 1, turbine building, 93 feet elevation, Fire Area TB1, Zone TB1-01 March 3, 2017, Unit 2, auxiliary building, 119 feet and 139 feet elevations, Fire Area AB2, Zones AB2-01 and AB2-02",37,556,1097,ML17135A406.txt,,0.563199997,Procedural&Team
detail of incident,,,"For each area, the inspectors evaluated the fire plan against defined hazards and defense-in-depth features in the licensee's fire protection program.",39,0,150,ML17135A406.txt,,0.360599995,Control
detail of incident,,,"The inspectors evaluated control of transient combustibles and ignition sources, fire detection and suppression systems, manual firefighting equipment and capability, passive fire protection features, and compensatory measures for degraded conditions.",39,150,401,ML17135A406.txt,,0.985199988,Procedural&Team
useless,,,"These activities constituted four quarterly inspection samples, as defined in Inspection Procedure 71111.05. b.",39,401,512,ML17135A406.txt,,0.485900015,Control
false positive,,,Findings No findings were identified.,39,512,549,ML17135A406.txt,,0.842800021,Procedural&Team
useless,,,1R06 Flood Protection Measures (71111.06) a.,39,549,593,ML17135A406.txt,,0.505599976,Control
useless,,,"Inspection Scope From January 31, 2017, to February 14, 2017, the inspectors completed inspections of underground bunkers susceptible to flooding.",39,593,739,ML17135A406.txt,,0.872300029,Planning
useless,,,The inspectors selected three 4,39,739,770,ML17135A406.txt,,0.341800004,Information
useless,,,underground vaults that contained risk-significant or multiple-train cables whose failure could disable risk-significant equipment: åá åá åá SP45MH01 SP45MH02 SP45MH03,41,0,165,ML17135A406.txt,,0.344300002,Information
detail of incident,,,The inspectors observed the material condition of the cables and splices contained in the vaults and looked for evidence of cable degradation due to water intrusion.,43,0,165,ML17135A406.txt,,0.422800004,Control
detail of incident,,,The inspectors verified that the cables and vaults met design requirements.,43,165,240,ML17135A406.txt,,0.451299995,Control
detail of incident,,,"These activities constituted completion of one bunker/manhole sample, as defined in Inspection Procedure 71111.06. b.",43,240,357,ML17135A406.txt,,0.859600008,Performance
false positive,,,Findings No findings were identified.,43,357,394,ML17135A406.txt,,0.842800021,Procedural&Team
title,,,1R13 Maintenance Risk Assessments and Emergent Work Control (71111.13) a.,43,394,467,ML17135A406.txt,,0.578800023,Performance
detail of incident,,,"Inspection Scope The inspectors reviewed three risk assessments performed by the licensee prior to changes in plant configuration and the risk management actions taken by the licensee in response to elevated risk: åá åá January 6, 2017, operation with a potential for draining the reactor vessel during control rod exercising and control rod drive vent valve manipulations February 17, 2017, risk associated with preventative maintenance of fuel pool cooling and cleanup pump A, with fuel pool time to 200 degrees Fahrenheit less than 72 hours March 6 - 7, 2017, Division 2 emergency diesel generator verification of extended allowed outage time risk management actions required by technical specifications",43,467,1171,ML17135A406.txt,,0.800100029,Procedural&Team
good performance,,,The inspectors verified that these risk assessments were performed timely and in accordance with the requirements of 10 CFR 50.65 (the Maintenance Rule) and plant procedures.,47,0,174,ML17135A406.txt,,0.995700002,Procedural&Team
detail of incident,,,The inspectors reviewed the accuracy and completeness of the licensee's risk assessments and verified that the licensee implemented appropriate risk management actions based on the results of the assessments.,47,174,382,ML17135A406.txt,,0.456800014,Control
useless,,,"February 28, 2017, following a downpower for testing, secured condensate booster pump C due to elevated temperatures on the pump's outboard mechanical seal",53,0,155,ML17135A406.txt,,0.534600019,Control
good performance,,,The inspectors verified that the licensee appropriately developed and followed a work plan for these activities.,55,0,112,ML17135A406.txt,,0.414799988,Performance
useless,,,"These activities constituted completion of five maintenance risk assessments and emergent work control inspection samples, as defined in Inspection Procedure 71111.13. b.",55,274,444,ML17135A406.txt,,0.356700003,Procedural&Team
false positive,,,Findings No findings were identified.,55,444,481,ML17135A406.txt,,0.842800021,Procedural&Team
useless,,,1R15 Operability Determinations and Functionality Assessments (71111.15) a.,55,481,556,ML17135A406.txt,,0.349299997,Org-Coordination
detail of incident,,,"Inspection Scope The inspectors reviewed five operability determinations and functionality assessments that the licensee performed for degraded or nonconforming structures, systems, or components (SSCs): åá åá åá åá January 12, 2017, operability determination of high pressure core spray following restricting orifice leakage January 28, 2017, operability determination of the high pressure core spray cables due to being wetted March 23, 2017, functionality assessment for FLEX debris removal equipment (1FLEXE001 and 1FLEXE002) unable to be started due to dead batteries March 23, 2017, functionality assessment of the fire brigade during the time two operators were locked on top of the standby service water basin and during times when brigade members performed walk-downs in the switchyard March 24, 2017, operability determination of the Division 1 and 2 emergency diesel generators due to potential crankcase pressure trip condition",55,556,1491,ML17135A406.txt,,0.295100003,Procedural&Team
detail of incident,,,The inspectors reviewed the timeliness and technical adequacy of the licensee's evaluations.,59,0,92,ML17135A406.txt,,0.561999977,Control
detail of incident,,,"Where the licensee determined the degraded SSC to be operable or functional, the inspectors verified that the licensee's compensatory measures were appropriate to provide reasonable assurance of operability or functionality.",59,92,316,ML17135A406.txt,,0.520900011,Control
detail of incident,,,The inspectors verified that the licensee had considered the effect of other degraded conditions on the operability or functionality of the degraded SSC.,59,316,469,ML17135A406.txt,,0.538999975,Control
useless,,,"These activities constituted completion of five operability and functionality review samples, as defined in Inspection Procedure 71111.15.",59,469,607,ML17135A406.txt,,0.614799976,Org-Coordination
false positive,,,Findings No Findings were identified.,65,0,37,ML17135A406.txt,,0.842800021,Procedural&Team
useless,,,1R18 Plant Modifications (71111.18) a.,67,0,38,ML17135A406.txt,,0.984600008,Procedural&Team
useless,,,"Inspection Scope The inspectors reviewed two temporary plant modifications that affected SSCs: åá January 31, 2017, installation and removal of the autostart feature for standby service water pumps A and B only when a manual start of residual heat removal system occurred during the outage February 24, 2017, modification to remove the linear velocity transducer for flow control valve B",67,38,424,ML17135A406.txt,,0.432999998,Procedural&Team
good performance,,,The inspectors verified that the licensee had installed these temporary modifications in accordance with technically adequate design documents.,71,0,143,ML17135A406.txt,,0.53640002,Control
useless,,,The inspectors verified that these modifications did not adversely impact the operability or availability of affected SSCs.,71,143,266,ML17135A406.txt,,0.424100012,Control
useless,,,The inspectors reviewed design documentation and plant procedures affected by the modifications to verify the licensee maintained configuration control.,71,266,418,ML17135A406.txt,,0.9903,Procedural&Team
useless,,,"These activities constituted completion of two samples of temporary modifications, as defined in Inspection Procedure 71111.18. b.",71,418,548,ML17135A406.txt,,0.605300009,Control
false positive,,,Findings No findings were identified.,71,548,585,ML17135A406.txt,,0.842800021,Procedural&Team
useless,,,1R19 Post-Maintenance Testing (71111.19) a.,71,585,628,ML17135A406.txt,,0.91839999,Planning
useless,,,"Inspection Scope The inspectors reviewed three post-maintenance testing activities that affected risksignificant SSCs: åá åá åá February 28, 2017, control room air conditioning A following replacement of the compressor seal March 6, 2017, condensate booster pump A following replacement of the outboard mechanical seal and orifice installation March 12, 2017, Division 2 emergency diesel generator following an extended maintenance outage",71,628,1063,ML17135A406.txt,,0.471500009,Performance
useless,,,The inspectors reviewed licensing- and design-basis documents for the SSCs and the maintenance and post-maintenance test procedures.,73,0,132,ML17135A406.txt,,0.583000004,Procedural&Team
good performance,,,"The inspectors observed the performance of the post-maintenance tests to verify that the licensee performed the tests in accordance with approved procedures, satisfied the established acceptance criteria, and restored the operability of the affected SSCs.",73,132,387,ML17135A406.txt,,0.463,Control
