TYPE,CLASS,text,line,start_pos,end_pos,file,class
0,U,"UNITED STATES NUCLEAR REGULATORY COMMISSION REGION III 2443 WARRENVILLE ROAD, SUITE 210 LISLE, IL 60532-4352 May 6, 2013 Mr. Joseph Plona Senior Vice President and Chief Nuclear Officer DTE Electric Company Fermi 2 - 210 NOC 6400 North Dixie Highway Newport, MI 48166 SUBJECT: FERMI POWER PLANT, UNIT 2, NRC INTEGRATED INSPECTION REPORT 05000341/2013002",0,0,353,ML13127A206.txt,1
0,U,"Dear Mr. Plona: On March 31, 2013, the U.S. Nuclear Regulatory Commission (NRC) completed an integrated inspection at your Fermi Power Plant, Unit 2.",2,0,149,ML13127A206.txt,0
0,U,"The enclosed inspection report documents the inspection results which were discussed on April 11, 2013, with Mr. T. Conner, Site VicePresident, and other members of your staff.",2,149,325,ML13127A206.txt,0
0,U,The inspection examined activities conducted under your license as they relate to safety and compliance with the Commission's rules and regulations and with the conditions of your license.,2,325,513,ML13127A206.txt,1
0,U,"The inspectors reviewed selected procedures and records, observed activities, and interviewed personnel.",2,513,617,ML13127A206.txt,0
0,U,No NRC-identified or self-revealed findings were identified during this inspection.,2,617,700,ML13127A206.txt,0
0,U,"However, one licensee-identified violation, which was determined to be of very low safety significance, is listed in Section 4OA7 of this report.",2,700,845,ML13127A206.txt,0
0,U,The NRC is treating this issue as a non-cited violation (NCV) in accordance with Section 2.3.2 of the NRC Enforcement Policy.,2,845,970,ML13127A206.txt,0
0,U,"If you contest this non-cited violation, you should provide a response within 30 days of the date of this inspection report, with the basis for your denial, to the U.S. Nuclear Regulatory Commission, ATTN: Document Control Desk, Washington, DC 20555-0001, with a copy to the Regional Administrator, U.S. Nuclear Regulatory Commission - Region III, 2443 Warrenville Road, Suite 210, Lisle, IL 60532-4352; the Director, Office of Enforcement, U.S. Nuclear Regulatory Commission, Washington, DC 20555-0001; and the Resident Inspector Office at the Fermi Power Plant.",2,970,1533,ML13127A206.txt,1
0,U,J. Plona,4,0,9,ML13127A206.txt,0
0,U,-2-,6,0,3,ML13127A206.txt,0
0,U,"In accordance with 10 CFR 2.390 of the NRC's ""Rules of Practice,"" a copy of this letter, its enclosure, and your response (if any) will be available electronically for public inspection in the NRC Public Document Room or from the Publicly Available Records System (PARS) component of NRC's Agencywide Document Access and Management System (ADAMS).",8,0,347,ML13127A206.txt,0
0,U,ADAMS is accessible from the NRC Website at http://www.nrc.gov/reading-rm/adams.html (the Public Electronic Reading Room).,8,347,469,ML13127A206.txt,0
0,U,"Sincerely, /RA/ Michael A. Kunowski, Chief Branch 5 Division of Reactor Projects Docket No.",8,469,560,ML13127A206.txt,0
0,U,License No.,8,560,571,ML13127A206.txt,1
0,U,Enclosure: cc w/encl: 50-341 NPF-43 Inspection Report 05000341/2013002 w/Attachment: Supplemental Information Distribution via ListServTM,8,571,708,ML13127A206.txt,0
0,U,"U.S. NUCLEAR REGULATORY COMMISSION REGION III Docket No: License No: Report No: Licensee: Facility: Location: Dates: Inspectors: 50-341 NPF-43 05000341/2013002 DTE Electric Company Fermi Power Plant, Unit 2 Newport, MI January 1 through March 31, 2013 R. Morris, Senior Resident Inspector R. Jones, Resident Inspector S. Bell, Health Physicist B. Kemker, Senior Resident Inspector, Clinton M. Kunowski, Chief Branch 5 Division of Reactor Projects",10,0,447,ML13127A206.txt,1
0,U,Approved by:,12,0,12,ML13127A206.txt,0
0,U,Enclosure,14,0,9,ML13127A206.txt,0
0,U,TABLE OF CONTENTS SUMMARY OF FINDINGS ....................................................................................................... 1 REPORT DETAILS ................................................................................................................... 2 Summary of Plant Status ..................................................................................................... 2 1.,16,0,408,ML13127A206.txt,0
0,U,REACTOR SAFETY ....................................................................................................... 2 1R01 Adverse Weather Protection (71111.01) .............................................................. 2 1R04 Equipment Alignment (71111.04) ........................................................................ 3 1R05 Fire Protection (71111.05) ................................................................................... 4 1R06 Flooding (71111.06) ............................................................................................. 5 1R11 Licensed Operator Requalification Program (71111.11) ...................................... 5 1R12 Maintenance Effectiveness (71111.12) ................................................................ 7 1R13 Maintenance Risk Assessments and Emergent Work Control (71111.13) .......... 7 1R15 Operability Determinations and Functional Assessments (71111.15) ................. 8 1R18 Plant Modifications (71111.18) ............................................................................ 9 1R19 Post-Maintenance Testing (71111.19) ............................................................... 10 1R22 Surveillance Testing (71111.22) ........................................................................ 11 1EP6 Drill Evaluation (71114.06) ................................................................................. 12 RADIATION SAFETY ................................................................................................... 13 2RS1 Radiological Hazard Assessment and Exposure Controls (71124.01) .............. 13 2RS2 Occupational As-Low-As-Is-Reasonably-Achievable (ALARA) Planning and Controls (71124.02) ........................................................................................... 17 2RS5 Radiation Monitoring Instrumentation (71124.05) .............................................. 17 OTHER ACTIVITIES .................................................................................................... 22 4OA1 Performance Indicator Verification (71151) ....................................................... 22 4OA2 Identification and Resolution of Problems (71152) ............................................ 24 4OA3 Follow-Up of Events and Notices of Enforcement Discretion (71153) ............... 27 4OA6 Management Meetings ...................................................................................... 27 4OA7 Licensee-Identified Violations ............................................................................ 28,16,408,2973,ML13127A206.txt,0
0,U,2,18,0,2,ML13127A206.txt,0
0,U,4,20,0,2,ML13127A206.txt,0
0,U,"SUPPLEMENTAL INFORMATION ........................................................................................... 1 KEY POINTS OF CONTACT ............................................................................................... 1 LIST OF ITEMS OPENED, CLOSED AND DISCUSSED .................................................... 2 LIST OF DOCUMENTS REVIEWED ................................................................................... 3 LIST OF ACRONYMS USED ............................................................................................. 12",22,0,568,ML13127A206.txt,0
0,U,Enclosure,24,0,9,ML13127A206.txt,0
0,U,"SUMMARY OF FINDINGS Inspection Report 05000341/2013002; 01/01/2013 е_ 03/31/2013; Fermi Power Plant, Unit 2 This report covers a 3-month period of inspection by the resident inspectors and announced baseline inspections by regional inspectors.",26,0,243,ML13127A206.txt,0
0,U,"The significance of inspection findings is indicated by their color (i.e., greater than Green, or Green, White, Yellow, Red) and determined using Inspection Manual Chapter (IMC) 0609, ""Significance Determination Process"" dated June 2, 2011.",26,243,483,ML13127A206.txt,1
0,U,"Cross-cutting aspects are determined using IMC 0310, ""Components Within the Cross-cutting Areas,"" dated October 28, 2011.",26,483,604,ML13127A206.txt,0
