,,,text,line,start_pos,end_pos,file,predict
useless,,,"May 8, 2006 Mr. Christopher M. Crane President and Chief Nuclear Officer Exelon Nuclear Exelon Generation Company, LLC 4300 Winfield Road Warrenville, IL 60555 SUBJECT: CLINTON POWER STATION NRC INTEGRATED INSPECTION REPORT 05000461/2006002",0,0,240,ML061290031.txt,0
useless,,,"Dear Mr. Crane: On March 31, 2006, the U.S. Nuclear Regulatory Commission (NRC) completed an integrated inspection at your Clinton Power Station.",2,0,145,ML061290031.txt,0
useless,,,"The enclosed report documents the inspection findings which were discussed on April 13, 2006, with Mr. R. Bement and other members of your staff.",2,145,290,ML061290031.txt,0
useless,,,This inspection examined activities conducted under your license as they relate to safety and to compliance with the Commission's rules and regulations and with the conditions of your license.,2,290,482,ML061290031.txt,0
useless,,,"The inspectors reviewed selected procedures and records, observed activities, and interviewed personnel.",2,482,586,ML061290031.txt,0
useless,,,"Based on the results of this inspection, three NRC-identified findings of very low safety significance (Green) were identified.",2,586,713,ML061290031.txt,0
useless,,,Two of these findings involved violations of NRC requirements.,2,713,775,ML061290031.txt,0
useless,,,"However, because these findings were of very low safety significance and because these violations were entered into your corrective action program, the NRC is treating these issues as Non-Cited Violations (NCVs) consistent with Section VI.A of the NRC Enforcement Policy.",2,775,1046,ML061290031.txt,0
useless,,,"If you contest any NCV in this report, you should provide a response within 30 days of the date of this inspection report, with the basis for your denial, to the US Nuclear Regulatory Commission, ATTN: Document Control Desk, Washington, DC 20555-0001, with a copy to the Regional Administrator, U.S. Nuclear Regulatory Commission - Region III, 2443 Warrenville Road, Suite 210, Lisle, IL 60532-4352; the Director, Office of Enforcement, U.S. Nuclear Regulatory Commission, Washington, DC 20555-0001; and the Resident Inspector Office at Clinton Power Station facility.",2,1046,1614,ML061290031.txt,1
useless,,,C. Crane,4,0,9,ML061290031.txt,0
useless,,,-2-,6,0,3,ML061290031.txt,0
useless,,,"In accordance with 10 CFR 2.390 of the NRC's ""Rules of Practice,"" a copy of this letter and its enclosure will be available electronically for public inspection in the NRC Public Document Room or from the Publicly Available Records (PARS) component of NRC's document system (ADAMS), accessible from the NRC Web site at http://www.nrc.gov/reading-rm/adams.html (the Public Electronic Reading Room).",8,0,397,ML061290031.txt,0
useless,,,"Sincerely, /RA/ Mark A.",8,397,420,ML061290031.txt,0
useless,,,"Ring, Chief Branch 1 Division of Reactor Projects Docket No.",8,420,480,ML061290031.txt,0
useless,,,50-461 License No.,8,480,498,ML061290031.txt,0
useless,,,NPF-62 Enclosure: cc w/encl: Inspection Report No.,8,498,548,ML061290031.txt,0
useless,,,"05000461/2006002 w/Attachment: Supplemental Information Site Vice President - Clinton Power Station Plant Manager - Clinton Power Station Regulatory Assurance Manager - Clinton Power Station Chief Operating Officer Senior Vice President - Nuclear Services Vice President - Operations Support Vice President - Licensing and Regulatory Affairs Manager Licensing - Clinton Power Station Senior Counsel, Nuclear, Mid-West Regional Operating Group Document Control Desk - Licensing Assistant Attorney General Illinois Emergency Management Agency State Liaison Officer, State of Illinois Chairman, Illinois Commerce Commission",8,548,1168,ML061290031.txt,0
useless,,,C. Crane,10,0,9,ML061290031.txt,0
useless,,,-2-,12,0,3,ML061290031.txt,0
useless,,,"In accordance with 10 CFR 2.390 of the NRC's ""Rules of Practice,"" a copy of this letter and its enclosure will be available electronically for public inspection in the NRC Public Document Room or from the Publicly Available Records (PARS) component of NRC's document system (ADAMS), accessible from the NRC Web site at http://www.nrc.gov/reading-rm/adams.html (the Public Electronic Reading Room).",14,0,397,ML061290031.txt,0
useless,,,"Sincerely, /RA/ Mark A.",14,397,420,ML061290031.txt,0
useless,,,"Ring, Chief Branch 1 Division of Reactor Projects Docket No.",14,420,480,ML061290031.txt,0
useless,,,50-461 License No.,14,480,498,ML061290031.txt,0
useless,,,NPF-62 Enclosure: cc w/encl: Inspection Report No.,14,498,548,ML061290031.txt,0
useless,,,"05000461/2006002 w/Attachment: Supplemental Information Site Vice President - Clinton Power Station Plant Manager - Clinton Power Station Regulatory Assurance Manager - Clinton Power Station Chief Operating Officer Senior Vice President - Nuclear Services Vice President - Operations Support Vice President - Licensing and Regulatory Affairs Manager Licensing - Clinton Power Station Senior Counsel, Nuclear, Mid-West Regional Operating Group Document Control Desk - Licensing Assistant Attorney General Illinois Emergency Management Agency State Liaison Officer, State of Illinois Chairman, Illinois Commerce Commission",14,548,1168,ML061290031.txt,0
useless,,,DOCUMENT NAME:E:\Filenet\ML061290031.wpd G Publicly Available G Non-Publicly Available OFFICE NAME DATE RIII E MRing for BDickson:sls 05/08/2006,16,0,144,ML061290031.txt,0
useless,,,G Sensitive,18,0,11,ML061290031.txt,0
useless,,,G Non-Sensitive RIII,20,0,20,ML061290031.txt,0
useless,,,"To receive a copy of this document, indicate in the concurrence box ""C"" = Copy without attach/encl ""E"" = Copy with attach/encl ""N"" = No copy",22,0,140,ML061290031.txt,0
useless,,,RIII RIII MRing 05/08/2006 OFFICIAL RECORD COPY,24,0,47,ML061290031.txt,0
useless,,,C. Crane,26,0,9,ML061290031.txt,0
useless,,,-3-,28,0,3,ML061290031.txt,0
useless,,,"ADAMS Distribution: DXC1 KNJ RidsNrrDirsIrib GEG KGO BCD CAA1 LSL (electronic IR's only) C. Pederson, DRS (hard copy - IR's only) DRPIII DRSIII PLB1 JRK1 ROPreports@nrc.gov (inspection reports, final SDP letters, any letter with an IR number)",30,0,242,ML061290031.txt,0
useless,,,"U.S. NUCLEAR REGULATORY COMMISSION REGION III Docket No: License No: Report No: Licensee: Facility: Location: 50-461 NPF-62 05000461/2006002 AmerGen Energy Company, LLC Clinton Power Station Route 54 West Clinton, IL 61727 January 1 through March 31, 2006 B. C. Dickson, Senior Resident Inspector D. Tharp, Resident Inspector D. Melendez-Colon, Reactor Engineer M. Sheikh, Resident Inspector T. Bilik, Reactor Inspector W. Slawinski, Senior Radiation Specialist M. Jordan, Contract Reactor Inspector T. Ploski, Senior Emergency Preparedness Analyst D. Schrum, Reactor Inspector B. Metrow, Illinois Emergency Management Agency (IEMA) Inspector C. Matthews, Illinois Emergency Management Agency Inspector Mark Ring, Chief Branch 1 Division of Reactor Projects",32,0,758,ML061290031.txt,0
useless,,,Dates: Inspectors:,34,0,18,ML061290031.txt,0
useless,,,Approved by:,36,0,12,ML061290031.txt,0
useless,,,Enclosure,38,0,9,ML061290031.txt,0
useless,,,"SUMMARY OF FINDINGS IR 05000461/2006002; AmerGen Energy Company LLC, 01/01/2006-03/31/2006; Clinton Power Station; Permanent Plant Modifications, Surveillance Testing, and ALARA Planning and Controls.",40,0,201,ML061290031.txt,0
useless,,,"This report covers a 3-month period of baseline resident inspection and announced baseline inspections on inservice inspection, radiation protection, heat sink performance, and emergency preparedness.",40,201,401,ML061290031.txt,0
useless,,,The inspection was conducted by Region III inspectors and the resident inspectors.,40,401,483,ML061290031.txt,0
useless,,,"Three Green findings, two with associated Non-Cited Violations (NCVs) were identified.",40,483,569,ML061290031.txt,0
useless,,,"The significance of most findings is indicated by their color (Green, White, Yellow, Red) using Inspection Manual Chapter (IMC) 0609, ""Significance Determination Process"" (SDP).",40,569,746,ML061290031.txt,0
useless,,,"Findings for which the SDP does not apply may be ""Green"" or be assigned a severity level after NRC management review.",40,746,863,ML061290031.txt,0
useless,,,"The NRC's program for overseeing the safe operation of commercial nuclear power reactors is described in NUREG-1649, ""Reactor Oversight Process,"" Revision 3, dated July 2000.",40,863,1037,ML061290031.txt,0
useless,,,A. Inspector-Identified and Self Revealing Findings Cornerstone: Mitigating Systems еб Green.,40,1037,1129,ML061290031.txt,0
useless,,,"In February 2006, a finding of very low safety significance involving a Non-Cited Violation of 10 CFR 50, Appendix B, Criteria III, ""Design Control,"" was identified.",40,1129,1294,ML061290031.txt,0
incident,,,"During a review of Engineering Change Package 356820, ""Shutdown Cooling Header Leak-off line,"" the inspectors identified that the design change, as installed, would adversely impact the functionality of both the Division 2 residual heat removal system's water leg (keep-fill) pump and the C residual heat removal pump.",40,1294,1612,ML061290031.txt,0
useless,,,This adverse condition would be caused by the introduction of high temperature water on the suction side of both pumps.,40,1612,1731,ML061290031.txt,0
organizational,management,,The design change was being installed to prevent pressurization of the shutdown cooling header due to leakage through the reactor coolant system pressure isolation valves.,40,1731,1902,ML061290031.txt,0
useless,,,This issue was more than minor because the finding affected the Mitigating Systems cornerstone objective of ensuring the availability of mitigating systems to prevent undesirable consequences (Design Control attributes).,40,1902,2122,ML061290031.txt,0
useless,,,"The finding was of very low safety significance because, with the expected operator actions, this condition would not result in a loss of operability.",40,2122,2272,ML061290031.txt,0
useless,,,This conclusion was made based on the flow limiting characteristics of the leak-off line orifice with the suction cooling header volume at saturated conditions in conjunction with the subsequent operator alarm response requirements.,40,2272,2504,ML061290031.txt,0
useless,,,Corrective actions by the licensee included procedure revisions and local monitoring of the C residual heat removal suction line temperature once the leak-off line was placed in service.,40,2504,2690,ML061290031.txt,0
useless,,,(Section 1R17) еб Green.,40,2690,2713,ML061290031.txt,0
useless,,,"On February 2, 2006, the inspectors identified a finding involving a Non-Cited Violation of 10 CFR Part 50, Appendix B, Criterion XI, ""Test Controls.""",40,2713,2863,ML061290031.txt,0
useless,,,"During a review of the licensee's surveillance test to determine the operability of the shutdown service water system, the inspectors identified that the system's 1 Enclosure",40,2863,3037,ML061290031.txt,0
