type,class,text,line,start_pos,end_pos,file,class
0,U,27-Sep-04,0,0,18,davi_2004012.txt,0
0,U,"Mr. Mark B. Bezilla Vice President - Nuclear, Davis-Besse FirstEnergy Nuclear Operating Company Davis-Besse Nuclear Power Station 5501 North State Route 2 Oak Harbor, OH 43449-9760 SUBJECT: DAVIS-BESSE NUCLEAR POWER STATION NRC INTEGRATED INSPECTION REPORT 05000346/2004012",2,0,273,davi_2004012.txt,1
0,U,"Dear Mr. Bezilla: On August 14, 2004, the U.S. Nuclear Regulatory Commission (NRC) completed an inspection at your Davis-Besse Nuclear Power Station.",4,0,149,davi_2004012.txt,0
0,U,"The enclosed inspection report documents the inspection findings which were discussed on August 13, 2004, with Mr. L. Myers, you, and other members of your staff.",4,149,311,davi_2004012.txt,0
0,U,The inspection examined activities conducted under your license as they relate to safety and compliance with the Commission's rules and regulations and with the conditions of your license.,4,311,499,davi_2004012.txt,1
0,U,"The inspectors reviewed selected procedures and records, observed activities, and interviewed personnel.",4,499,603,davi_2004012.txt,0
0,U,"During this inspection, we also evaluated the effectiveness of several commitments contained in your Cycle 14 Operational Improvement Plan.",4,603,742,davi_2004012.txt,0
0,U,"For the entire inspection period, the Davis-Besse Nuclear Power Station was under the Inspection Manual Chapter (IMC) 0350 Process.",4,742,873,davi_2004012.txt,1
0,U,The Davis-Besse Oversight Panel assessed inspection findings and other performance data to determine the required level and focus of followup inspection activities and any other appropriate regulatory actions.,4,873,1082,davi_2004012.txt,1
0,U,"Even though the Reactor Oversight Process had been suspended at the Davis-Besse Nuclear Power Station, we continue to use the ROP as guidance for inspection activities and to assess findings.",4,1082,1273,davi_2004012.txt,1
0,U,"Based on the results of this inspection, no NRC-identified or self-revealed findings of significance were identified.",4,1273,1390,davi_2004012.txt,0
0,U,M. Bezilla,6,0,11,davi_2004012.txt,0
0,U,-2-,8,0,3,davi_2004012.txt,0
0,U,"In accordance with 10 CFR 2.390 of the NRC's ""Rules of Practice,"" a copy of this letter and its enclosure will be available electronically for public inspection in the NRC Public Document Room or from the Publicly Available Records (PARS) component of NRC's document system (ADAMS).",10,0,282,davi_2004012.txt,1
0,U,ADAMS is accessible from the NRC Web site at http://www.nrc.gov/reading-rm/adams.html (the Public Electronic Reading Room).,10,282,405,davi_2004012.txt,0
0,U,"Sincerely, /RA/",10,405,420,davi_2004012.txt,0
0,U,"John A. Grobe, Chairman Davis-Besse Oversight Panel",12,0,51,davi_2004012.txt,0
0,U,Docket No.,14,0,10,davi_2004012.txt,0
0,U,50-346 License No.,14,10,28,davi_2004012.txt,1
0,U,"NPF-3 Enclosure: Inspection Report 05000346/2004012 w/Attachment: Supplemental Information The Honorable Dennis Kucinich G. Leidich, President - FENOC J. Hagan, Senior Vice President Engineering and Services, FENOC L. Myers, Chief Operating Officer, FENOC Plant Manager Manager - Regulatory Affairs M. O'Reilly, Attorney, FirstEnergy Ohio State Liaison Officer R. Owen, Administrator, Ohio Department of Health Public Utilities Commission of Ohio President, Board of County Commissioners of Lucas County C. Koebel, President, Ottawa County Board of Commissioners D. Lochbaum, Union Of Concerned Scientists J. Riccio, Greenpeace P. Gunter, N.I.R.S.",14,28,675,davi_2004012.txt,1
0,U,cc w/encl:,16,0,10,davi_2004012.txt,0
0,U,DOCUMENT NAME: C:\ORPCheckout\FileNET\ML042720142.wpd,18,0,54,davi_2004012.txt,0
0,U,"To receive a copy of this document, indicate in the box: ""C"" = Copy without attachment/enclosure ""E"" = Copy with attachment/enclosure ""N"" = No copy",19,0,147,davi_2004012.txt,0
0,U,OFFICE NAME DATE,21,0,16,davi_2004012.txt,0
0,U,RIII CLipa:dtp 09/24/04,23,0,23,davi_2004012.txt,0
0,U,RIII JGrobe 09/27/04 OFFICIAL RECORD COPY,25,0,41,davi_2004012.txt,0
0,U,M. Bezilla,27,0,11,davi_2004012.txt,0
0,U,-3-,29,0,3,davi_2004012.txt,0
0,U,"ADAMS Distribution: AJM DFT SPS1 RidsNrrDipmIipb GEG HBC CST1 CAA1 C. Pederson, DRS (hard copy - IR's only) DRPIII DRSIII PLB1 JRK1 ROPreports@nrc.gov (inspection reports, final SDP letters, any letter with an IR number)",31,0,220,davi_2004012.txt,1
0,U,U. S. NUCLEAR REGULATORY COMMISSION REGION III,33,0,47,davi_2004012.txt,0
0,U,Docket No:,35,0,10,davi_2004012.txt,0
0,U,50-346,37,0,6,davi_2004012.txt,0
0,U,License No:,39,0,11,davi_2004012.txt,1
0,U,NPF-3,41,0,5,davi_2004012.txt,0
0,U,Report No:,43,0,10,davi_2004012.txt,0
0,U,05000346/2004012,45,0,16,davi_2004012.txt,0
0,U,Licensee:,47,0,9,davi_2004012.txt,0
0,U,FirstEnergy Nuclear Operating Company (FENOC),49,0,45,davi_2004012.txt,0
0,U,Facility:,51,0,9,davi_2004012.txt,0
0,U,Davis-Besse Nuclear Power Station,53,0,33,davi_2004012.txt,0
0,U,Location:,55,0,9,davi_2004012.txt,0
0,U,"5501 North State Route 2 Oak Harbor, OH 43449-9760",57,0,50,davi_2004012.txt,0
0,U,Dates:,59,0,6,davi_2004012.txt,0
0,U,"July 1, 2004, through August 14, 2004",61,0,37,davi_2004012.txt,0
0,U,Inspectors:,63,0,11,davi_2004012.txt,0
0,U,"S. Thomas, Senior Resident Inspector J. Rutkowski, Resident Inspector M. Salter-Williams, Resident Inspector J.",65,0,111,davi_2004012.txt,0
0,U,"House, Senior Radiation Specialist D. Passehl, Senior Project Engineer, Region III J. Jacobson, Senior Engineer, Region III",65,111,234,davi_2004012.txt,0
0,U,Approved by:,67,0,12,davi_2004012.txt,0
0,U,"Christine A. Lipa, Chief Branch 4 Division of Reactor Projects",69,0,62,davi_2004012.txt,0
0,U,Enclosure,71,0,9,davi_2004012.txt,0
0,U,SUMMARY OF FINDINGS IR 05000346/2004012; 7/1/2004 - 8/14/2004; Davis-Besse Nuclear Power Station; Routine Integrated Inspection Report.,73,0,136,davi_2004012.txt,1
0,U,This report covers a 7 week period of baseline and special inspection.,73,136,206,davi_2004012.txt,0
0,U,The inspection was conducted by Region III inspectors and resident inspectors.,73,206,284,davi_2004012.txt,0
0,U,No findings of significance were identified.,73,284,328,davi_2004012.txt,0
0,U,"The NRC's program for overseeing the safe operation of commercial nuclear power reactors is described in NUREG-1649, ""Reactor Oversight Process,"" Revision 3, dated July 2000.",73,328,502,davi_2004012.txt,1
0,U,A. Inspector-Identified and Self-Revealing Findings No findings of significance were identified.,73,502,598,davi_2004012.txt,0
0,U,B. Licensee Identified Findings No findings of significance were identified.,73,598,674,davi_2004012.txt,0
0,U,1,75,0,1,davi_2004012.txt,0
0,U,Enclosure,77,0,9,davi_2004012.txt,0
0,U,REPORT DETAILS,79,0,15,davi_2004012.txt,0
0,U,"Summary of Plant Status At the beginning of the inspection period, the plant was at approximately 100 percent power.",81,0,116,davi_2004012.txt,0
0,U,"On August 4, 2004, the plant tripped due to a fuse failure during planned reactor trip breaker surveillance testing (see Section 4OA3).",81,116,251,davi_2004012.txt,0
0,U,"The plant restarted following the trip and re-entered Mode 2 on August 7, 2004 and achieved Mode 1 and approximately 100 percent power on August 8, 2004.",81,251,404,davi_2004012.txt,0
0,U,"During this inspection period, the following brief power reductions also occurred: еб еб еб reduction in power to approximately 94 percent power to address equipment issues with the Integrated Control System; reduction in power to approximately 95 percent power to address a steam and water leak on a high pressure heater drain isolation valve; and reduction in power to approximately 98 percent power to address equipment issues with the plant computer system.",81,404,862,davi_2004012.txt,0
0,U,"On each occasion, the maintenance activities were completed and power was restored to approximately 100 percent.",83,0,112,davi_2004012.txt,0
0,U,The plant operated at approximately 100 percent power for the remainder of the inspection period.,83,112,209,davi_2004012.txt,0
0,U,"For the entire inspection period, the Davis-Besse Nuclear Power Station was under the IMC 0350 Process.",83,209,312,davi_2004012.txt,1
0,U,1,83,312,314,davi_2004012.txt,0
0,U,"REACTOR SAFETY Cornerstones: Initiating Events, Mitigating Systems, Barrier Integrity, and Emergency Preparedness 1R01 Adverse Weather Protection (71111.01) a.",83,314,473,davi_2004012.txt,0
0,U,"Inspection Scope On July 2, the control room received annunciator 11-5-D (Traveling Screen DP>1).",83,473,570,davi_2004012.txt,0
0,U,The cause of the alarm was high differential pressure conditions on service water system traveling screens #2 and #3.,83,570,687,davi_2004012.txt,0
0,U,"In accordance with the alarm procedure, the operators washed all of the screens to reduce the differential pressure.",83,687,803,davi_2004012.txt,0
0,U,"In response to the condition, the licensee formed a problem solving team to investigate the problem and recommend corrective action.",83,803,935,davi_2004012.txt,0
0,U,"Upon further investigation, the team discovered that the differential pressure was the result of a planktonic algae bloom in the western basin of Lake Erie.",83,935,1091,davi_2004012.txt,0
0,U,The late and prolific bloom was attributed to late rains which provided increased agricultural run-off during warm water conditions.,83,1091,1223,davi_2004012.txt,0
0,U,"The bloom was determined not to be localized to Davis-Besse, but a regional phenomena affecting the Maumee Bay Area.",83,1223,1339,davi_2004012.txt,0
0,U,"The inspectors reviewed the associated condition report, the problem solving plan and discussed the condition with the issue sponsor to verify that the condition did not",83,1339,1508,davi_2004012.txt,1
0,U,2,85,0,1,davi_2004012.txt,0
0,U,Enclosure,87,0,9,davi_2004012.txt,0
0,U,affect the ability of the service water system or the component cooling water system to perform their required functions.,89,0,122,davi_2004012.txt,0
0,U,b.,89,122,124,davi_2004012.txt,0
0,U,Findings No findings of significance were identified.,89,124,177,davi_2004012.txt,0
0,U,1R04 Equipment Alignment .1 a.,89,177,207,davi_2004012.txt,0
