TYPE,CLASS,text,line,start_pos,end_pos,file,class
0,U,28-Oct-02,0,0,16,ginn_2002005.txt,0
0,U,"Dr. Robert C. Mecredy Vice President, Nuclear Operations Rochester Gas and Electric Corporation 89 East Avenue Rochester, NY 14649 SUBJECT: R. E. GINNA - NRC INTEGRATED INSPECTION REPORT 50-244/02-05",2,0,199,ginn_2002005.txt,1
0,U,"Dear Dr. Mecredy: On September 28, 2002, the NRC completed an inspection of your R. E. Ginna facility.",4,0,102,ginn_2002005.txt,0
0,U,"The enclosed report documents the inspection findings which were discussed on October 8, 2002 with Joe Widay and other members of your staff.",4,102,243,ginn_2002005.txt,1
0,U,This inspection examined activities conducted under your license as they relate to safety and compliance with the Commission's rules and regulations and with the conditions of your operating license.,4,243,442,ginn_2002005.txt,1
0,U,"The inspectors reviewed selected procedures and records, observed activities, and interviewed personnel.",4,442,546,ginn_2002005.txt,0
0,U,"Based on the results of this inspection, the inspectors identified four issues of very low safety significance (Green).",4,546,665,ginn_2002005.txt,0
0,U,Two of the issues were determined to involve violations of NRC requirements.,4,665,741,ginn_2002005.txt,0
0,U,"However, because of their very low safety significance and because they have been entered into your corrective action program, the NRC is treating these issues as non-cited violations, in accordance with Section VI.A.1 of the NRC's Enforcement Policy.",4,741,992,ginn_2002005.txt,0
0,U,"If you deny these non-cited violations, you should provide a response with the basis of your denial, within 30 days of the date of this inspection report, to the Nuclear Regulatory Commission, ATTN: Document Control Desk, Washington, D.C. 20555-0001; with copies to the Regional Administrator, Region 1; the Director, Office of Enforcement, United States Nuclear Regulatory Commission, Washington, D.C. 20555-0001; and the NRC Resident Inspector at the Ginna facility.",4,992,1460,ginn_2002005.txt,1
0,U,"The NRC has increased security requirements at the Ginna facility in response to terrorist acts on September 11, 2001.",4,1460,1578,ginn_2002005.txt,0
0,U,"Although the NRC is not aware of any specific threat against nuclear facilities, the NRC has issued an Order and several threat advisories to commercial power reactors to strengthen licensee's capabilities and readiness to respond to a potential attack.",4,1578,1831,ginn_2002005.txt,0
0,U,The NRC continues to inspect the licensee's security controls and its compliance with the Order and current security regulations.,4,1831,1960,ginn_2002005.txt,0
0,U,Dr. Robert C. Mecredy,6,0,22,ginn_2002005.txt,0
0,U,2,8,0,1,ginn_2002005.txt,0
0,U,"In accordance with 10 CFR 2.790 of the NRC's ""Rules of Practice,"" a copy of this letter and its enclosure will be available electronically for public inspection in the NRC Public Document Room or from the Publically Available Records (PARS) component of the NRC's document management system (ADAMS).",10,0,299,ginn_2002005.txt,1
0,U,"ADAMS is accessible from the NRC website in the Public Electronic Reading Room, http://www.nrc.gov/reading-rm/adams.html.",10,299,420,ginn_2002005.txt,0
0,U,"Sincerely,",10,420,430,ginn_2002005.txt,0
0,U,"/RA/ Michele G. Evans, Chief Projects Branch 1 Division of Reactor Projects Docket No.",12,0,86,ginn_2002005.txt,0
0,U,50-244 License No.,12,86,104,ginn_2002005.txt,1
0,U,DPR-18 Enclosure: Inspection Report 50-244/02-05,12,104,152,ginn_2002005.txt,0
0,U,"Attachment 1: Supplemental Information cc w/encl: P. Wilkens, President, Rochester Gas and Electric P. Eddy, Electric Division, Department of Public Service, State of New York C. Donaldson, Esquire, State of New York, Department of Law N. Reynolds, Esquire W. Flynn, President, New York State Energy Research and Development Authority J. Spath, Program Director, New York State Energy Research and Development Authority D. Stenger, Ballard Spahr Andrews and Ingersoll.",14,0,468,ginn_2002005.txt,0
0,U,"LLP T. Wideman, Director, Wayne County Emergency Management Office M. Meisenzahl, Administrator, Monroe County, Office of Emergency Preparedness T. Judson, Central New York Citizens Awareness Network",14,468,667,ginn_2002005.txt,0
0,U,Dr. Robert C. Mecredy Distribution w/encl:,16,0,43,ginn_2002005.txt,0
0,U,3,18,0,1,ginn_2002005.txt,0
0,U,"H. Miller, RA/J.",20,0,16,ginn_2002005.txt,0
0,U,"Wiggins, DRA (1) H. Nieh, RI EDO Coordinator S. Richards, NRR (ridsnrrdlpmlpdi) R. Clark, PM, NRR P. Milano, PM, NRR (Backup) K. Kolaczyk, SRI Ginna C. Welch, - RI Ginna M. Marshfield, DRP M. Evans, DRP N. Perry, DRP R. Junod, DRP Region I Docket Room (with concurrences)",20,16,287,ginn_2002005.txt,1
0,U,"DOCUMENT NAME: G:\BRANCH1\GINSTUFF\Reports\GIN0205.wpd After declaring this document ""An Official Agency Record"" it will/will not be released to the Public.",22,0,156,ginn_2002005.txt,0
0,U,"To receive a copy of this document, indicate in the box: ""C"" = Copy without attachment/enclosure ""E"" = Copy with attachment/enclosure ""N"" = No copy OFFICE NAME DATE RI/DRP KKolaczyk/MGE for 10/24/02 RI/DRP MEvans/MGE 10/25/02 OFFICIAL RECORD COPY",22,156,402,ginn_2002005.txt,0
0,U,U.S. NUCLEAR REGULATORY COMMISSION REGION I,24,0,44,ginn_2002005.txt,0
0,U,Docket No: License No:,26,0,22,ginn_2002005.txt,1
0,U,50-244 DPR-18,28,0,13,ginn_2002005.txt,0
0,U,Report No:,30,0,10,ginn_2002005.txt,0
0,U,50-244/02-05,32,0,12,ginn_2002005.txt,0
0,U,Licensee:,34,0,9,ginn_2002005.txt,0
0,U,Rochester Gas and Electric Corporation (RG&E),36,0,45,ginn_2002005.txt,0
0,U,Facility:,38,0,9,ginn_2002005.txt,0
0,U,R. E. Ginna Nuclear Power Plant,40,0,31,ginn_2002005.txt,0
0,U,Location:,42,0,9,ginn_2002005.txt,0
0,U,"1503 Lake Road Ontario, New York 14519",44,0,38,ginn_2002005.txt,0
0,U,Dates:,46,0,6,ginn_2002005.txt,0
0,U,"June 30 through September 28, 2002",48,0,34,ginn_2002005.txt,0
0,U,Inspectors:,50,0,11,ginn_2002005.txt,0
