label_SALLY,text,line,start_pos,end_pos,file
U,UNITED STATES,0,0,13,ML072260460.txt
U,NUCLEAR REGULATORY COMMISSION,2,0,29,ML072260460.txt
U,"REGION I 475 ALLENDALE ROAD KING OF PRUSSIA, PENNSYLVANIA 19406-1415",3,0,68,ML072260460.txt
U,"August 14, 2007 EA-07-149 Mr. William Levis President and Chief Nuclear Officer PSEG LLC - N09 P. O.",5,0,100,ML072260460.txt
U,"Box 236 Hancocks Bridge, NJ 08038 SUBJECT: SALEM NUCLEAR GENERATING STATION, UNIT NOS.",5,100,186,ML072260460.txt
U,1 AND 2 NRC INTEGRATED INSPECTION REPORT 05000272/2007003 and 05000311/2007003 AND NOTICE OF VIOLATION,5,186,288,ML072260460.txt
U,"Dear Mr. Levis: On June 30, 2007, the U.S. Nuclear Regulatory Commission (NRC) completed an inspection at the Salem Nuclear Generating Station, Unit Nos.",7,0,153,ML072260460.txt
U,1 and 2.,7,153,161,ML072260460.txt
U,"The enclosed integrated inspection report documents the inspection results that were discussed on July 6, 2007, with Mr. Gellrich and other members of your staff.",7,161,323,ML072260460.txt
U,This inspection examined activities conducted under your license as they relate to safety and compliance with the Commission's rules and regulations and with the conditions of your license.,7,323,512,ML072260460.txt
U,"The inspectors reviewed selected procedures and records, observed activities, and interviewed personnel.",7,512,616,ML072260460.txt
U,"Based on the results of this inspection, the NRC has determined that a Severity Level IV violation of NRC requirements occurred.",7,616,744,ML072260460.txt
U,"The violation was evaluated in accordance with the NRC Enforcement Policy included on the NRC's web site at www.nrc.gov; select What We Do, Enforcement, then Enforcement Policy.",7,744,921,ML072260460.txt
U,The violation is cited in the enclosed Notice of Violation (Notice) and the circumstances surrounding it are described in detail in the subject inspection report.,7,921,1083,ML072260460.txt
U,"The violation is being cited in the Notice because PSEG Nuclear LLC did not meet the requirements of 10 Code of Federal Regulations (CFR) 50.55a(g)(5)(iii) and 10 CFR 50.55a(g)(5)(iv) for Salem Nuclear Generating Station, Unit 2, which affected the ability of the NRC to perform its regulatory function.",7,1083,1386,ML072260460.txt
U,This violation is a result of PSEG Nuclear LLC' s failure to apply for a relief request for the inservice inspection (ISI) program within 12 months after the completion of the second ISI interval.,7,1386,1582,ML072260460.txt
U,You are required to respond to this letter and you should follow the instructions specified in the enclosed Notice when preparing your response.,7,1582,1726,ML072260460.txt
U,"In addition to the information required in the Notice, your reply should include: (1) an evaluation demonstrating that Salem Unit 2 systems affected by this failure were operable during the period from November 23, 2003, to the present; and (2) an assessment of the effect of the incomplete inspections on the current ISI interval 3 which began on November 24, 2003.",7,1726,2092,ML072260460.txt
U,"The NRC will use your response, in part, to determine whether further enforcement action is necessary to ensure compliance with regulatory requirements.",7,2092,2244,ML072260460.txt
U,W. Levis,9,0,9,ML072260460.txt
U,2,11,0,1,ML072260460.txt
U,The report also documents one NRC-identified finding and three self-revealing findings of very low safety significance (Green).,13,0,127,ML072260460.txt
U,Three of these findings were determined to involve violations of NRC requirements.,13,127,209,ML072260460.txt
U,"If you contest any non-cited violations (NCVs) in this report, you should provide a response within 30 days of the date of this inspection report, with the basis for your denial, to the Nuclear Regulatory Commission, ATTN.",13,209,431,ML072260460.txt
U,": Document Control Desk, Washington, DC 20555-0001; with copies to the Regional Administrator, Region I; the Director, Office of Enforcement, United States Nuclear Regulatory Commission, Washington, DC 20555-0001; and the NRC Resident Inspector at the Salem Nuclear Generating Station.",13,431,716,ML072260460.txt
