,text,line,start_pos,end_pos,file,class,label_Frenard,label_SALLY,label_struck
0,NUCLEAR REGULATORY COMMISSION,0.0,0.0,29.0,ML13298A103.txt,0.0,U,U,U
1,"REGION I V 1600 EAST LAMAR BLVD ARLINGTON, TEXAS 76011-4511",1.0,0.0,59.0,ML13298A103.txt,0.0,U,U,U
2,UNITED STATES,3.0,0.0,13.0,ML13298A103.txt,0.0,U,U,U
3,"October 24, 2013 Mr. Rafael Flores, Senior Vice President and Chief Nuclear Officer ATTN: Regulatory Affairs Luminant Generation Company LLC Comanche Peak Nuclear Power Plant P.O.",5.0,0.0,179.0,ML13298A103.txt,0.0,U,U,U
4,"Box 1002 Glen Rose, TX 76043 SUBJECT: COMANCHE PEAK NUCLEAR POWER PLANT, UNITS 1, 2 AND INDEPENDENT SPENT FUEL STORAGE INSTALLATION (ISFSI) INSPECTION REPORT 05000445/2013009, 05000446/2013009, AND 07200074/2013001",5.0,179.0,393.0,ML13298A103.txt,1.0,U,U,U
5,"Dear Mr. Flores: This letter refers to a routine inspection conducted on September 16 - 20, 2013, of the dry cask storage activities associated with your Independent Spent Fuel Storage Installation (ISFSI).",7.0,0.0,206.0,ML13298A103.txt,0.0,U,U,U
6,"The enclosed inspection report documents the inspection results which were discussed on September 19, 2013 with members of your staff.",7.0,206.0,340.0,ML13298A103.txt,1.0,U,U,U
7,"Inspectors continued to observe cask related loading activities on September 20, 2013 before leaving the site.",7.0,340.0,450.0,ML13298A103.txt,0.0,U,U,U
8,"Following the site visit, a telephonic exit was conducted on October 8, 2013 after the completion of a hydrogen monitoring test which was completed that demonstrated the combustible gas monitoring equipment was functioning as required.",7.0,450.0,685.0,ML13298A103.txt,0.0,U,U,U
9,The inspection examined activities conducted under your license as they relate to safety and compliance with the Commission's rules and regulations and with the conditions of your license.,7.0,685.0,873.0,ML13298A103.txt,1.0,U,U,U
