,text,line,start_pos,end_pos,file,class,label_Frenard,label_SALLY,label_struck
0,UNITED STATES NUCLEAR REGULATORY COMMISSION REGION II,0.0,0.0,53.0,ML12027A131.txt,0.0,U,U,U
1,"245 PEACHTREE CENTER AVENUE NE, SUITE 1200 ATLANTA, GEORGIA 30303-1257",1.0,0.0,70.0,ML12027A131.txt,0.0,U,U,U
2,"January 27, 2012 Mr. Tom E. Tynan Vice President Southern Nuclear Operating Company, Inc. Vogtle Electric Generating Plant 7821 River Road Waynesboro, GA 30830 SUBJECT: Dear Mr. Tynan: On December 31, 2011, the U.S. Nuclear Regulatory Commission (NRC) completed an inspection at your Vogtle Electric Generating Plant, Units 1 and 2.",3.0,0.0,332.0,ML12027A131.txt,0.0,U,U,U
3,"The enclosed integrated inspection report documents the inspection results, which were discussed on January 24, 2012, with Mr. Steve Swanson and other members of your staff.",3.0,332.0,505.0,ML12027A131.txt,1.0,U,U,U
4,The inspection examined activities conducted under your license as they relate to safety and compliance with the Commission's rules and regulations and with the conditions of your license.,3.0,505.0,693.0,ML12027A131.txt,1.0,U,U,U
5,"The inspectors reviewed selected procedures and records, observed activities, and interviewed personnel.",3.0,693.0,797.0,ML12027A131.txt,0.0,U,U,U
6,One NRC identified finding and one self-revealing finding of very low safety significance (Green) were identified during this inspection.,3.0,797.0,934.0,ML12027A131.txt,0.0,U,U,U
7,These findings were determined to involve a violation of NRC requirements.,3.0,934.0,1008.0,ML12027A131.txt,0.0,U,U,U
8,"Further, one licensee-identified violation, which was determined to be of very low safety significance, is listed in this report.",3.0,1008.0,1137.0,ML12027A131.txt,0.0,U,U,U
9,The NRC is treating these violations as non-cited violations consistent with Section 2.3.2 of the Enforcement Policy.,3.0,1137.0,1254.0,ML12027A131.txt,0.0,U,U,U
10,"If you contest these non-cited violations, you should provide a response within 30 days of the date of this inspection report, with the basis for your denial, to the Nuclear Regulatory Commission, ATTN: Document Control Desk, Washington DC 20555-0001; with copies to the Regional Administrator, Region II; the Director, Office of Enforcement, United States Nuclear Regulatory Commission, Washington, DC 20555-0001; and the NRC Resident Inspector at the Vogtle Electric Generating Plant.",3.0,1254.0,1740.0,ML12027A131.txt,1.0,U,U,U
11,"If you disagree with the cross-cutting aspect assigned in this report, you should provide a response within 30 days of the date of this inspection report, with the basis for your disagreement, to the Regional Administrator, Region II; and the NRC Resident Inspector at the Vogtle Electric Generating Plant.",3.0,1740.0,2046.0,ML12027A131.txt,1.0,U,U,U
12,The information you provide will be considered in accordance with Inspection Manual Chapter 0305.,3.0,2046.0,2143.0,ML12027A131.txt,0.0,U,U,U
13,VOGTLE ELECTRIC GENERATING PLANT - NRC INTEGRATED INSPECTION REPORT 05000424/2011005 AND 05000425/2011005,3.0,2143.0,2248.0,ML12027A131.txt,0.0,U,U,U
14,SNC,5.0,0.0,4.0,ML12027A131.txt,0.0,U,U,U
15,2,7.0,0.0,1.0,ML12027A131.txt,0.0,U,U,U
16,"In accordance with the 10 CFR 2.390 of the NRC's ""Rules of Practice,"" a copy of this letter, its enclosures, and your response will be available electronically for public inspection in the NRC Public Document Room or from the Publicly Available Records (PARS) component of the NRC's Agencywide Document Access and Management System (ADAMS).",9.0,0.0,340.0,ML12027A131.txt,1.0,U,U,U
17,ADAMS is accessible from the NRC Web site at http://www.nrc.gov/reading-rm/adams.html (the Public Electronic Reading Room).,9.0,340.0,463.0,ML12027A131.txt,0.0,U,U,U
18,"Sincerely, /RA/ James A. Hickey, Chief Reactor Projects Branch 2 Division of Reactor Projects Docket Nos.",9.0,463.0,568.0,ML12027A131.txt,0.0,U,U,U
19,": 05000424, 05000425 License Nos.",9.0,568.0,601.0,ML12027A131.txt,1.0,U,U,U
20,: NPF-68 and NPF-81 Enclosure: Inspection Report 05000424/2011005 and 05000425/2011005 w/Attachment: Supplemental Information cc w/encl: (See next page),9.0,601.0,753.0,ML12027A131.txt,0.0,U,U,U
21,SNC,11.0,0.0,4.0,ML12027A131.txt,0.0,U,U,U
22,2,13.0,0.0,1.0,ML12027A131.txt,0.0,U,U,U
23,"In accordance with the 10 CFR 2.390 of the NRC's ""Rules of Practice,"" a copy of this letter, its enclosures, and your response (if any) will be available electronically for public inspection in the NRC Public Document Room or from the Publicly Available Records (PARS) component of the NRC's Agencywide Document Access and Management System (ADAMS).",15.0,0.0,349.0,ML12027A131.txt,1.0,U,U,U
24,ADAMS is accessible from the NRC Web site at http://www.nrc.gov/reading-rm/adams.html (the Public Electronic Reading Room).,15.0,349.0,472.0,ML12027A131.txt,0.0,U,U,U
25,"Sincerely, /RA/ James A. Hickey, Chief Reactor Projects Branch 2 Division of Reactor Projects Docket Nos.",15.0,472.0,577.0,ML12027A131.txt,0.0,U,U,U
26,": 05000424, 05000425 License Nos.",15.0,577.0,610.0,ML12027A131.txt,1.0,U,U,U
27,: NPF-68 and NPF-81 Enclosure: Inspection Report 05000424/2011005 and 05000425/2011005 w/Attachment: Supplemental Information,15.0,610.0,735.0,ML12027A131.txt,0.0,U,U,U
28,cc w/encl: (See next page),17.0,0.0,26.0,ML12027A131.txt,0.0,U,U,U
29,X PUBLICLY AVAILABLE ADAMS: X Yes OFFICE SIGNATURE NAME DATE E-MAIL COPY?,19.0,0.0,73.0,ML12027A131.txt,0.0,U,U,U
30,OFFICE SIGNATURE NAME DATE E-MAIL COPY?,19.0,73.0,112.0,ML12027A131.txt,0.0,U,U,U
31,G NON-PUBLICLY AVAILABLE,21.0,0.0,24.0,ML12027A131.txt,0.0,U,U,U
32,G SENSITIVE,23.0,0.0,11.0,ML12027A131.txt,0.0,U,U,U
33,X NON-SENSITIVE,25.0,0.0,15.0,ML12027A131.txt,0.0,U,U,U
34,ACCESSION NUMBER:__ ML12027A131 __________ RII:DRP /RA/ TLighty 1/27/2012 YES RII:DRP /RA/ JHickey 1/28/2012 YES NO YES NO YES NO YES NO RII:DRP /RA By E-mail/ MCain 1/26/2012 YES NO RII:DRS /RA By E-mail/ TChandler 1/26/2012 YES NO,27.0,0.0,232.0,ML12027A131.txt,0.0,U,U,U
35,G SUNSI REVIEW COMPLETE G FORM 665 ATTACHED RII:DRS /RA By E-mail/ BCaballero 1/26/2012 YES NO RII:DRs /RA By E-mail/ MBates 1/26/2012 YES NO RII:DRs /RA By E-mail/ RBaldein 1/26/2012 YES NO RII:DRS /RA By E-mail/ FEhrhardt 1/26/2012 YES NO,29.0,0.0,240.0,ML12027A131.txt,0.0,U,U,U
36,NO,31.0,0.0,2.0,ML12027A131.txt,0.0,U,U,U
37,YES,33.0,0.0,3.0,ML12027A131.txt,0.0,U,U,U
38,NO,35.0,0.0,2.0,ML12027A131.txt,0.0,U,U,U
39,YES,37.0,0.0,3.0,ML12027A131.txt,0.0,U,U,U
40,NO,39.0,0.0,2.0,ML12027A131.txt,0.0,U,U,U
41,YES,41.0,0.0,3.0,ML12027A131.txt,0.0,U,U,U
42,NO,43.0,0.0,2.0,ML12027A131.txt,0.0,U,U,U
43,OFFICIAL RECORD COPY,45.0,0.0,20.0,ML12027A131.txt,0.0,U,U,U
44,DOCUMENT NAME: G:\DRPII\RPB2\VOGTLE\REPORTS\2011-05\DRAFT IIR 2011-005.DOCX,47.0,0.0,75.0,ML12027A131.txt,0.0,U,U,U
45,3 cc w/encl: Division of Radiological Health TN Dept.,49.0,0.0,54.0,ML12027A131.txt,0.0,U,U,U
46,"of Environment & Conservation 401 Church Street Nashville, TN 37243-1532 B. D. McKinney, Jr. Regulatory Response Manager Southern Nuclear Operating Company, Inc. Electronic Mail Distribution Mark T. Hickox.",49.0,54.0,260.0,ML12027A131.txt,0.0,U,U,U
